Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-12 - PIT 6, TB 2",TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - TB 7, DET 6",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - TB 2, WSH 1",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - FLA 4, TB 1",TB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - COL 4, TB 3",TB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - TB 1, BUF 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - TB 5, PIT 1",TB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - ARI 1, TB 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - WSH 2, TB 3",TB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - TB 1, TOR 2",TB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - TB 5, OTT 3",TB,1.0,38.438,41.954,29.602,32.536,1.72,1.687,6.718999999999999,9.508,0.901,0.985,5.41,6.132,19.563,21.635,0.416,0.2,8.222,10.431,13.114,12.215,0.387,0.498,7.467,5.988,0.9877,21.878,19.843,21.691,23.5,1.607,1.869
"2021-11-09 - CAR 2, TB 1",TB,2.0,35.955,43.283,27.485000000000003,34.086,1.6780000000000002,2.006,6.379,9.82,0.8699999999999999,1.199,5.033,6.311,18.236,22.163,0.304,0.2,8.076,10.508,11.597,13.309,0.483,0.603,6.745,6.682,0.9952,20.65,18.034,23.081,24.404000000000003,1.544,2.059
"2021-11-13 - FLA 2, TB 3",TB,3.0,37.24,41.86899999999999,27.84,32.705,1.2879999999999998,1.899,6.306,8.987,0.583,1.097,5.046,5.699,18.457,21.291,0.304,0.295,8.322,10.294,12.383,13.228,0.3889999999999999,0.503,6.654999999999999,6.384,1.0179,20.711,18.770000000000003,22.153,23.102,1.506,1.95
"2021-11-15 - NYI 1, TB 4",TB,1.0,38.217,40.053,28.637,31.9,1.3969999999999998,1.897,6.945,8.532,0.684,1.097,5.472,5.537,18.763,21.429,0.304,0.307,7.624,10.024,13.424,12.988,0.396,0.503,7.093999999999999,6.661,1.0142,20.788,20.506,21.465,22.85,1.609,1.894
"2021-11-18 - TB 4, PHI 3",TB,2.0,38.275,40.924,28.806,32.565000000000005,1.2899999999999998,2.091,7.331,8.866,0.6839999999999999,1.382,5.746,5.958,18.175,20.317,0.304,0.307,7.516000000000001,9.958000000000002,12.894,13.487,0.292,0.407,6.648999999999999,6.489999999999999,1.0269,20.605,20.375,22.273,23.028,1.634,1.916
"2021-11-20 - NJ 5, TB 3",TB,1.0,39.394,42.917,29.262999999999995,33.317,1.2719999999999998,2.1130000000000004,7.260000000000001,9.064,0.6719999999999999,1.299,5.590999999999999,6.122,19.203000000000003,22.621,0.199,0.412,8.223,9.876,12.818,13.946000000000002,0.3859999999999999,0.407,6.623,6.815,1.0316,21.325,20.225,22.941,23.535000000000004,1.634,1.971
"2021-11-21 - MIN 4, TB 5",TB,0.0,39.368,41.607000000000006,29.528,32.981,1.393,2.205,7.428,8.463,0.7939999999999999,1.198,5.929,6.165,19.239,22.051,0.199,0.507,8.107,9.278,12.894,14.207999999999998,0.398,0.501,6.926,7.418000000000001,1.0325000000000002,21.82,20.487,22.57,23.689,1.661,1.919
"2021-11-23 - PHI 0, TB 4",TB,1.0,39.56699999999999,41.206,29.965,32.423,1.4940000000000002,2.179,7.219000000000001,8.671,0.7939999999999999,1.2760000000000002,5.615,6.287000000000001,19.394,21.003,0.199,0.507,8.503,8.746,13.109,13.31,0.504,0.404,6.981,6.824,1.032,21.969,20.495,21.886000000000003,22.68,1.652,1.879
"2021-11-26 - SEA 0, TB 3",TB,2.0,40.183,44.099,30.179,35.404,1.394,2.08,8.113,9.386,0.7939999999999999,1.182,6.398999999999999,6.715000000000001,19.575,23.418,0.105,0.602,8.376,9.628,13.171,14.242,0.504,0.304,6.912999999999999,6.923,1.0269,22.73,21.419,23.528,24.073,1.685,2.003
"2021-11-28 - TB 2, MIN 4",TB,1.0,39.372,45.988,29.067,36.387,1.288,2.181,7.348999999999999,9.414,0.7939999999999999,1.09,5.848999999999999,6.6370000000000005,19.666,24.787,0.0,0.8029999999999999,8.216,10.06,12.921,14.397,0.504,0.304,6.802,7.134,1.0332,22.029,20.423,23.69,24.707,1.605,2.052
"2021-11-30 - TB 3, STL 4",TB,1.0,39.697,45.078,29.89,35.41,1.5710000000000002,2.277,7.501,8.921,0.982,1.191,5.984999999999999,6.483,20.438,26.004,0.0,0.8969999999999999,8.968,10.386,13.147,13.348000000000004,0.599,0.199,6.65,6.48,1.0286,22.682,20.769,22.177,24.328,1.621,1.937
"2021-12-02 - STL 2, TB 4",TB,1.0,40.361,44.911,30.518,34.807,1.482,2.169,7.141000000000001,9.560999999999998,0.7989999999999999,1.083,5.542,6.912000000000001,19.963,25.078,0.088,0.8969999999999999,9.016,10.135,14.271,13.245,0.599,0.094,7.006,5.9670000000000005,1.0307,22.796,21.531,22.707,23.86,1.5870000000000002,1.901
"2021-12-04 - TB 3, BOS 2",TB,1.0,40.275,47.010000000000005,30.767000000000003,36.45,1.482,2.363,6.928,10.547,0.799,1.276,5.436999999999999,7.815,19.715,25.402,0.088,0.897,8.974,10.563,14.45,13.869,0.599,0.094,7.303999999999999,6.064,1.0339,22.948,21.509,24.313,25.4,1.5989999999999998,2.018
