Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - MTL 1, TOR 2",TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - TOR 2, OTT 3",TOR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - OTT 1, TOR 3",TOR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - NYR 2, TOR 1",TOR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - SJ 5, TOR 3",TOR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - TOR 1, PIT 7",TOR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - TOR 1, CAR 4",TOR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - TOR 3, CHI 2",TOR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - DET 4, TOR 5",TOR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - VGK 0, TOR 4",TOR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - TB 1, TOR 2",TOR,1.0,42.062,52.318,32.844,38.231,2.003,1.851,9.422,11.229,0.981,1.059,7.393000000000001,8.562000000000001,16.573,21.593,0.211,0.095,8.198,9.088,13.398,18.327,0.795,0.6849999999999999,7.164,7.662000000000001,0.9949,24.572,22.797,29.594,26.482,1.956,2.389
"2021-11-06 - BOS 2, TOR 5",TOR,1.0,42.719,51.339,33.685,36.945,2.003,1.757,10.003,10.621,0.875,1.059,7.428999999999999,8.231,17.229999999999997,21.716,0.211,0.095,8.489999999999998,9.035,13.51,17.811,0.9,0.5900000000000001,6.995,8.013,0.991,24.630000000000003,23.45,28.497000000000003,26.425,2.027,2.305
"2021-11-08 - LA 5, TOR 1",TOR,1.0,42.236,50.611,33.568,36.074,1.91,1.948,9.201,9.587,0.781,1.247,6.7010000000000005,7.428999999999999,18.804,21.242,0.305,0.095,9.243,8.902,12.427,18.733,0.8019999999999999,0.5900000000000001,6.758,8.609,1.0008,24.615,21.619,28.358,26.014,1.9,2.2269999999999994
