Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - VAN 2, EDM 3",VAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-15 - VAN 5, PHI 4",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - VAN 1, DET 3",VAN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - VAN 2, BUF 5",VAN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - VAN 4, CHI 1",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - VAN 4, SEA 2",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MIN 3, VAN 2",VAN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - PHI 2, VAN 1",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - EDM 2, VAN 1",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NYR 2, VAN 3",VAN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NSH 3, VAN 2",VAN,2.0,41.661,38.843,31.262,28.418,1.371,1.414,8.692,6.223999999999999,0.782,0.506,6.998,4.689,17.413,18.733,0.184,0.382,9.266,9.985,12.213,10.81,0.4,0.518,6.483,5.339,1.0154999999999998,23.823,20.87,17.113,21.079,1.89,1.448
"2021-11-07 - DAL 3, VAN 6",VAN,1.0,40.673,39.433,30.885,28.454,1.378,1.5,8.181,6.031000000000001,0.789,0.692,6.562,4.238,17.444,19.309,0.184,0.288,9.488,10.278,12.182999999999998,11.19,0.4,0.518,6.313,5.298,1.0188,23.206,20.347,17.309,20.775,1.837,1.416
"2021-11-09 - ANA 3, VAN 2",VAN,1.0,40.451,38.935,30.647,28.461,1.2899999999999998,1.489,8.409,6.222,0.696,0.683,6.962999999999999,4.295,16.727,19.204,0.089,0.288,9.208,10.001,12.686,10.702000000000002,0.502,0.506,6.664,5.432,1.0245000000000002,23.582,21.081,17.026,20.467,1.839,1.454
"2021-11-11 - VAN 1, COL 7",VAN,1.0,41.4,39.538,31.415,28.493,1.3039999999999998,1.483,8.6,6.6,0.6020000000000001,0.683,7.1450000000000005,4.428,16.878,19.182,0.089,0.282,9.325,9.966,13.538,11.037,0.6060000000000001,0.506,7.225999999999999,5.376,1.0257,24.541,22.109,17.741999999999997,20.583,1.889,1.4300000000000002
"2021-11-13 - VAN 4, VGK 7",VAN,1.0,41.934,39.497,31.937,27.945,1.323,1.372,8.23,6.048,0.416,0.679,6.85,3.7,16.281,18.661,0.106,0.282,8.966,9.241,14.65,11.992,0.8039999999999999,0.4009999999999999,7.595000000000001,5.74,1.0226,24.391,22.79,18.204,19.521,1.884,1.407
"2021-11-14 - VAN 1, ANA 5",VAN,0.0,41.777,40.782,32.371,28.923,1.707,1.577,8.407,7.178999999999999,0.7060000000000001,0.989,7.002,4.607,16.506,18.521,0.106,0.282,8.907,9.364,14.412,12.788,0.9,0.296,7.796000000000001,6.269,1.0051,24.687,22.726,20.126,20.966,2.001,1.62
"2021-11-17 - COL 4, VAN 2",VAN,2.0,42.75,40.003,32.559000000000005,28.619,1.716,1.476,8.916,7.772,0.8039999999999999,0.989,7.809,4.996,16.500999999999998,17.262999999999998,0.106,0.177,8.675,8.966999999999999,14.902,12.962,0.8039999999999999,0.295,7.818,6.369,1.0012,25.219,23.716,20.889000000000003,20.948,2.084,1.701
"2021-11-19 - WPG 2, VAN 3",VAN,1.0,43.168000000000006,42.304,32.062,30.265,1.395,1.568,8.355,8.497,0.588,0.988,7.1370000000000005,5.642,17.743000000000002,18.154,0.106,0.2719999999999999,9.322,9.481,14.416,13.983,0.6990000000000001,0.295,7.17,6.476000000000001,1.013,24.323,22.69,22.645,22.221,1.936,1.861
"2021-11-21 - CHI 1, VAN 0",VAN,1.0,44.546,43.002,33.142999999999994,30.983,1.39,1.575,8.725999999999999,8.267999999999999,0.692,0.988,7.409000000000001,5.5920000000000005,17.964000000000002,18.419,0.106,0.289,9.346,9.712,15.002,14.419999999999998,0.594,0.295,7.691,7.004,1.012,25.301,23.716,22.807,23.22,2.04,1.855
"2021-11-24 - VAN 1, PIT 4",VAN,2.0,43.03,42.895,31.4,30.884000000000004,1.496,1.575,8.48,8.022000000000002,0.798,0.988,7.054,5.524,17.305,19.102,0.106,0.289,8.732000000000001,10.254,14.097,13.494,0.594,0.295,7.047,6.936,1.0064,24.013,22.575,21.606,23.53,1.914,1.831
"2021-11-26 - VAN 2, CBJ 4",VAN,1.0,44.541,43.878,32.499,31.673,1.693,1.488,9.243,7.634,0.8939999999999999,0.997,7.833,5.484999999999999,17.917,20.273,0.106,0.289,8.946,11.012,14.3,13.501,0.688,0.199,7.147,7.239,0.9912,25.109,23.536,21.238,24.685,1.992,1.85
"2021-11-28 - VAN 2, BOS 3",VAN,1.0,44.371,45.772,32.25,33.317,1.781,1.503,8.887,7.733,0.8870000000000001,0.912,7.383999999999999,5.632,18.269,21.238,0.106,0.289,9.022,11.672,13.905,14.144,0.783,0.305,7.112,7.587999999999999,0.983,24.802,22.769,21.986,26.049,1.942,1.9270000000000005
"2021-11-29 - VAN 2, MTL 1",VAN,0.0,45.128,45.198,33.397,32.812,1.7719999999999998,1.411,8.818000000000001,7.215000000000001,0.979,0.813,7.237999999999999,5.474,19.419,21.478,0.106,0.394,10.255,11.856,13.332,13.957,0.681,0.211,6.964,7.330999999999999,0.9812999999999998,25.842,22.119,21.282,25.856,1.962,1.826
"2021-12-01 - VAN 6, OTT 2",VAN,1.0,46.168,46.245,34.159000000000006,34.04,1.7560000000000002,1.4220000000000002,8.933000000000002,7.196,1.0710000000000002,0.919,7.178,5.787,20.502,21.868,0.106,0.306,10.597,12.669,12.992,14.399,0.577,0.211,6.664,7.843999999999999,0.9808,25.910000000000004,21.95,21.669,27.421,1.936,1.935
