Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-12 - SEA 3, VGK 4",VGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - VGK 2, LA 6",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-20 - STL 3, VGK 1",VGK,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - EDM 5, VGK 3",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NYI 2, VGK 0",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - VGK 3, COL 1",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - VGK 3, DAL 2",VGK,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - ANA 4, VGK 5",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - VGK 0, TOR 4",VGK,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - VGK 5, OTT 1",VGK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - VGK 5, MTL 2",VGK,1.0,53.714,51.097,39.108,37.625,2.401,1.988,12.331,9.741,1.895,1.285,9.012,7.334999999999999,21.159,24.084,0.205,0.312,11.03,12.586,16.244999999999997,13.579,0.303,0.4009999999999999,7.867,6.081,0.9869,29.133,28.588,23.35,27.912,2.646,2.16
"2021-11-07 - VGK 2, DET 5",VGK,0.0,53.737,49.912,38.853,36.292,2.197,1.703,12.076,9.606,1.7879999999999998,1.096,9.09,7.176,20.805,23.159,0.111,0.312,10.723,11.958,16.794999999999998,12.988,0.303,0.3059999999999999,8.052,6.105,0.9845,29.165,28.876,22.638,27.19,2.622,2.0640000000000005
"2021-11-09 - SEA 2, VGK 4",VGK,1.0,49.307,50.69500000000001,35.839000000000006,36.864,2.005,1.703,11.931,9.888,1.598,0.994,8.85,7.044999999999999,18.212,23.424,0.218,0.312,9.167,11.833,15.788,12.85,0.205,0.4059999999999999,7.946000000000001,6.469999999999999,0.9853000000000002,27.315,27.738,22.779000000000003,27.279,2.544,2.1130000000000004
"2021-11-11 - MIN 2, VGK 3",VGK,1.0,48.233,48.578,34.626,35.039,1.9040000000000004,1.888,10.691,9.288,1.391,1.086,7.933999999999999,6.421000000000001,18.2,22.714,0.218,0.4009999999999999,8.748000000000001,11.301,15.576000000000002,12.181,0.31,0.4059999999999999,7.838999999999999,6.088,0.9989,25.893,26.302,21.512,25.345,2.402,1.949
"2021-11-13 - VAN 4, VGK 7",VGK,1.0,47.189,48.102,33.864,34.21,1.794,1.899,10.44,9.001,1.184,0.997,7.610000000000001,6.406000000000001,17.497,22.062,0.218,0.4009999999999999,8.135000000000002,10.728,15.746,12.328,0.407,0.502,7.896000000000001,6.322,0.9968,24.82,26.257,21.33,25.192,2.336,1.937
"2021-11-16 - CAR 4, VGK 2",VGK,2.0,47.767,46.026,33.779,33.049,1.997,2.2830000000000004,10.45,9.357,1.4939999999999998,1.287,7.955999999999999,6.647999999999999,17.06,19.997,0.107,0.4009999999999999,8.233,9.906,16.945,12.002,0.407,0.598,8.204,6.43,1.01,25.467,27.483,21.353,24.525,2.353,1.982
"2021-11-18 - DET 2, VGK 5",VGK,1.0,49.623,44.498,35.968,32.359,2.316,2.364,11.256,9.507,1.7079999999999995,1.366,8.695,6.823,17.541999999999998,19.402,0.107,0.4009999999999999,8.946,9.588,16.956,11.406,0.512,0.598,8.463999999999999,6.272,1.0088,27.279000000000003,28.249,20.942,23.903,2.488,2.0450000000000004
"2021-11-20 - CBJ 2, VGK 3",VGK,1.0,47.809,45.421,34.387,33.963,2.329,2.753,11.323,10.384,1.7259999999999998,1.558,8.716,7.415000000000001,17.938,19.071,0.107,0.4130000000000001,8.899,10.38,15.162,11.736,0.512,0.7899999999999999,7.687,6.709999999999999,1.015,26.216,26.54,22.112,25.448,2.4750000000000005,2.2050000000000005
"2021-11-22 - VGK 2, STL 5",VGK,1.0,47.033,43.426,33.799,32.24300000000001,2.031,2.551,10.607,9.975,1.4220000000000002,1.455,7.974000000000001,6.835000000000001,17.773,17.143,0.107,0.307,8.974,9.046,15.248,12.029,0.512,0.7899999999999999,7.514999999999999,7.045,1.0221,25.394,25.876,22.025,23.975,2.2950000000000004,2.064
"2021-11-24 - VGK 5, NSH 2",VGK,1.0,45.569,43.91199999999999,33.33200000000001,33.354,2.119,2.764,9.875,10.199,1.417,1.669,7.427,7.156000000000001,17.701,17.063,0.195,0.307,9.589000000000002,9.151,14.744,12.548,0.51,0.7899999999999999,7.417,7.554,1.0263000000000002,25.445,24.632,22.775,24.788,2.2150000000000003,2.149
"2021-11-27 - EDM 3, VGK 2",VGK,2.0,44.446000000000005,42.004,31.97000000000001,31.848000000000003,2.119,2.659,9.565,10.22,1.417,1.561,7.216999999999999,7.497,17.979999999999997,15.11,0.195,0.195,9.163,7.806,14.260000000000002,12.547,0.51,0.8939999999999999,7.126,7.686,1.0239,24.217,23.832,22.807,24.053,2.159,2.122
