Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - WPG 1, ANA 4",WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - WPG 3, SJ 4",WPG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - WPG 5, MIN 6",WPG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - ANA 1, WPG 5",WPG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NSH 4, WPG 6",WPG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - WPG 4, ANA 3",WPG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - WPG 3, LA 2",WPG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - WPG 1, SJ 2",WPG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DAL 3, WPG 4",WPG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - CHI 1, WPG 5",WPG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYI 2, WPG 0",WPG,0.0,40.566,46.103,30.611,33.139,1.448,2.407,8.486,8.443000000000001,0.876,1.363,6.397,6.553999999999999,18.547,23.237,0.188,0.303,8.987,9.361,12.377,14.147,0.3809999999999999,0.727,5.843,6.597,1.0391,22.78,21.015,22.545,23.537,1.841,1.995
"2021-11-09 - STL 3, WPG 2",WPG,2.0,43.892,47.253,33.471000000000004,33.731,1.468,2.306,9.47,8.574000000000002,0.991,1.363,6.894,6.627,19.664,23.612,0.188,0.21,9.533,9.808,13.316,14.939999999999998,0.2859999999999999,0.727,6.614,6.366,1.0422,24.805,22.912,23.475,23.836,2.109,1.981
"2021-11-11 - SJ 1, WPG 4",WPG,1.0,44.652,49.861,33.764,36.734,1.47,2.286,9.334,9.892,0.993,1.351,6.718000000000001,7.617999999999999,19.591,24.333,0.188,0.299,9.838,11.048,13.918,15.073000000000002,0.2859999999999999,0.625,6.743,6.335,1.0345,25.078,23.377,24.938,25.941000000000003,2.066,2.247
"2021-11-13 - LA 2, WPG 3",WPG,1.0,45.012,52.05800000000001,34.013,38.817,1.391,2.253,9.459,11.685,0.915,1.542,6.51,8.562,20.201,25.425,0.188,0.289,9.587,11.211000000000002,13.826999999999998,15.713,0.2859999999999999,0.416,6.105,6.001,1.0300999999999998,24.261000000000003,23.4,27.382,26.729,2.127,2.486
"2021-11-16 - EDM 2, WPG 5",WPG,2.0,45.254,52.082,33.87,38.995,1.598,2.061,9.001,11.952000000000002,1.021,1.45,6.029999999999999,8.649000000000001,20.448,26.18200000000001,0.188,0.289,8.834,11.14,14.539,15.592,0.392,0.316,6.728999999999999,6.059,1.0124,23.619,23.649,27.559000000000005,26.598000000000003,2.072,2.528
"2021-11-18 - WPG 1, EDM 2",WPG,1.0,45.098,52.121,34.134,39.419,1.391,1.97,8.994,11.78,0.915,1.164,5.833,8.58,21.224,26.677000000000003,0.095,0.49,9.805,11.475,13.68,15.108,0.392,0.316,6.542,6.179,1.019,24.28,22.757,26.911,26.981,2.104,2.465
"2021-11-19 - WPG 2, VAN 3",WPG,0.0,45.066,52.794,34.114,40.291,1.202,1.764,8.235,11.568,1.007,1.164,5.348,8.678999999999998,21.987,27.336,0.0,0.49,10.487,12.203,13.969,15.117,0.2009999999999999,0.105,6.352,6.493,1.0135,24.073,22.270000000000003,26.711,28.234,2.05,2.433
"2021-11-22 - PIT 3, WPG 1",WPG,2.0,44.4,54.24,33.82,41.23,1.114,1.654,7.673,10.989,0.915,1.162,4.971,8.120999999999999,21.286,28.156,0.106,0.49,9.992,12.611,13.883,15.907999999999998,0.106,0.0,6.677,7.568,1.0107,23.817,21.589,26.975,29.238,1.968,2.423
"2021-11-24 - WPG 0, CBJ 3",WPG,1.0,44.417,51.947,33.767,39.672,1.227,1.6469999999999998,7.901999999999999,10.987,1.028,1.1549999999999998,4.956,8.071,20.880000000000003,25.065000000000005,0.106,0.49,10.407,12.492,14.017,15.172999999999998,0.106,0.0,6.808,7.045,1.0079,23.914,21.959,26.213,28.401,2.034,2.292
"2021-11-26 - WPG 1, MIN 7",WPG,1.0,44.116,51.972,34.037,39.976,1.119,1.553,7.5779999999999985,11.11,0.9200000000000002,1.061,4.843999999999999,8.187999999999999,21.035,24.959000000000003,0.106,0.49,10.596,12.175,14.096,15.323,0.106,0.0,6.910000000000001,7.449000000000001,1.0093,24.016,21.67,26.535000000000004,28.657,1.9970000000000003,2.298
"2021-11-27 - WPG 4, CGY 2",WPG,0.0,46.036,50.74,36.261,39.101000000000006,1.809,1.161,8.607,10.277,1.114,0.675,5.682,7.233,21.575,25.092,0.413,0.49,11.228,12.05,14.3,14.877,0.306,0.0,7.162000000000001,7.294,0.9743,25.741000000000003,22.837,25.321,27.278,2.184,2.201
"2021-11-29 - ARI 1, WPG 0",WPG,1.0,45.746,48.551,35.187,37.787,1.6900000000000002,1.469,8.103,10.356,0.9,0.8800000000000001,5.563,7.565999999999998,22.154000000000003,23.95,0.508,0.595,11.35,11.381,13.933000000000002,13.657000000000002,0.306,0.0,6.573,7.256,0.9944,25.035,21.993,24.148,26.996,2.024,2.195
"2021-12-03 - NJ 4, WPG 8",WPG,3.0,44.445,47.51,34.690999999999995,36.979,1.6950000000000005,1.282,8.229000000000001,9.796,0.905,0.786,5.5760000000000005,7.364,22.095,23.549,0.508,0.506,11.081,11.586,12.765,13.788,0.306,0.0,6.256,7.437,0.9864,24.34,20.943,23.723000000000003,27.068,2.008,2.1450000000000005
"2021-12-05 - TOR 3, WPG 6",WPG,1.0,44.001,46.016000000000005,34.983999999999995,36.27,1.897,1.673,8.575,8.645,1.008,0.883,5.894,7.097,22.027,23.149,0.508,0.624,11.1,12.316,12.198,13.269,0.412,0.191,7.031000000000001,7.527000000000001,0.9911,25.327,20.726,22.047000000000004,27.692,2.027,2.04
"2021-12-07 - CAR 4, WPG 2",WPG,1.0,43.066,46.68,34.181,37.134,1.7899999999999998,1.872,9.118,8.692,0.902,0.982,6.4590000000000005,7.122,21.172,22.117,0.602,0.624,10.813,12.865,11.439,14.201,0.306,0.291,6.883,8.098,1.0,25.229000000000003,20.519,22.961,28.834,2.047,2.092
"2021-12-09 - WPG 3, SEA 0",WPG,1.0,43.841,44.405,34.63,34.892,2.003,1.579,10.201,7.773000000000001,1.01,0.884,7.175,6.290999999999999,20.558,21.261000000000003,0.7070000000000001,0.423,10.722,12.425,11.694,13.720000000000002,0.306,0.291,6.803,7.461999999999999,0.9818,25.705,21.815,21.597,27.089,2.238,1.955
"2021-12-10 - WPG 3, VAN 4",WPG,0.0,42.822,45.298,33.39,35.634,1.911,1.791,10.175,7.387,0.918,0.991,7.252,5.674,20.101000000000003,22.137,0.7070000000000001,0.3179999999999999,10.243,12.558,11.178,13.964,0.306,0.5,6.666,7.615,0.9926,25.08,21.313,21.429,26.876,2.189,1.991
"2021-12-14 - BUF 4, WPG 2",WPG,3.0,44.459,44.309,34.125,35.02,2.095,1.892,11.294999999999998,7.709999999999999,1.106,0.988,8.001000000000001,6.097,20.371,21.217,0.696,0.3179999999999999,10.486,12.243,11.493,13.86,0.306,0.6060000000000001,6.444,6.845999999999999,0.9912,25.563,22.779,21.613,26.232,2.359,2.024
"2021-12-17 - WSH 5, WPG 2",WPG,2.0,43.297,45.03,33.751999999999995,35.807,2.207,1.983,11.1,7.948,1.005,0.986,7.586,6.26,19.955,21.379,0.696,0.3179999999999999,10.372,11.776,11.022,14.274,0.515,0.702,6.351999999999999,7.414999999999999,0.9879,24.865,22.102,22.281,26.429,2.272,2.1060000000000003
"2021-12-19 - STL 2, WPG 4",WPG,1.0,45.118,45.22,34.622,35.702000000000005,2.432,2.0780000000000003,11.941,8.6,1.017,0.986,8.078,6.941,19.879,20.352,0.696,0.4059999999999999,10.378,11.392,11.809,14.810999999999998,0.724,0.702,6.814,7.356,0.9852,25.805,23.742,23.464,26.676,2.451,2.1630000000000003
"2022-01-02 - WPG 5, VGK 4",WPG,13.0,44.30200000000001,45.637,33.882,35.902,1.843,2.3660000000000005,11.759,9.171,0.924,1.08,7.868,7.433999999999999,19.733,20.26,0.3889999999999999,0.4059999999999999,9.995,11.85,11.575,14.830999999999998,0.524,0.891,6.379,7.281999999999999,1.0132,24.668,23.361,24.013,27.552,2.404,2.253
"2022-01-04 - WPG 3, ARI 1",WPG,1.0,45.989,48.166,35.53,37.156,2.037,2.366,12.174,10.178,1.21,0.981,7.929,7.888,20.561,20.763,0.2939999999999999,0.301,10.838,11.91,12.039,16.069,0.524,1.099,6.670999999999999,7.790000000000001,1.004,25.872000000000003,24.247000000000003,26.256,28.338,2.512,2.3880000000000003
"2022-01-06 - WPG 1, COL 7",WPG,1.0,47.347,48.386,36.169,37.553,2.026,2.472,12.416,10.186,1.104,0.981,8.232000000000001,7.209999999999999,20.561,19.719,0.2939999999999999,0.301,11.026,11.262,12.717,16.813,0.627,1.2040000000000002,6.925999999999999,8.2,1.0109,26.724,25.200000000000003,26.942,27.735,2.57,2.343
"2022-01-13 - WPG 3, DET 0",WPG,6.0,47.636,47.626,36.054,36.59,2.107,1.795,11.917,10.06,1.182,0.693,8.092,7.067,20.586,18.272,0.2939999999999999,0.088,11.902,10.23,12.89,16.933,0.6209999999999999,1.013,6.747,8.517,0.9901,27.195000000000004,24.847,26.938,26.805,2.55,2.313
"2022-01-18 - WPG 3, WSH 4",WPG,4.0,46.479,49.141000000000005,35.699,36.64,2.007,1.7150000000000003,10.881,9.733,1.182,0.5,7.374,6.824,20.552,19.371,0.2,0.193,12.458,10.178,12.573,17.168,0.6209999999999999,1.017,6.352,8.568,0.9925,26.87,23.491,26.862,26.579,2.394,2.282
"2022-01-20 - WPG 2, NSH 5",WPG,1.0,46.33,51.372,35.882,38.649,2.076,1.823,10.281000000000002,10.639,1.0739999999999998,0.5,6.711,7.403,20.49,19.688,0.279,0.193,12.358,10.224999999999998,12.820000000000002,17.953,0.724,1.121,6.702,9.427,0.9936,26.574,23.16,28.535000000000004,27.888,2.236,2.44
"2022-01-22 - WPG 2, BOS 3",WPG,1.0,45.828,48.777,35.584,36.571,2.466,1.605,10.254,10.558,1.265,0.495,6.761,7.467,20.115,18.166,0.279,0.193,12.115,9.651,12.672,17.354000000000003,0.916,0.912,6.877000000000001,9.124,0.9674,26.576000000000004,22.936,27.914000000000005,26.961,2.221,2.3630000000000004
"2022-01-23 - WPG 2, PIT 3",WPG,0.0,45.358,48.620000000000005,35.517,36.149,2.368,1.614,9.596,9.848,1.169,0.6060000000000001,6.377,6.754,20.677,19.223000000000003,0.184,0.193,11.989999999999998,9.88,12.53,16.793,1.012,0.806,6.866,8.828999999999999,0.972,26.045000000000005,22.135,26.632,26.305,2.1049999999999995,2.215
"2022-01-25 - FLA 5, WPG 3",WPG,1.0,45.99399999999999,48.077000000000005,35.437,34.658,2.236,1.535,9.498,9.221999999999998,1.156,0.6200000000000001,6.564,6.572,20.507,18.823,0.273,0.193,11.916,9.16,13.438,17.101000000000003,0.8030000000000002,0.7100000000000001,6.871,8.822,0.9763,26.156,22.985,26.275,25.49,2.084,2.14
"2022-01-27 - VAN 5, WPG 1",WPG,1.0,45.318,46.412,35.471000000000004,33.987,2.447,1.625,9.594,8.677,1.4759999999999998,0.804,6.757,6.110999999999999,20.566000000000003,19.201,0.273,0.1049999999999999,11.73,9.46,12.711,15.453,0.6990000000000001,0.71,6.354000000000001,8.061,0.9728,25.854000000000003,22.342,24.069,24.826,2.079,2.08
"2022-01-29 - WPG 4, STL 1",WPG,1.0,47.088,46.557,36.757,34.17100000000001,2.668,1.429,10.067,8.415000000000001,1.375,0.8019999999999999,6.789,5.677,20.81,19.945,0.385,0.1049999999999999,11.977,9.617,13.309,14.965,0.908,0.521,6.895999999999999,7.849000000000001,0.9609,26.973000000000003,23.371,23.341,24.455,2.123,2.029
"2022-02-01 - WPG 1, PHI 3",WPG,2.0,43.641000000000005,44.882,34.032,33.713,2.38,1.3279999999999998,9.374,7.862,1.089,0.7969999999999999,6.287,5.153999999999999,18.93,19.531,0.385,0.1049999999999999,10.777,9.586,12.583,14.440000000000005,0.908,0.418,6.491,7.458,0.9689,25.042,21.956,22.242,23.546,1.94,1.973
"2022-02-08 - MIN 0, WPG 2",WPG,6.0,43.112,44.338,34.113,32.753,2.4720000000000004,1.3279999999999998,10.022,7.414999999999999,1.183,0.797,6.75,5.254,18.183,20.268,0.385,0.1049999999999999,10.257,9.722,12.55,13.818,0.9009999999999998,0.418,6.511,7.125,0.9648,25.024,22.566,21.203,23.462,2.006,1.849
"2022-02-11 - WPG 3, DAL 4",WPG,2.0,41.712,44.037,32.825,32.345,2.083,1.3279999999999998,9.651,7.154999999999999,0.8960000000000001,0.797,6.557,5.202999999999999,16.938,19.832,0.385,0.1049999999999999,9.274,9.332,12.889999999999995,13.917000000000002,0.8009999999999998,0.418,6.113,6.915000000000001,0.9757,23.473,22.573,21.02,22.916,1.908,1.7990000000000002
"2022-02-12 - WPG 5, NSH 2",WPG,0.0,43.71,42.022000000000006,33.614,31.483,2.364,1.322,10.322,7.331,1.082,0.903,6.839,5.378,17.128,19.138,0.385,0.0,8.936,9.379,13.947,12.694,0.8959999999999999,0.42,6.609,6.453,0.9637,23.818,24.275,20.012,22.762,2.064,1.751
"2022-02-14 - CHI 3, WPG 1",WPG,1.0,42.624,41.80800000000001,32.538,31.488,2.176,1.214,9.538,6.644999999999999,1.082,0.903,6.687,5.016,17.784,20.353,0.296,0.0,9.309,10.209,13.086,12.438,0.7929999999999999,0.316,6.332,6.221,0.9664,23.836,22.633,19.092,22.99,1.9520000000000004,1.687
"2022-02-16 - MIN 3, WPG 6",WPG,1.0,44.038,43.313,33.524,32.534,1.997,1.206,9.927,7.046000000000001,0.997,0.8930000000000001,7.037999999999999,5.353,18.499,21.488000000000003,0.296,0.0,9.479,10.843999999999998,13.009,12.456,0.706,0.316,5.834,5.726000000000001,0.9764,24.161,22.95,19.476,23.371,1.9970000000000003,1.777
"2022-02-17 - SEA 3, WPG 5",WPG,0.0,45.858,43.203,35.255,32.593,2.018,1.3829999999999998,10.03,7.922,1.011,1.065,6.791,5.989,19.197,20.568,0.3899999999999999,0.0,9.688,10.483,13.567999999999998,12.252,0.61,0.316,6.5120000000000005,5.689,0.9848,25.025,23.609,20.156,23.519,2.1130000000000004,1.887
"2022-02-19 - EDM 4, WPG 2",WPG,1.0,45.96,42.512,34.952,32.813,2.04,1.558,10.104,8.133,1.127,0.959,6.912999999999999,6.121,19.637,20.657000000000004,0.301,0.0,9.215,11.136,12.968,11.325,0.61,0.6020000000000001,6.205,5.224,0.9873999999999998,24.262,23.044,19.467,23.849,2.121,1.889
"2022-02-21 - WPG 1, CGY 3",WPG,1.0,46.135000000000005,41.935,34.666000000000004,32.001999999999995,1.618,1.373,9.834,7.854999999999999,0.8089999999999999,0.775,6.653999999999999,5.758999999999999,19.911,19.6,0.301,0.0,9.803,10.544999999999998,12.888,12.26,0.505,0.6020000000000001,5.895,5.673,0.994,24.277,22.692,20.139000000000003,23.062,2.008,1.864
"2022-02-23 - WPG 2, DAL 3",WPG,1.0,44.57,40.761,33.545,31.025,1.39,1.382,9.256,8.415000000000001,0.8089999999999999,0.784,6.465000000000001,6.553,19.518,18.024,0.189,0.0,9.397,9.438,12.394,12.256,0.391,0.6020000000000001,5.734999999999999,5.695,1.0013999999999998,23.422,21.639,20.67,22.725,1.942,1.828
"2022-02-25 - WPG 3, COL 6",WPG,1.0,45.666,40.258,34.8,30.295,1.482,1.281,9.517,8.126999999999999,0.901,0.683,6.82,6.356999999999999,19.874,17.798000000000002,0.189,0.0,9.449,9.235,12.847,11.813,0.391,0.6020000000000001,6.023,5.799,0.9919,24.054,22.366,19.944,22.652,2.031,1.7440000000000002
"2022-02-27 - WPG 5, ARI 3",WPG,1.0,47.886,38.814,35.849000000000004,29.337,1.866,1.388,9.354,8.233999999999998,1.185,0.8969999999999999,6.822999999999999,6.680999999999999,21.245,17.107999999999997,0.284,0.0,9.989999999999998,8.815999999999999,13.592,11.064,0.398,0.497,6.4590000000000005,5.379,0.988,25.014,22.97,19.304,21.923,2.018,1.759
"2022-03-01 - MTL 4, WPG 8",WPG,1.0,49.827000000000005,41.285,37.348,31.718,2.145,1.806,10.207,9.406,1.277,1.109,7.237999999999999,7.400999999999999,22.369,18.025,0.4679999999999999,0.0,10.301,9.419,13.207,11.731,0.398,0.708,6.435,5.815,0.9892,25.622000000000003,23.43,21.158,23.536,2.165,2.014
"2022-03-04 - DAL 4, WPG 3",WPG,2.0,48.67100000000001,39.836,36.915,30.681,2.1670000000000003,1.7919999999999998,10.573,9.267,1.1949999999999998,1.097,7.473999999999999,7.18,21.779,17.087,0.562,0.106,10.15,9.01,12.321,11.612,0.409,0.6020000000000001,6.155,5.607,0.9908,25.5,22.916,20.889000000000003,22.609,2.128,2.001
"2022-03-06 - NYR 4, WPG 1",WPG,1.0,48.088,39.66199999999999,36.708,30.539,2.385,1.979,11.041,10.050999999999998,1.4069999999999998,1.283,7.826,7.786,20.341,16.594,0.5609999999999999,0.106,9.043,8.667,12.696,10.936,0.409,0.6020000000000001,6.293,5.084,0.9863,24.923,23.748,20.999,22.552,2.1870000000000003,2.087
"2022-03-08 - TB 4, WPG 7",WPG,1.0,47.293,38.267,36.3,29.963,2.492,1.887,10.492,9.761,1.515,1.191,7.503,7.762,20.007,15.156,0.6729999999999999,0.106,9.225,8.034,13.206,11.1,0.304,0.6020000000000001,6.526999999999999,5.617,0.9762,24.686,23.694,20.896,22.606,2.154,2.044
"2022-03-10 - WPG 2, NJ 1",WPG,1.0,43.439,38.797,33.057,30.462,2.69,1.791,10.468,9.547,1.614,1.005,7.699,7.616999999999999,17.62,15.579000000000002,0.579,0.2009999999999999,8.214,8.067,12.0,11.693,0.506,0.6020000000000001,5.764,5.737,0.9542,23.052,22.47,21.24,22.514,2.036,2.057
"2022-03-11 - WPG 2, NYI 5",WPG,0.0,43.955,40.05499999999999,33.855000000000004,31.379999999999995,2.481,1.721,10.69,9.442,1.405,1.111,7.6,7.374,17.421,16.095999999999997,0.579,0.2009999999999999,8.353,8.162,12.751,12.591,0.506,0.421,6.388,6.73,0.9603000000000002,23.725,23.473,22.014000000000003,23.258000000000003,2.092,2.088
"2022-03-13 - WPG 4, STL 3",WPG,1.0,44.818,41.55,33.910000000000004,32.385,2.665,1.924,10.619,9.904,1.589,1.215,7.58,7.609999999999999,17.329,16.681,0.579,0.2009999999999999,8.194999999999999,8.512,13.72,13.196000000000002,0.506,0.527,6.568,6.891,0.963,23.846,24.353,23.105,24.023,2.1,2.209
"2022-03-15 - VGK 3, WPG 7",WPG,1.0,45.371,44.089,34.059999999999995,34.452000000000005,2.665,2.131,10.717,9.163,1.6829999999999998,1.316,7.669000000000001,6.784999999999999,17.472,17.744,0.579,0.2009999999999999,8.312000000000001,9.287,13.803,15.201,0.4109999999999999,0.632,6.58,8.216,0.9685,24.187,24.54,24.411,25.11,2.096,2.386
"2022-03-18 - BOS 4, WPG 2",WPG,2.0,46.548,44.699,34.782,34.787,2.775,2.515,10.753,9.075,1.693,1.415,7.655000000000001,6.949,18.25,18.163000000000004,0.579,0.308,8.619,9.655,14.052,15.44,0.513,0.8160000000000001,6.802,8.169999999999998,0.9851,24.611,24.821,24.559,25.369,2.118,2.428
"2022-03-20 - WPG 6, CHI 4",WPG,1.0,46.777,44.662,35.535000000000004,34.268,2.4170000000000003,2.489,10.614999999999998,8.930000000000001,1.529,1.386,7.352000000000001,6.718999999999999,18.697,18.023000000000003,0.484,0.308,9.382,9.195,13.935,15.994,0.41,0.8160000000000001,6.828999999999999,8.336,0.9995,25.206,24.525,24.984,24.748,2.187,2.4
"2022-03-22 - VGK 0, WPG 4",WPG,1.0,45.932,43.931,34.904,33.123,2.42,2.4880000000000004,10.779,8.165000000000001,1.623,1.28,7.616000000000001,5.951,18.187,18.024,0.3,0.413,9.085,9.369,13.535,15.536,0.513,0.808,7.095999999999999,8.046,1.0029,25.442,24.306,23.752,24.087,2.155,2.18
"2022-03-24 - OTT 5, WPG 2",WPG,1.0,47.652,45.757,36.80800000000001,34.379000000000005,2.117,2.493,10.836,8.351,1.519,1.3830000000000002,7.649000000000001,5.949,18.661,18.592,0.2059999999999999,0.307,9.759,9.299,14.649,16.298,0.407,0.808,7.808,8.254000000000001,1.0157,26.8,25.506,24.672,24.329,2.29,2.258
"2022-03-25 - CBJ 3, WPG 4",WPG,0.0,50.043,46.235,38.316,34.039,2.117,2.4,11.572,7.892,1.621,1.1969999999999998,8.059999999999999,5.512,20.066000000000003,18.848000000000003,0.112,0.4019999999999999,10.611,9.432999999999998,15.125,17.085,0.407,0.808,7.893000000000001,8.440999999999999,1.0181,27.925,26.727,24.974,24.094,2.416,2.173
"2022-03-27 - ARI 1, WPG 2",WPG,1.0,51.563,47.413,38.862,34.272000000000006,1.9,2.494,12.158,8.168000000000001,1.407,1.291,8.234,5.502,20.191,19.177,0.0,0.4019999999999999,10.735,9.576,15.425999999999998,17.581,0.513,0.808,8.052,8.605,1.0339,28.692,27.666999999999994,25.695,24.215,2.484,2.228
"2022-03-30 - WPG 3, BUF 2",WPG,2.0,53.456,48.368,40.041,35.515,1.597,2.2960000000000003,12.263,8.814,1.303,1.187,8.24,5.855,21.418,19.037,0.0,0.307,11.64,9.803,16.162,17.919999999999998,0.311,0.808,7.973999999999999,8.995,1.0442,29.469,28.514,26.692,25.192,2.488,2.301
"2022-03-31 - WPG 3, TOR 7",WPG,0.0,53.213,46.998000000000005,39.965,34.771,1.786,2.287,12.118,9.399,1.491,1.182,8.365,5.929,21.334,18.064,0.0,0.307,11.702,9.411,15.916999999999998,16.98,0.311,0.8089999999999999,7.804999999999998,8.536,1.0387,29.597,28.093,26.356,24.499,2.505,2.306
"2022-04-02 - LA 3, WPG 2",WPG,1.0,51.61800000000001,45.94799999999999,38.933,34.197,1.6809999999999998,2.297,11.92,9.437,1.291,1.292,7.967,6.068,20.512,17.65,0.088,0.307,11.219,9.093,15.676999999999998,16.168,0.311,0.703,7.986,8.136,1.0427,28.6,27.664,25.547,23.901,2.451,2.205
"2022-04-06 - DET 3, WPG 1",WPG,3.0,51.568000000000005,42.971,38.735,31.648000000000003,1.693,2.176,11.754,9.62,1.197,1.183,7.751,6.005999999999999,21.735000000000003,16.956,0.088,0.307,11.819,8.637,15.559,14.413,0.416,0.694,7.822999999999999,6.868,1.0459999999999998,28.488,27.355,23.966,22.132,2.498,2.028
"2022-04-08 - COL 5, WPG 4",WPG,1.0,50.471,43.232,37.388,32.586,1.597,1.778,11.311,10.13,1.201,1.176,7.4940000000000015,6.347999999999999,21.046,16.737,0.088,0.2,11.725,8.629000000000001,15.813,14.528,0.314,0.4049999999999999,7.662000000000001,6.95,1.0255999999999998,27.856,27.154000000000003,24.614,22.767,2.46,2.085
"2022-04-10 - WPG 4, OTT 3",WPG,1.0,48.801,45.056,36.148,34.649,1.804,1.873,11.174,11.424,1.095,1.177,7.361,6.999,19.667,17.026999999999997,0.193,0.2,11.066,9.549,15.912,14.438,0.525,0.5079999999999999,7.753,7.041,1.0139999999999998,27.042,27.113,25.836,24.536,2.377,2.316
"2022-04-11 - WPG 4, MTL 2",WPG,0.0,46.96,42.76,34.927,33.461,1.616,1.6649999999999998,10.193,10.987,1.003,1.179,6.639999999999999,6.670999999999999,19.152,16.671,0.193,0.189,10.918,9.412,15.954999999999998,13.704,0.422,0.305,7.765000000000001,6.73,1.0154999999999998,26.166999999999994,26.147,24.663,23.565,2.242,2.279
"2022-04-15 - WPG 1, FLA 6",WPG,3.0,45.592,43.972,33.342,34.581,1.803,1.779,10.191,11.174,1.189,1.295,6.743,7.123,18.98,17.313,0.193,0.189,10.445,10.557,14.614,13.612,0.422,0.305,6.840999999999999,6.524000000000001,1.0064,24.974,24.804,24.791,25.147,2.135,2.332
"2022-04-16 - WPG 4, TB 7",WPG,0.0,45.318,43.015,33.954,34.532,2.082,1.785,10.324000000000002,11.316999999999998,1.36,1.295,7.023000000000001,7.033,18.209,16.787,0.299,0.094,10.581,10.383,14.693,13.006,0.422,0.4049999999999999,7.172,6.43,1.0026,25.859,25.009,24.347,24.84,2.225,2.359
"2022-04-19 - WPG 0, NYR 3",WPG,2.0,44.626,41.086,33.898,33.092,2.458,2.008,10.166,10.984,1.456,1.519,7.08,6.869,18.716,16.695,0.388,0.094,10.6,10.044999999999998,14.553999999999998,11.96,0.609,0.4049999999999999,7.141000000000001,5.656,1.0072,25.785000000000004,24.687,22.994,23.558,2.19,2.226
"2022-04-21 - WPG 2, CAR 4",WPG,1.0,44.539,39.892,33.959,31.865,2.456,1.914,10.195,10.071000000000002,1.355,1.425,7.347999999999999,6.419999999999999,18.526,16.522,0.4939999999999999,0.094,10.627,10.057999999999998,14.334,11.886,0.609,0.4049999999999999,7.121,5.984999999999999,1.0047,26.063,24.482,22.041,23.419,2.182,2.117
