Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - NYR 1, WSH 5",WSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - TB 2, WSH 1",WSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - COL 3, WSH 6",WSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - WSH 4, NJ 1",WSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CGY 4, WSH 3",WSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - WSH 7, OTT 5",WSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - DET 3, WSH 2",WSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - ARI 0, WSH 2",WSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - WSH 2, TB 3",WSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - WSH 4, FLA 5",WSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - PHI 2, WSH 1",WSH,1.0,37.66,43.973,26.215,34.159000000000006,1.37,2.536,7.168000000000001,9.419,0.683,1.132,5.133,7.040000000000001,15.623,17.637999999999998,0.5820000000000001,0.428,7.945,9.609,11.647,13.726,0.094,0.986,5.453,6.455,1.0295,19.235,18.929,23.068,24.722,1.494,2.011
"2021-11-08 - BUF 3, WSH 5",WSH,1.0,40.963,44.29,28.369,34.366,1.583,2.532,8.049000000000001,9.739,0.791,1.132,5.797,7.281000000000001,16.787,18.424,0.5820000000000001,0.428,8.584,10.108,12.547,13.212,0.199,0.991,6.022,6.209,1.022,21.193,20.666000000000004,22.929,24.887,1.654,2.082
