Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2022-10-07 - SJ 1, NSH 4",SJ,39.07,50.53,30.96,30.49,21.11,22.37,1.01,2.88,1.97,2.67,16.96,30.75,8.04,13.78,4.92,8.88,0.0,0.94,8.85,17.09,5.04,7.9,1.06,1.89,23.51,23.16,9.04,5.35,0.0,0.0,0.919
"2022-10-07 - SJ 1, NSH 4",NSH,50.53,39.07,30.49,30.96,22.37,21.11,2.88,1.01,2.67,1.97,30.75,16.96,13.78,8.04,8.88,4.92,0.94,0.0,17.09,8.85,7.9,5.04,1.89,1.06,23.16,23.51,5.35,9.04,0.0,0.0,1.081
"2022-10-08 - NSH 3, SJ 2",NSH,39.9,35.28,25.27,22.13,14.08,17.42,3.08,0.94,1.15,1.65,18.78,18.84,5.08,8.51,3.97,6.69,2.02,0.0,13.67,10.26,5.16,2.83,1.05,0.95,26.42,23.03,3.96,7.9,0.0,0.0,1.165
"2022-10-08 - NSH 3, SJ 2",SJ,35.28,39.9,22.13,25.27,17.42,14.08,0.94,3.08,1.65,1.15,18.84,18.78,8.51,5.08,6.69,3.97,0.0,2.02,10.26,13.67,2.83,5.16,0.95,1.05,23.03,26.42,7.9,3.96,0.0,0.0,0.835
"2022-10-11 - TB 1, NYR 3",TB,28.41,39.09,20.27,24.94,15.23,19.82,0.0,0.99,1.54,2.17,16.69,23.41,9.59,9.56,8.43,7.63,0.0,0.99,7.13,13.92,2.06,2.94,0.0,0.0,11.94,18.27,3.91,9.24,0.0,0.0,0.95
"2022-10-11 - TB 1, NYR 3",NYR,39.09,28.41,24.94,20.27,19.82,15.23,0.99,0.0,2.17,1.54,23.41,16.69,9.56,9.59,7.63,8.43,0.99,0.0,13.92,7.13,2.94,2.06,0.0,0.0,18.27,11.94,9.24,3.91,0.0,0.0,1.05
"2022-10-11 - VGK 4, LA 3",VGK,70.73,41.99,51.33,35.05,44.03,23.39,3.12,2.79,3.91,2.15,51.18,20.87,22.33,11.12,20.08,9.4,1.06,2.78,28.78,9.71,10.18,2.94,2.11,0.0,23.44,32.93,11.15,10.94,0.0,0.0,0.952
"2022-10-11 - VGK 4, LA 3",LA,41.99,70.73,35.05,51.33,23.39,44.03,2.79,3.12,2.15,3.91,20.87,51.18,11.12,22.33,9.4,20.08,2.78,1.06,9.71,28.78,2.94,10.18,0.0,2.11,32.93,23.44,10.94,11.15,0.0,0.0,1.048
"2022-10-12 - BOS 5, WSH 2",BOS,45.7,41.75,30.78,30.59,22.97,21.78,3.2,1.87,2.28,1.76,26.69,16.13,11.23,6.22,6.74,2.7,2.15,0.0,15.73,9.71,6.44,6.4,1.04,1.99,15.43,21.36,6.62,9.92,0.0,0.0,1.054
"2022-10-12 - BOS 5, WSH 2",WSH,41.75,45.7,30.59,30.78,21.78,22.97,1.87,3.2,1.76,2.28,16.13,26.69,6.22,11.23,2.7,6.74,0.0,2.15,9.71,15.73,6.4,6.44,1.99,1.04,21.36,15.43,9.92,6.62,0.0,0.0,0.946
