Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - MTL 1, BUF 5",BUF,43.05,33.02,36.0,24.33,23.16,20.64,1.97,1.01,1.59,0.64,17.5,8.72,7.04,1.97,6.09,1.94,0.96,0.0,10.63,6.57,6.17,2.98,0.94,1.02,25.02,23.32,10.93,14.99,0.0,0.0,1.036,2021-10-14,MTL,1,BUF,5,Won,
"2021-10-16 - ARI 1, BUF 2",BUF,42.25,29.02,33.54,22.84,26.96,15.55,0.0,1.06,1.47,0.9,21.77,11.59,10.18,7.51,7.45,6.38,0.0,1.06,11.59,4.14,5.83,1.03,0.0,0.0,20.24,16.47,13.63,8.2,0.0,0.0,0.932,2021-10-16,ARI,1,BUF,2,Won,1.0
"2021-10-19 - VAN 2, BUF 5",BUF,42.15,32.96,35.01,28.03,29.61,26.95,3.78,2.11,2.27,1.54,20.41,13.24,12.91,10.35,11.24,9.18,2.85,1.06,7.31,3.05,5.66,2.03,0.0,1.05,20.72,19.0,11.69,15.68,0.89,0.0,1.049,2021-10-19,VAN,2,BUF,5,Won,2.0
"2021-10-22 - BOS 4, BUF 1",BUF,50.85,38.23,35.53,30.81,27.03,23.78,0.92,2.13,1.95,1.93,31.21,18.17,13.74,10.43,6.82,5.78,0.0,1.08,17.13,7.88,6.39,3.22,0.96,1.05,20.16,17.57,13.53,13.92,0.0,0.0,0.944,2021-10-22,BOS,4,BUF,1,Lost,2.0
"2021-10-23 - BUF 1, NJ 2",BUF,42.55,53.7,34.64,42.24,25.77,28.65,0.0,0.0,2.18,2.85,25.02,30.1,6.6,12.52,5.45,8.98,0.0,0.0,18.59,17.34,11.62,4.77,0.0,0.0,15.26,22.8,8.72,13.74,0.0,0.0,1.0,2021-10-23,BUF,1,NJ,2,Won,0.0
"2021-10-25 - TB 1, BUF 5",BUF,36.92,56.86,28.61,42.73,18.41,28.86,2.88,1.01,1.42,2.4,19.6,27.44,8.61,15.54,5.82,8.18,1.88,1.01,11.07,11.82,5.0,5.04,0.94,0.0,13.74,24.2,6.48,15.51,0.0,0.0,1.121,2021-10-25,TB,1,BUF,5,Won,1.0
"2021-10-28 - BUF 4, ANA 3",BUF,48.77,48.18,37.77,40.14,24.73,32.02,2.11,1.87,2.08,2.52,24.88,27.61,4.44,14.47,4.43,13.62,1.07,0.93,20.46,12.98,7.33,6.71,0.0,0.96,21.78,16.68,13.07,9.55,1.05,0.0,1.027,2021-10-28,BUF,4,ANA,3,Lost,2.0
"2021-10-31 - BUF 2, LA 3",BUF,32.76,39.53,25.1,31.1,21.91,21.71,1.08,1.89,1.98,1.98,15.92,18.51,10.76,8.11,8.55,6.41,1.08,1.87,5.32,10.37,3.1,3.8,0.0,0.0,16.8,26.66,9.39,11.48,0.0,0.0,0.962,2021-10-31,BUF,2,LA,3,Won,2.0
"2021-11-02 - BUF 3, SJ 5",BUF,36.73,40.47,28.68,27.84,23.89,22.74,2.02,3.86,1.24,1.48,12.67,22.93,3.96,6.81,2.92,3.99,0.0,1.93,8.52,16.43,2.92,9.01,1.0,0.0,24.37,14.75,17.43,7.57,0.93,1.06,0.915,2021-11-02,BUF,3,SJ,5,Won,1.0
"2021-11-04 - BUF 2, SEA 5",BUF,29.9,37.33,21.59,34.08,15.55,26.18,1.01,2.86,1.06,1.94,11.15,16.63,4.12,5.92,3.08,4.98,0.0,0.0,6.96,10.82,3.03,6.89,1.06,1.91,18.88,19.44,9.14,14.44,0.0,1.06,0.956,2021-11-04,BUF,2,SEA,5,Won,1.0
"2021-11-06 - DET 4, BUF 3",BUF,46.95,43.86,36.02,31.46,27.27,25.26,1.91,3.08,1.86,2.7,18.81,26.96,7.41,12.38,6.57,12.25,1.91,2.07,11.34,14.64,6.73,7.15,0.0,1.02,25.2,13.2,14.11,6.25,0.0,0.0,0.948,2021-11-06,DET,4,BUF,3,Lost,1.0
"2021-11-08 - BUF 3, WSH 5",BUF,45.65,38.03,33.08,33.34,21.77,23.99,3.03,3.91,1.62,1.56,21.52,19.11,4.97,7.88,3.91,5.01,1.04,1.93,16.11,11.36,5.9,8.01,1.02,1.88,19.21,16.12,10.81,9.88,0.94,0.0,0.976,2021-11-08,BUF,3,WSH,5,Won,1.0
"2021-11-12 - EDM 2, BUF 3",BUF,30.52,48.29,24.4,33.39,20.47,28.1,2.81,0.0,1.43,1.96,13.42,17.35,7.55,7.2,6.63,6.13,2.8,0.0,5.83,10.05,3.87,4.04,0.0,0.0,13.14,25.98,7.09,15.67,0.0,0.0,1.137,2021-11-12,EDM,2,BUF,3,Won,3.0
"2021-11-13 - TOR 5, BUF 4",BUF,46.92,42.18,38.64,33.1,23.24,23.23,3.75,4.25,1.54,1.36,20.0,17.11,6.36,5.38,4.52,4.28,0.93,1.06,13.42,11.8,5.56,7.24,1.99,2.1,26.2,24.0,13.23,11.81,0.89,1.11,0.979,2021-11-13,TOR,5,BUF,4,Lost,0.0
"2021-11-16 - BUF 2, PIT 1",BUF,28.68,45.14,22.07,34.93,16.77,29.56,2.13,0.0,1.46,1.69,11.82,20.81,5.48,5.39,5.45,4.47,1.08,0.0,6.37,15.2,5.23,6.6,0.0,0.0,15.82,22.72,5.07,17.4,1.05,0.0,1.127,2021-11-16,BUF,2,PIT,1,Lost,2.0
