Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - ARI 2, CBJ 8",CBJ,39.15,56.46,30.93,43.26,23.47,28.61,4.92,1.0,1.43,2.66,18.65,36.2,3.0,13.68,3.04,11.55,0.94,0.0,16.09,22.0,7.23,8.71,1.0,0.0,17.58,21.15,12.33,7.77,3.19,0.94,1.174,2021-10-14,ARI,2,CBJ,8,Won,
"2021-10-16 - SEA 1, CBJ 2",CBJ,50.48,46.16,32.74,31.43,21.64,19.73,0.92,1.06,1.63,1.45,23.22,20.2,5.5,5.33,3.67,4.22,0.0,0.0,17.68,14.9,5.7,5.14,0.96,1.05,23.39,23.97,12.3,10.4,0.0,0.0,0.989,2021-10-16,SEA,1,CBJ,2,Won,1.0
"2021-10-19 - CBJ 1, DET 4",CBJ,36.7,48.5,29.59,44.4,18.38,36.56,0.0,1.93,1.85,2.82,19.87,23.1,10.65,11.34,7.38,9.52,0.0,0.0,9.25,11.76,4.09,8.82,0.0,1.89,16.03,25.06,5.99,18.26,0.0,0.0,0.947,2021-10-19,CBJ,1,DET,4,Won,2.0
"2021-10-21 - NYI 2, CBJ 3",CBJ,39.98,49.4,30.21,39.28,23.45,28.85,0.94,2.07,1.62,2.47,22.94,27.22,8.54,10.75,7.63,9.6,0.94,1.06,14.48,16.43,7.77,7.15,0.0,1.06,14.74,17.4,7.0,10.23,0.0,0.0,0.969,2021-10-21,NYI,2,CBJ,3,Won,1.0
"2021-10-23 - CAR 5, CBJ 1",CBJ,35.57,42.99,25.62,32.25,18.55,24.47,0.0,2.14,1.32,2.1,16.6,23.52,5.91,9.0,5.07,5.68,0.0,1.09,10.47,14.79,1.81,8.73,0.0,1.05,14.94,13.39,11.4,8.88,0.0,0.0,0.913,2021-10-23,CAR,5,CBJ,1,Lost,1.0
"2021-10-25 - DAL 1, CBJ 4",CBJ,40.28,33.21,28.21,28.23,17.81,19.8,2.92,0.0,2.05,1.44,21.35,15.45,11.09,4.93,7.13,0.97,1.95,0.0,10.33,10.24,3.99,7.74,0.95,0.0,13.93,17.37,5.54,9.87,0.0,0.0,1.164,2021-10-25,DAL,1,CBJ,4,Won,1.0
"2021-10-29 - CBJ 0, NYR 4",CBJ,44.07,50.68,35.22,38.62,24.86,27.04,0.0,1.93,1.81,2.16,26.42,26.05,6.95,8.82,2.88,4.89,0.0,0.0,19.05,17.52,7.79,11.04,0.0,1.89,14.72,20.65,10.03,11.23,0.0,0.0,0.929,2021-10-29,CBJ,0,NYR,4,Won,3.0
"2021-10-31 - CBJ 4, NJ 3",CBJ,47.67,53.41,29.13,38.19,20.13,31.0,2.07,2.81,2.01,2.12,29.85,32.07,8.2,9.44,5.08,9.53,0.0,1.86,21.53,22.8,8.28,11.76,1.06,0.0,17.35,18.65,6.73,9.51,1.05,0.95,1.012,2021-10-31,CBJ,4,NJ,3,Lost,1.0
"2021-11-03 - CBJ 5, COL 4",CBJ,59.75,41.99,42.57,24.64,35.55,20.7,4.16,1.93,2.26,1.24,24.14,17.07,11.82,6.36,10.63,5.52,3.15,0.99,12.25,10.78,5.09,5.01,1.02,0.0,27.46,21.76,15.72,10.05,0.0,0.95,1.024,2021-11-03,CBJ,5,COL,4,Lost,2.0
"2021-11-06 - COL 2, CBJ 4",CBJ,38.97,49.17,30.34,40.88,26.66,31.26,2.81,2.07,2.03,3.53,21.43,31.74,9.15,16.06,9.23,12.69,0.0,0.0,12.19,15.83,7.64,10.46,1.9,1.05,11.46,14.66,6.73,7.27,0.89,0.94,1.039,2021-11-06,COL,2,CBJ,4,Won,2.0
