Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - CHI 2, COL 4",CHI,36.32,58.78,25.15,39.58,20.27,28.91,1.0,3.9,0.94,2.5,14.36,35.14,2.9,11.03,2.85,7.13,0.0,2.9,11.12,24.7,4.73,9.32,1.0,0.0,19.62,18.94,11.2,12.58,0.0,1.07,0.915,2021-10-13,CHI,2,COL,4,Won,
"2021-10-15 - CHI 3, NJ 4",CHI,32.21,46.39,23.73,38.74,16.84,24.44,0.0,2.88,1.36,2.48,20.27,28.82,8.26,11.9,7.11,8.07,0.0,1.93,11.9,17.09,2.03,8.85,0.0,0.95,12.48,16.68,7.69,7.32,0.0,0.0,0.882,2021-10-15,CHI,3,NJ,4,Won,1.0
"2021-10-16 - CHI 2, PIT 5",CHI,26.38,40.77,15.34,31.24,10.89,23.63,1.0,3.91,0.77,1.51,13.12,19.8,3.87,7.06,3.8,7.16,1.02,1.93,8.96,13.03,1.88,4.21,0.0,1.98,12.93,18.06,5.08,10.25,0.0,0.0,0.927,2021-10-16,CHI,2,PIT,5,Won,0.0
"2021-10-19 - NYI 4, CHI 1",CHI,49.61,45.14,35.7,32.67,28.6,25.14,0.92,4.26,1.83,1.24,20.92,14.38,8.95,2.18,5.35,2.17,0.91,1.06,11.78,12.35,7.53,6.46,0.0,2.01,27.11,27.52,15.64,16.55,0.0,1.12,0.862,2021-10-19,NYI,4,CHI,1,Lost,2.0
"2021-10-21 - VAN 4, CHI 1",CHI,35.95,38.56,24.69,26.71,18.44,15.99,0.0,2.11,1.59,1.22,22.44,16.13,12.49,3.26,8.05,3.24,0.0,1.06,9.67,12.89,3.71,4.18,0.0,1.05,9.21,17.14,6.59,7.51,0.0,0.0,0.868,2021-10-21,VAN,4,CHI,1,Lost,1.0
"2021-10-24 - DET 6, CHI 3",CHI,30.54,45.39,20.42,37.31,12.44,32.84,1.84,5.29,1.19,2.9,13.04,31.87,6.87,9.95,5.16,8.86,1.83,4.28,5.99,22.09,1.76,13.98,0.0,1.05,13.14,12.24,3.59,9.99,0.0,0.0,0.987,2021-10-24,DET,6,CHI,3,Lost,2.0
"2021-10-27 - TOR 3, CHI 2",CHI,32.21,55.94,26.65,38.44,19.51,26.99,0.99,2.03,1.57,1.88,17.88,19.85,3.8,3.04,3.85,3.0,0.0,0.0,14.32,16.46,8.01,7.99,0.94,2.08,11.75,32.64,6.57,14.62,0.0,0.0,0.976,2021-10-27,TOR,3,CHI,2,Lost,2.0
"2021-10-29 - CHI 3, CAR 6",CHI,31.19,38.4,24.89,29.72,16.42,24.52,1.06,4.78,1.33,1.67,12.96,15.13,5.15,6.83,4.14,6.91,1.06,2.85,7.7,8.39,4.88,4.02,0.0,0.96,14.85,18.77,7.28,11.62,0.0,1.06,0.87,2021-10-29,CHI,3,CAR,6,Won,1.0
"2021-10-30 - CHI 0, STL 1",CHI,44.79,55.32,35.65,44.23,21.27,30.51,0.0,0.0,2.26,2.86,29.2,35.58,9.52,11.4,4.15,10.59,0.0,0.0,19.54,24.37,9.23,10.71,0.0,0.0,16.03,19.08,7.84,9.06,0.0,0.0,1.0,2021-10-30,CHI,0,STL,1,Won,0.0
"2021-11-01 - OTT 1, CHI 5",CHI,47.4,41.65,31.45,27.94,22.9,21.43,2.92,1.0,1.25,1.93,20.12,25.36,5.05,4.09,3.04,2.98,1.92,0.0,15.34,20.63,7.0,12.79,0.0,1.0,19.29,12.67,9.83,4.92,1.07,0.0,1.081,2021-11-01,OTT,1,CHI,5,Won,1.0
