Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - CHI 2, COL 4",COL,58.78,36.32,39.58,25.15,28.91,20.27,3.9,1.0,2.5,0.94,35.14,14.36,11.03,2.9,7.13,2.85,2.9,0.0,24.7,11.12,9.32,4.73,0.0,1.0,18.94,19.62,12.58,11.2,1.07,0.0,1.085,2021-10-13,CHI,2,COL,4,Won,
"2021-10-16 - STL 5, COL 3",COL,45.34,40.54,34.49,31.11,22.96,23.1,0.92,3.18,1.98,1.68,23.85,15.66,8.7,6.79,6.01,4.47,0.0,0.0,14.83,9.01,7.35,5.44,0.96,3.06,19.18,21.29,8.55,12.13,0.0,0.0,0.902,2021-10-16,STL,5,COL,3,Lost,2.0
"2021-10-19 - COL 3, WSH 6",COL,27.57,54.03,19.26,42.42,16.25,32.54,1.01,4.8,1.12,2.81,13.85,27.46,5.16,12.47,4.05,10.74,1.01,1.88,8.5,15.07,4.76,7.88,0.0,1.89,11.12,21.57,7.42,11.73,0.0,1.07,0.915,2021-10-19,COL,3,WSH,6,Won,2.0
"2021-10-21 - COL 1, FLA 4",COL,42.84,52.06,31.6,35.83,29.5,28.61,1.01,1.93,1.97,1.94,23.22,17.92,11.19,8.75,10.0,8.86,1.01,0.94,11.91,9.25,10.07,5.04,0.0,0.94,17.3,29.52,9.61,12.51,0.0,0.0,0.967,2021-10-21,COL,1,FLA,4,Won,1.0
"2021-10-23 - COL 4, TB 3",COL,29.91,34.89,22.34,31.43,14.78,21.19,2.11,1.85,1.17,1.66,16.07,16.45,5.38,6.23,5.33,4.43,1.06,1.84,10.76,10.12,4.2,3.8,0.0,0.0,12.79,16.56,4.23,11.86,1.05,0.0,1.056,2021-10-23,COL,4,TB,3,Lost,1.0
"2021-10-26 - VGK 3, COL 1",COL,44.49,42.98,27.42,30.12,20.53,22.1,0.0,1.06,1.64,1.24,22.09,18.92,7.01,6.69,4.38,5.56,0.0,1.06,14.71,12.47,3.66,5.38,0.0,0.0,20.22,15.89,11.38,6.81,0.0,0.0,0.952,2021-10-26,VGK,3,COL,1,Lost,2.0
"2021-10-28 - COL 4, STL 3",COL,56.91,29.6,41.77,19.69,36.05,15.98,3.16,2.85,2.35,0.94,29.83,14.74,12.84,0.0,12.75,0.0,1.01,0.0,17.1,14.74,9.43,7.56,1.04,2.06,22.88,13.04,11.96,6.63,1.11,0.95,0.91,2021-10-28,COL,4,STL,3,Lost,1.0
"2021-10-30 - MIN 1, COL 4",COL,47.05,49.14,31.48,33.25,24.46,24.35,1.89,0.0,1.56,1.36,23.72,21.17,5.94,4.09,5.0,1.05,0.0,0.0,18.02,16.82,9.84,9.04,1.9,0.0,20.62,24.63,8.57,12.96,0.0,0.0,1.077,2021-10-30,MIN,1,COL,4,Won,1.0
"2021-11-03 - CBJ 5, COL 4",COL,41.99,59.75,24.64,42.57,20.7,35.55,1.93,4.16,1.24,2.26,17.07,24.14,6.36,11.82,5.52,10.63,0.99,3.15,10.78,12.25,5.01,5.09,0.0,1.02,21.76,27.46,10.05,15.72,0.95,0.0,0.976,2021-11-03,CBJ,5,COL,4,Lost,3.0
"2021-11-06 - COL 2, CBJ 4",COL,49.17,38.97,40.88,30.34,31.26,26.66,2.07,2.81,3.53,2.03,31.74,21.43,16.06,9.15,12.69,9.23,0.0,0.0,15.83,12.19,10.46,7.64,1.05,1.9,14.66,11.46,7.27,6.73,0.94,0.89,0.961,2021-11-06,COL,2,CBJ,4,Won,2.0
"2021-11-11 - VAN 1, COL 7",COL,47.49,32.55,40.23,22.55,28.11,16.33,3.97,1.0,2.22,1.31,27.22,17.86,9.21,4.83,8.29,1.9,0.99,1.02,18.43,12.6,9.35,5.67,1.98,0.0,14.75,13.79,8.1,8.43,1.06,0.0,1.08,2021-11-11,VAN,1,COL,7,Won,4.0
"2021-11-13 - SJ 2, COL 6",COL,44.56,35.47,28.54,27.45,22.11,24.54,2.92,1.06,1.45,2.0,21.5,18.99,5.01,9.06,2.98,7.0,1.91,0.0,16.85,9.92,11.41,6.07,0.94,0.0,19.11,15.16,4.21,10.46,0.0,1.05,1.089,2021-11-13,SJ,2,COL,6,Won,1.0
"2021-11-17 - COL 4, VAN 2",COL,47.46,53.94,28.87,36.14,19.28,28.0,0.0,1.87,1.15,2.48,17.23,31.83,5.43,12.57,2.11,9.1,0.0,0.92,11.88,18.94,4.2,5.66,0.0,0.0,23.54,21.27,11.94,13.11,0.0,0.95,0.933,2021-11-17,COL,4,VAN,2,Lost,3.0
"2021-11-19 - COL 7, SEA 3",COL,41.94,24.27,32.08,20.55,25.27,15.47,4.3,0.92,1.67,1.19,20.61,11.21,9.26,5.09,7.06,4.13,2.18,0.91,11.55,5.97,7.75,4.51,1.04,0.0,18.69,13.21,8.23,6.66,1.12,0.0,1.111,2021-11-19,COL,7,SEA,3,Lost,1.0
"2021-11-22 - OTT 5, COL 7",COL,43.6,21.96,36.42,13.08,27.59,12.02,4.7,3.08,2.47,0.65,22.04,10.11,11.34,1.07,8.64,1.05,2.82,0.0,10.65,8.9,5.81,4.01,1.91,2.12,20.23,8.1,12.11,5.99,0.0,1.05,0.914,2021-11-22,OTT,5,COL,7,Won,2.0
"2021-11-24 - ANA 2, COL 5",COL,42.84,33.7,29.17,25.89,23.16,16.25,3.85,0.0,1.76,1.15,17.56,9.73,8.75,8.05,3.89,2.98,0.94,0.0,8.72,1.79,6.0,1.88,1.94,0.0,16.35,21.18,12.31,10.06,0.89,0.0,1.166,2021-11-24,ANA,2,COL,5,Won,1.0
"2021-11-26 - COL 1, DAL 3",COL,41.9,40.34,36.55,30.99,26.59,14.86,0.0,1.93,2.31,1.86,24.72,24.8,8.76,9.03,7.66,6.06,0.0,1.93,15.52,16.16,8.66,2.05,0.0,0.0,14.86,12.19,6.82,5.69,0.0,0.0,0.87,2021-11-26,COL,1,DAL,3,Won,1.0
"2021-11-27 - NSH 2, COL 6",COL,55.06,36.31,34.05,29.68,23.32,19.51,3.97,2.02,1.6,1.99,24.7,19.28,6.04,7.91,4.03,4.87,2.93,2.06,19.12,11.11,7.19,5.77,1.0,0.0,26.28,14.19,10.01,7.79,0.0,0.0,1.067,2021-11-27,NSH,2,COL,6,Won,0.0
"2021-12-01 - COL 3, TOR 8",COL,46.82,55.1,34.22,47.75,23.11,39.43,2.02,6.88,1.62,3.2,25.86,33.93,8.8,13.97,6.7,13.21,2.06,3.9,16.63,20.34,6.8,13.41,0.0,1.95,22.08,18.64,9.52,12.54,0.0,1.06,0.913,2021-12-01,COL,3,TOR,8,Won,3.0
"2021-12-02 - COL 4, MTL 1",COL,51.54,29.2,35.34,21.39,23.45,15.88,2.13,0.0,1.72,0.96,26.97,14.59,8.89,3.69,5.56,0.95,1.08,0.0,18.06,10.73,4.18,4.7,0.0,0.0,21.45,12.14,11.69,10.26,1.05,0.0,1.091,2021-12-02,COL,4,MTL,1,Lost,0.0
"2021-12-04 - COL 5, OTT 6",COL,49.55,50.14,34.57,39.67,23.98,30.62,2.06,3.8,1.7,1.81,14.18,15.55,6.08,6.87,5.02,4.94,1.02,2.87,8.11,8.69,5.11,3.87,1.05,0.96,30.55,31.23,11.69,20.27,0.0,0.0,0.962,2021-12-04,COL,5,OTT,6,Won,1.0
"2021-12-06 - COL 7, PHI 5",COL,59.98,42.22,48.78,29.92,39.51,24.03,3.18,2.81,2.54,1.69,23.03,15.71,5.64,5.12,5.64,3.42,0.0,1.84,17.51,10.45,9.67,5.53,3.06,0.95,30.09,18.88,20.02,11.09,0.0,0.0,0.964,2021-12-06,COL,7,PHI,5,Lost,1.0
"2021-12-08 - COL 7, NYR 3",COL,55.14,36.37,37.39,28.54,35.03,22.49,6.34,1.84,2.31,1.92,25.21,20.61,10.14,7.1,10.14,5.41,4.25,0.91,15.19,13.37,7.31,6.49,0.97,0.0,25.29,14.01,15.25,9.6,1.05,0.89,1.099,2021-12-08,COL,7,NYR,3,Lost,1.0
"2021-12-10 - DET 3, COL 7",COL,70.31,36.36,53.87,30.7,43.04,23.35,5.89,2.02,3.28,1.74,40.84,15.24,18.44,9.66,16.63,6.66,1.93,1.02,22.69,5.68,12.55,4.91,1.95,0.0,26.59,18.89,12.35,10.7,2.12,0.93,1.05,2021-12-10,DET,3,COL,7,Won,1.0
"2021-12-12 - FLA 2, COL 3",COL,39.78,36.42,28.74,27.92,21.89,19.9,1.93,1.01,1.72,1.24,21.45,11.21,8.68,6.14,8.78,5.08,0.99,0.0,12.89,5.06,5.91,3.06,0.0,1.06,15.88,21.38,6.01,10.55,0.95,0.0,1.037,2021-12-12,FLA,2,COL,3,Won,1.0
"2021-12-14 - NYR 2, COL 4",COL,42.57,33.43,28.62,24.27,21.6,13.59,2.92,1.01,2.17,1.23,29.81,15.03,10.61,7.16,8.78,5.05,2.92,1.04,19.57,7.78,6.04,5.01,0.0,0.0,11.79,14.91,6.63,3.62,0.0,0.0,1.061,2021-12-14,NYR,2,COL,4,Won,1.0
"2021-12-16 - COL 2, NSH 5",COL,32.6,45.63,26.25,34.7,16.48,28.58,1.01,1.93,1.68,1.64,18.11,21.07,5.1,8.88,3.98,6.95,1.04,0.0,12.85,12.37,6.09,5.99,0.0,1.89,13.12,23.93,5.46,15.77,0.0,0.0,0.994,2021-12-16,COL,2,NSH,5,Won,1.0
"2022-01-02 - ANA 2, COL 4",COL,40.05,38.1,29.43,31.2,25.12,23.52,0.94,1.06,1.5,1.97,18.03,16.2,5.43,5.43,4.57,5.39,0.94,1.06,12.36,10.88,7.44,6.3,0.0,0.0,19.49,17.48,13.19,10.84,0.0,0.0,0.993,2022-01-02,ANA,2,COL,4,Won,16.0
"2022-01-04 - COL 4, CHI 3",COL,59.35,38.23,38.23,28.26,27.57,23.89,3.14,0.95,1.91,1.8,21.39,19.8,4.43,11.47,4.41,9.68,1.08,0.93,16.97,8.14,5.27,3.77,0.0,0.0,35.76,15.97,16.8,9.46,1.99,0.0,1.074,2022-01-04,COL,4,CHI,3,Lost,1.0
"2022-01-06 - WPG 1, COL 7",COL,51.19,43.51,39.97,31.75,35.84,24.93,3.89,0.0,2.53,2.3,22.88,22.71,8.79,9.52,6.95,7.51,2.87,0.0,14.18,13.17,8.99,8.06,1.0,0.0,25.54,18.12,19.06,9.19,0.0,0.0,1.109,2022-01-06,WPG,1,COL,7,Won,1.0
"2022-01-08 - TOR 4, COL 5",COL,47.23,43.95,34.56,33.41,28.31,25.56,3.71,3.18,1.91,2.43,23.08,30.2,8.81,12.51,5.2,11.4,1.85,1.08,14.02,17.93,10.07,9.76,1.92,2.02,19.93,13.44,10.19,4.42,0.0,0.0,1.007,2022-01-08,TOR,4,COL,5,Won,1.0
"2022-01-10 - SEA 3, COL 4",COL,47.31,38.79,34.6,28.47,30.23,19.92,3.76,2.13,2.11,1.45,22.15,19.33,6.32,9.85,6.35,4.28,2.79,1.08,15.75,9.59,6.72,7.37,0.0,0.0,25.18,14.33,17.09,8.19,0.95,1.05,1.017,2022-01-10,SEA,3,COL,4,Won,1.0
"2022-01-11 - COL 4, NSH 5",COL,47.57,48.32,35.33,37.56,32.36,23.24,3.04,2.88,1.75,2.12,21.12,24.81,8.03,7.8,7.93,4.86,1.04,1.88,12.99,17.27,10.13,6.96,1.06,0.94,23.97,21.77,12.4,10.37,0.94,0.0,0.97,2022-01-11,COL,4,NSH,5,Won,0.0
"2022-01-14 - ARI 3, COL 4",COL,59.69,28.65,45.54,20.9,33.71,17.83,2.86,2.07,2.57,0.85,24.38,8.09,11.54,4.12,7.84,4.07,1.93,0.0,12.89,3.96,5.91,3.03,0.0,0.0,33.8,16.62,18.98,10.59,0.89,1.99,0.969,2022-01-14,ARI,3,COL,4,Won,2.0
"2022-01-15 - COL 5, ARI 0",COL,56.28,27.16,40.66,23.39,29.25,15.6,4.29,0.0,2.48,1.46,27.25,12.9,12.73,5.87,9.21,4.21,3.25,0.0,14.78,6.86,6.48,5.42,1.04,0.0,24.4,11.94,10.56,5.02,0.0,0.0,1.147,2022-01-15,COL,5,ARI,0,Lost,0.0
