Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - TB 7, DET 6",DET,25.05,40.06,19.65,34.74,16.55,27.98,3.9,2.01,1.76,2.3,14.18,23.82,5.99,13.13,4.02,9.02,2.87,1.02,8.23,10.64,4.99,7.89,0.94,1.0,14.57,19.81,6.39,9.31,0.0,0.0,1.164,2021-10-14,TB,7,DET,6,Lost,
"2021-10-16 - VAN 1, DET 3",DET,27.91,46.58,18.43,34.35,16.37,24.51,0.94,1.01,1.51,1.72,14.01,19.18,5.92,5.14,5.99,3.1,0.94,0.0,8.19,13.84,2.99,8.07,0.0,0.0,9.32,24.89,6.28,12.18,0.0,0.94,1.016,2021-10-16,VAN,1,DET,3,Won,1.0
"2021-10-19 - CBJ 1, DET 4",DET,48.5,36.7,44.4,29.59,36.56,18.38,1.93,0.0,2.82,1.85,23.1,19.87,11.34,10.65,9.52,7.38,0.0,0.0,11.76,9.25,8.82,4.09,1.89,0.0,25.06,16.03,18.26,5.99,0.0,0.0,1.053,2021-10-19,CBJ,1,DET,4,Won,2.0
"2021-10-21 - CGY 3, DET 0",DET,43.58,48.04,38.99,34.18,28.68,27.39,0.0,2.13,1.88,1.35,17.7,18.88,4.41,5.55,2.68,5.53,0.0,1.08,13.06,13.6,10.09,6.52,0.0,1.05,22.85,23.27,12.34,13.22,0.0,0.0,0.922,2021-10-21,CGY,3,DET,0,Lost,1.0
"2021-10-23 - DET 1, MTL 6",DET,37.21,56.07,25.41,32.57,18.48,20.98,0.0,3.89,1.5,1.92,18.62,30.73,7.01,14.01,3.91,5.99,0.0,0.98,11.44,16.92,3.76,7.13,0.0,1.9,16.37,20.08,9.61,7.82,0.0,1.07,0.814,2021-10-23,DET,1,MTL,6,Won,1.0
"2021-10-24 - DET 6, CHI 3",DET,45.39,30.54,37.31,20.42,32.84,12.44,5.29,1.84,2.9,1.19,31.87,13.04,9.95,6.87,8.86,5.16,4.28,1.83,22.09,5.99,13.98,1.76,1.05,0.0,12.24,13.14,9.99,3.59,0.0,0.0,1.013,2021-10-24,DET,6,CHI,3,Lost,0.0
"2021-10-27 - DET 3, WSH 2",DET,39.9,35.88,29.05,31.38,19.86,20.63,2.03,0.0,1.32,2.15,16.29,19.44,4.06,12.43,4.01,9.67,2.05,0.0,12.07,6.93,7.15,2.91,0.0,0.0,20.93,15.03,8.62,6.9,0.0,0.0,1.102,2021-10-27,DET,3,WSH,2,Lost,2.0
"2021-10-29 - FLA 3, DET 2",DET,35.65,61.37,29.53,39.1,21.36,29.14,1.87,2.13,2.43,2.59,25.54,31.67,10.85,14.38,9.04,8.79,0.92,2.14,14.41,17.56,6.56,6.34,1.03,0.0,8.2,26.3,4.67,14.19,0.0,0.0,1.015,2021-10-29,FLA,3,DET,2,Lost,1.0
"2021-10-30 - DET 4, TOR 5",DET,41.73,62.16,31.98,47.67,25.84,36.97,2.03,3.91,1.32,2.95,14.4,37.06,6.31,19.19,5.19,14.57,1.04,1.98,8.05,17.9,5.04,6.9,1.02,0.94,24.4,19.17,12.46,10.22,0.0,0.95,0.973,2021-10-30,DET,4,TOR,5,Won,0.0
"2021-11-02 - DET 0, MTL 3",DET,32.18,61.19,23.49,48.56,19.72,41.12,0.0,1.93,1.46,3.92,11.67,30.55,5.97,18.95,2.94,15.13,0.0,0.94,5.57,11.59,2.92,6.11,0.0,0.94,18.14,22.86,12.37,17.86,0.0,0.0,0.953,2021-11-02,DET,0,MTL,3,Won,2.0
"2021-11-04 - DET 1, BOS 5",DET,27.75,52.97,21.84,44.94,11.24,29.34,0.0,1.0,0.85,1.9,13.54,26.45,1.97,5.05,0.0,3.02,0.0,0.0,11.22,21.82,4.79,12.26,0.0,1.0,12.79,24.56,4.42,13.01,0.0,0.0,0.966,2021-11-04,DET,1,BOS,5,Won,1.0
"2021-11-06 - DET 4, BUF 3",DET,43.86,46.95,31.46,36.02,25.26,27.27,3.08,1.91,2.7,1.86,26.96,18.81,12.38,7.41,12.25,6.57,2.07,1.91,14.64,11.34,7.15,6.73,1.02,0.0,13.2,25.2,6.25,14.11,0.0,0.0,1.052,2021-11-06,DET,4,BUF,3,Lost,1.0
"2021-11-07 - VGK 2, DET 5",DET,35.51,47.18,29.78,34.99,25.47,24.63,1.97,2.06,2.67,2.39,21.52,27.33,12.99,12.05,10.1,4.89,0.99,0.0,8.55,15.02,6.13,12.66,0.0,2.05,10.83,16.92,6.79,7.3,1.07,0.0,0.994,2021-11-07,VGK,2,DET,5,Won,0.0
"2021-11-09 - EDM 2, DET 4",DET,51.53,44.01,42.9,30.05,34.81,24.18,2.92,2.02,3.53,2.04,33.49,22.83,23.26,11.09,17.65,8.99,2.9,1.02,10.06,11.6,3.99,1.94,0.0,0.0,16.14,17.08,13.1,11.07,0.0,0.93,1.0,2021-11-09,EDM,2,DET,4,Won,1.0
"2021-11-11 - WSH 2, DET 0",DET,35.98,42.65,28.39,36.55,18.29,21.87,0.0,2.13,2.0,1.93,20.13,24.41,9.15,10.16,4.57,4.51,0.0,1.08,10.76,14.39,3.75,9.67,0.0,0.0,15.93,17.9,9.75,7.65,0.0,1.05,0.902,2021-11-11,WSH,2,DET,0,Lost,1.0
"2021-11-13 - MTL 2, DET 3",DET,49.15,44.42,41.39,33.03,26.74,27.77,1.87,2.07,1.65,1.58,25.87,23.03,7.57,9.74,5.87,7.5,0.0,0.0,18.36,13.24,10.73,7.1,0.95,1.06,17.06,17.39,7.0,11.15,0.89,1.05,0.995,2021-11-13,MTL,2,DET,3,Won,1.0
