Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-15 - MIN 2, ANA 1",MIN,60.65,34.56,47.57,24.67,32.33,15.87,1.06,0.0,2.82,0.96,26.89,13.43,10.4,3.86,7.13,3.91,1.06,0.0,16.38,9.66,9.21,3.89,0.0,0.0,30.01,18.99,14.94,6.1,0.0,0.0,1.033,2021-10-15,MIN,2,ANA,1,Lost,
"2021-10-16 - MIN 3, LA 2",MIN,41.17,40.79,35.83,32.57,28.37,23.43,3.14,0.95,2.21,1.78,20.12,23.32,8.55,10.1,7.49,6.54,2.09,0.0,11.58,13.15,7.2,5.74,1.05,0.0,18.03,16.47,11.72,10.93,0.0,0.88,1.07,2021-10-16,MIN,3,LA,2,Lost,0.0
"2021-10-19 - WPG 5, MIN 6",MIN,49.14,44.08,35.7,27.64,29.43,20.11,1.85,3.19,1.93,1.26,28.35,15.07,9.07,4.36,7.25,2.17,1.84,0.0,19.03,10.76,9.41,7.33,0.0,2.09,19.87,25.67,12.62,10.58,0.0,1.05,0.904,2021-10-19,WPG,5,MIN,6,Won,2.0
"2021-10-23 - ANA 3, MIN 4",MIN,41.6,35.37,25.6,22.84,21.0,16.52,1.87,2.07,1.73,0.95,20.59,12.58,8.31,3.13,6.5,3.1,0.0,2.07,12.22,9.39,5.79,4.16,0.96,0.0,17.24,17.57,7.63,7.09,0.95,0.0,0.964,2021-10-23,ANA,3,MIN,4,Won,3.0
"2021-10-24 - NSH 5, MIN 2",MIN,37.17,37.29,27.96,29.95,20.45,20.68,1.83,3.18,1.15,2.16,14.29,25.1,4.16,8.04,3.26,6.93,0.91,2.16,9.94,17.26,4.42,8.92,0.0,0.97,20.68,11.84,10.92,4.74,0.88,0.0,0.936,2021-10-24,NSH,5,MIN,2,Lost,0.0
"2021-10-26 - MIN 3, VAN 2",MIN,43.28,30.93,33.84,19.68,28.24,15.27,3.21,0.95,2.63,0.88,27.49,14.27,11.04,5.32,8.83,2.64,2.16,0.93,16.74,8.73,10.68,4.59,1.05,0.0,11.12,12.36,5.47,7.97,0.0,0.0,1.051,2021-10-26,MIN,3,VAN,2,Lost,1.0
"2021-10-28 - MIN 1, SEA 4",MIN,33.7,47.71,26.03,37.59,22.12,29.72,1.06,1.87,1.26,2.28,14.36,26.11,4.19,9.6,4.15,9.71,0.0,0.94,10.05,16.57,5.12,9.77,1.05,0.0,17.54,20.15,10.7,10.05,0.0,0.89,0.985,2021-10-28,MIN,1,SEA,4,Won,1.0
"2021-10-30 - MIN 1, COL 4",MIN,49.14,47.05,33.25,31.48,24.35,24.46,0.0,1.89,1.36,1.56,21.17,23.72,4.09,5.94,1.05,5.0,0.0,0.0,16.82,18.02,9.04,9.84,0.0,1.9,24.63,20.62,12.96,8.57,0.0,0.0,0.923,2021-10-30,MIN,1,COL,4,Won,1.0
"2021-11-02 - OTT 4, MIN 5",MIN,63.39,27.67,46.45,24.81,35.6,18.89,2.92,3.09,3.26,1.41,29.16,14.29,14.24,6.24,11.57,4.14,1.93,2.09,14.98,8.0,6.93,5.06,0.0,0.0,31.72,12.67,15.93,8.54,1.06,0.93,0.919,2021-11-02,OTT,4,MIN,5,Won,2.0
"2021-11-06 - MIN 5, PIT 4",MIN,47.26,49.2,34.8,38.7,26.73,32.71,2.07,3.84,2.34,2.37,29.48,24.75,11.29,10.79,10.19,9.9,2.09,1.91,18.03,14.12,6.99,9.98,0.0,1.89,17.42,22.84,9.78,12.7,0.0,0.0,0.96,2021-11-06,MIN,5,PIT,4,Lost,3.0
"2021-11-07 - NYI 2, MIN 5",MIN,53.55,43.4,39.78,31.83,28.57,22.3,2.79,2.11,2.01,1.58,21.32,19.27,9.2,6.5,9.29,5.39,0.92,1.06,11.97,12.83,3.71,7.33,0.0,1.05,30.4,21.05,15.61,9.65,1.84,0.0,1.003,2021-11-07,NYI,2,MIN,5,Won,0.0
"2021-11-10 - MIN 5, ARI 2",MIN,54.14,28.86,41.9,25.26,30.47,18.26,3.2,1.87,2.19,1.06,22.79,8.63,12.68,4.22,11.53,3.26,3.23,0.0,10.31,4.26,5.55,3.59,0.0,1.99,29.99,18.66,13.56,11.24,0.0,0.0,1.003,2021-11-10,MIN,5,ARI,2,Lost,2.0
"2021-11-11 - MIN 2, VGK 3",MIN,32.48,51.68,23.54,36.36,12.22,30.22,2.02,2.92,1.28,2.0,16.51,21.23,3.97,8.97,0.97,8.07,0.0,0.99,12.18,12.47,5.77,8.04,2.02,1.92,12.91,20.36,5.46,9.99,0.0,0.0,1.069,2021-11-11,MIN,2,VGK,3,Won,0.0
"2021-11-13 - MIN 4, SEA 2",MIN,38.87,36.17,28.54,31.09,20.74,20.23,3.18,0.0,1.73,1.65,22.19,18.62,6.61,8.74,5.53,7.8,3.21,0.0,15.85,9.72,7.61,4.45,0.0,0.0,12.13,17.83,6.53,7.88,0.0,0.0,1.153,2021-11-13,MIN,4,SEA,2,Lost,1.0
"2021-11-16 - SJ 4, MIN 1",MIN,37.16,35.73,28.32,27.79,22.39,17.66,0.95,3.18,1.39,0.92,15.65,11.12,5.18,3.31,4.36,3.3,0.0,2.14,10.2,7.95,5.42,4.34,1.03,0.97,23.87,24.55,10.83,7.91,0.0,0.0,0.862,2021-11-16,SJ,4,MIN,1,Lost,2.0
"2021-11-18 - DAL 2, MIN 7",MIN,40.6,37.33,26.21,30.76,19.87,21.58,6.89,1.0,1.59,1.61,17.41,19.28,6.04,7.75,6.12,4.78,2.92,1.02,11.59,11.41,7.16,5.98,2.93,0.0,17.13,13.5,6.3,7.99,1.06,0.0,1.3,2021-11-18,DAL,2,MIN,7,Won,1.0
"2021-11-20 - MIN 4, FLA 5",MIN,41.74,61.02,31.65,45.92,26.96,35.61,1.01,3.91,2.2,2.4,30.76,31.05,17.09,13.68,12.97,11.89,1.04,3.91,13.64,17.65,7.96,7.01,0.0,0.0,7.41,23.8,4.6,14.55,0.0,0.0,0.928,2021-11-20,MIN,4,FLA,5,Won,1.0
"2021-11-21 - MIN 4, TB 5",MIN,37.67,40.4,31.34,28.65,21.6,19.45,1.01,2.92,1.31,1.34,15.17,18.85,4.07,8.86,3.04,6.94,0.0,2.92,10.92,10.06,6.07,4.96,1.06,0.0,19.97,18.05,10.41,6.37,0.0,0.0,0.897,2021-11-21,MIN,4,TB,5,Won,0.0
"2021-11-24 - MIN 3, NJ 2",MIN,36.89,49.54,27.52,36.33,21.91,24.9,1.06,0.95,1.24,1.98,14.27,21.78,7.8,7.23,6.66,5.44,1.06,0.0,6.58,14.32,3.2,7.56,0.0,1.03,22.25,29.77,8.87,10.9,0.0,0.0,1.01,2021-11-24,MIN,3,NJ,2,Lost,2.0
"2021-11-26 - WPG 1, MIN 7",MIN,46.1,39.73,38.8,31.4,30.18,18.63,6.9,0.0,2.43,1.65,25.09,17.18,11.28,4.91,9.35,3.87,1.94,0.0,13.97,11.9,7.36,5.73,2.0,0.0,17.68,20.5,12.32,7.96,3.07,0.0,1.229,2021-11-26,WPG,1,MIN,7,Won,1.0
"2021-11-28 - TB 2, MIN 4",MIN,46.36,39.96,37.39,30.16,29.47,22.11,2.83,2.02,2.02,1.38,26.06,14.31,9.47,8.27,7.57,5.08,1.88,1.01,16.7,6.03,8.82,3.06,0.95,0.0,25.73,31.7,13.0,12.91,0.0,0.94,1.005,2021-11-28,TB,2,MIN,4,Won,1.0
"2021-11-30 - ARI 2, MIN 5",MIN,46.92,46.14,39.17,39.12,33.1,27.31,4.83,2.06,2.31,2.46,26.15,25.13,9.87,14.68,9.05,8.29,2.87,1.06,16.48,10.35,10.18,5.91,0.95,0.0,14.8,18.84,10.67,12.89,1.07,0.94,1.07,2021-11-30,ARI,2,MIN,5,Won,1.0
"2021-12-02 - NJ 2, MIN 5",MIN,63.73,39.83,49.84,30.11,33.91,24.39,4.89,2.02,2.86,2.03,31.93,18.44,12.02,9.84,9.18,8.72,1.98,1.04,20.41,8.54,9.21,2.98,1.92,0.0,24.01,20.18,13.39,12.38,1.07,0.94,1.061,2021-12-02,NJ,2,MIN,5,Won,1.0
"2021-12-04 - TOR 3, MIN 4",MIN,44.66,48.69,34.28,36.22,26.56,29.36,1.93,1.0,1.77,1.6,22.22,18.2,6.7,6.06,4.89,4.93,1.91,0.0,15.67,12.03,10.68,9.11,0.0,0.0,18.96,22.91,11.02,12.06,0.0,0.94,1.038,2021-12-04,TOR,3,MIN,4,Won,1.0
"2021-12-07 - MIN 4, EDM 1",MIN,41.06,47.55,31.48,38.79,23.47,24.12,2.13,0.95,2.43,2.45,22.52,23.73,11.24,12.21,8.98,5.25,2.15,0.93,11.51,11.18,5.5,4.59,0.0,0.0,14.74,19.91,9.11,14.02,0.0,0.0,1.051,2021-12-07,MIN,4,EDM,1,Lost,2.0
"2021-12-09 - MIN 5, SJ 2",MIN,48.86,40.24,34.18,32.79,23.01,24.85,1.06,0.92,1.9,2.2,24.39,23.06,9.98,6.04,5.54,6.02,1.06,0.91,14.69,16.78,3.31,9.22,0.0,0.0,29.68,20.96,13.15,8.64,0.0,0.0,1.009,2021-12-09,MIN,5,SJ,2,Lost,1.0
