Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - MTL 1, TOR 2",MTL,42.49,52.9,31.52,42.02,25.32,23.51,1.06,0.94,1.82,2.7,22.91,33.57,7.39,14.03,6.26,9.52,1.06,0.0,15.4,19.6,11.29,6.83,0.0,0.95,12.96,16.78,6.73,6.01,0.0,0.0,1.002,2021-10-13,MTL,1,TOR,2,Won,
"2021-10-14 - MTL 1, BUF 5",MTL,33.02,43.05,24.33,36.0,20.64,23.16,1.01,1.97,0.64,1.59,8.72,17.5,1.97,7.04,1.94,6.09,0.0,0.96,6.57,10.63,2.98,6.17,1.02,0.94,23.32,25.02,14.99,10.93,0.0,0.0,0.964,2021-10-14,MTL,1,BUF,5,Won,0.0
"2021-10-16 - NYR 3, MTL 1",MTL,37.55,36.26,24.99,26.47,20.54,18.96,0.92,1.06,1.83,1.15,18.3,18.22,8.1,3.2,6.38,2.11,0.92,1.06,10.03,15.07,2.83,10.46,0.0,0.0,16.47,13.73,10.24,3.13,0.0,0.0,0.989,2021-10-16,NYR,3,MTL,1,Lost,1.0
"2021-10-19 - SJ 5, MTL 0",MTL,35.24,34.72,23.56,23.92,13.55,18.07,0.0,3.18,1.09,1.56,14.34,15.86,3.29,8.07,2.45,4.54,0.0,2.14,10.89,8.02,5.37,5.44,0.0,0.0,19.34,18.85,4.88,5.89,0.0,1.12,0.824,2021-10-19,SJ,5,MTL,0,Lost,2.0
"2021-10-21 - CAR 4, MTL 1",MTL,36.35,46.17,25.02,39.21,18.07,29.26,0.0,2.15,1.48,1.74,19.7,21.97,7.89,10.07,6.16,5.54,0.0,1.08,11.68,12.02,5.51,7.49,0.0,0.0,12.52,19.57,5.52,14.03,0.0,1.11,0.926,2021-10-21,CAR,4,MTL,1,Lost,1.0
"2021-10-23 - DET 1, MTL 6",MTL,56.07,37.21,32.57,25.41,20.98,18.48,3.89,0.0,1.92,1.5,30.73,18.62,14.01,7.01,5.99,3.91,0.98,0.0,16.92,11.44,7.13,3.76,1.9,0.0,20.08,16.37,7.82,9.61,1.07,0.0,1.186,2021-10-23,DET,1,MTL,6,Won,1.0
"2021-10-26 - MTL 1, SEA 5",MTL,27.44,41.27,23.23,27.12,18.77,20.9,1.01,4.86,1.23,1.34,15.52,18.2,2.01,7.04,1.98,6.09,1.01,3.87,13.11,11.29,8.77,6.06,0.0,0.95,11.48,18.31,7.91,8.78,0.0,0.0,0.822,2021-10-26,MTL,1,SEA,5,Won,2.0
"2021-10-28 - MTL 4, SJ 0",MTL,38.6,43.64,29.11,30.4,24.36,24.24,2.13,0.0,2.34,1.76,15.73,22.68,8.93,8.51,8.9,5.91,1.06,0.0,6.98,13.92,3.36,5.47,0.0,0.0,23.88,22.68,8.82,9.95,1.11,0.0,1.088,2021-10-28,MTL,4,SJ,0,Lost,1.0
"2021-10-30 - MTL 2, LA 5",MTL,39.15,52.41,28.85,39.12,22.76,29.09,2.06,1.91,2.01,2.37,27.42,28.23,8.28,11.59,6.13,8.82,0.0,0.96,18.93,16.69,10.2,7.86,2.05,0.96,11.53,19.68,5.56,11.49,0.0,0.0,1.025,2021-10-30,MTL,2,LA,5,Won,1.0
"2021-10-31 - MTL 2, ANA 4",MTL,25.53,29.3,15.78,21.0,12.8,14.05,1.01,0.94,1.22,1.02,11.11,10.73,8.21,2.8,7.13,1.89,1.01,0.94,2.93,8.01,1.0,2.97,0.0,0.0,13.71,15.35,4.71,8.34,0.0,0.0,1.012,2021-10-31,MTL,2,ANA,4,Won,0.0
"2021-11-02 - DET 0, MTL 3",MTL,61.19,32.18,48.56,23.49,41.12,19.72,1.93,0.0,3.92,1.46,30.55,11.67,18.95,5.97,15.13,2.94,0.94,0.0,11.59,5.57,6.11,2.92,0.94,0.0,22.86,18.14,17.86,12.37,0.0,0.0,1.047,2021-11-02,DET,0,MTL,3,Won,1.0
"2021-11-04 - NYI 6, MTL 2",MTL,52.95,41.81,34.83,35.64,27.97,29.9,0.0,5.35,1.64,2.54,31.93,29.31,10.21,14.78,9.29,11.36,0.0,4.31,21.29,14.83,4.42,8.72,0.0,1.04,20.74,10.88,13.99,8.6,0.0,0.0,0.821,2021-11-04,NYI,6,MTL,2,Lost,1.0
"2021-11-06 - VGK 5, MTL 2",MTL,47.89,33.76,34.55,21.18,25.13,14.65,0.99,1.01,1.85,1.3,24.5,14.09,8.43,6.59,5.68,5.44,0.99,1.01,16.03,7.6,8.71,3.21,0.0,0.0,20.43,13.47,9.78,5.87,0.0,0.0,0.97,2021-11-06,VGK,5,MTL,2,Lost,1.0
"2021-11-09 - LA 3, MTL 2",MTL,53.95,48.37,36.72,34.96,23.26,23.59,1.87,2.07,2.68,2.14,32.23,21.97,12.98,6.39,6.5,3.16,0.94,0.0,19.23,15.48,8.78,5.12,0.96,0.0,28.15,27.63,7.8,14.19,0.0,1.99,0.993,2021-11-09,LA,3,MTL,2,Lost,2.0
"2021-11-11 - CGY 2, MTL 4",MTL,31.81,44.04,22.36,29.37,16.98,20.76,0.92,2.11,1.24,1.29,14.87,18.94,6.4,6.43,2.72,4.21,0.92,2.12,8.39,12.49,1.94,4.16,0.0,0.0,14.06,22.16,11.4,12.33,0.0,0.0,0.953,2021-11-11,CGY,2,MTL,4,Won,1.0
"2021-11-13 - MTL 2, DET 3",MTL,44.42,49.15,33.03,41.39,27.77,26.74,2.07,1.87,1.58,1.65,23.03,25.87,9.74,7.57,7.5,5.87,0.0,0.0,13.24,18.36,7.1,10.73,1.06,0.95,17.39,17.06,11.15,7.0,1.05,0.89,1.005,2021-11-13,MTL,2,DET,3,Won,1.0
"2021-11-14 - MTL 2, BOS 5",MTL,46.68,40.08,36.29,33.87,26.99,30.25,2.11,2.86,1.8,2.14,18.93,19.21,6.4,9.18,5.39,7.33,0.0,2.85,12.53,9.78,5.17,6.54,1.05,0.0,23.5,20.07,14.14,15.6,1.05,0.0,0.984,2021-11-14,MTL,2,BOS,5,Won,0.0
"2021-11-16 - MTL 2, NYR 3",MTL,61.99,55.93,41.2,46.4,29.45,31.26,2.03,2.88,2.24,3.15,33.24,29.34,13.21,15.52,5.06,9.77,2.05,2.87,19.82,13.87,6.07,8.85,0.0,0.0,22.67,22.99,15.91,9.6,0.0,0.0,0.977,2021-11-16,MTL,2,NYR,3,Won,1.0
"2021-11-18 - PIT 6, MTL 0",MTL,39.68,69.62,25.49,55.92,19.51,46.82,0.0,5.35,1.31,3.68,17.0,34.31,4.99,14.02,4.96,14.09,0.0,4.34,11.76,20.72,4.45,13.26,0.0,0.97,17.16,31.36,8.24,18.53,0.0,0.0,0.886,2021-11-18,PIT,6,MTL,0,Lost,1.0
