Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-15 - CHI 3, NJ 4",NJ,46.39,32.21,38.74,23.73,24.44,16.84,2.88,0.0,2.48,1.36,28.82,20.27,11.9,8.26,8.07,7.11,1.93,0.0,17.09,11.9,8.85,2.03,0.95,0.0,16.68,12.48,7.32,7.69,0.0,0.0,1.118,2021-10-15,CHI,3,NJ,4,Won,
"2021-10-19 - SEA 2, NJ 4",NJ,45.68,38.47,37.64,29.06,27.14,20.71,2.92,1.01,2.8,1.8,26.58,20.46,17.09,8.0,14.24,6.92,2.92,1.04,9.41,12.18,2.0,4.93,0.0,0.0,22.4,24.29,9.59,7.0,0.0,0.0,1.059,2021-10-19,SEA,2,NJ,4,Won,3.0
"2021-10-21 - WSH 4, NJ 1",NJ,38.11,52.67,27.69,41.84,19.21,26.91,0.0,4.26,2.04,3.31,25.92,32.73,11.05,12.43,5.94,7.93,0.0,3.21,14.53,20.62,4.54,8.74,0.0,1.04,9.32,18.35,7.7,10.3,0.0,0.0,0.842,2021-10-21,WSH,4,NJ,1,Lost,1.0
"2021-10-23 - BUF 1, NJ 2",NJ,53.7,42.55,42.24,34.64,28.65,25.77,0.0,0.0,2.85,2.18,30.1,25.02,12.52,6.6,8.98,5.45,0.0,0.0,17.34,18.59,4.77,11.62,0.0,0.0,22.8,15.26,13.74,8.72,0.0,0.0,1.0,2021-10-23,BUF,1,NJ,2,Won,1.0
"2021-10-26 - CGY 5, NJ 3",NJ,34.82,54.36,25.13,37.5,19.33,26.26,1.83,3.22,1.23,1.9,15.36,24.73,2.47,4.6,2.45,3.55,0.91,1.09,12.72,20.23,6.16,10.88,0.0,2.09,22.77,34.43,8.9,11.9,0.88,0.0,0.972,2021-10-26,CGY,5,NJ,3,Lost,2.0
"2021-10-30 - NJ 4, PIT 2",NJ,49.0,38.45,37.98,30.71,33.74,26.04,2.09,1.87,1.93,1.83,21.92,16.17,9.46,8.37,8.31,6.57,0.0,1.86,12.49,7.76,9.31,3.94,1.04,0.0,22.08,21.14,15.11,14.44,0.94,0.0,0.99,2021-10-30,NJ,4,PIT,2,Lost,3.0
"2021-10-31 - CBJ 4, NJ 3",NJ,53.41,47.67,38.19,29.13,31.0,20.13,2.81,2.07,2.12,2.01,32.07,29.85,9.44,8.2,9.53,5.08,1.86,0.0,22.8,21.53,11.76,8.28,0.0,1.06,18.65,17.35,9.51,6.73,0.95,1.05,0.988,2021-10-31,CBJ,4,NJ,3,Lost,0.0
"2021-11-02 - NJ 0, ANA 4",NJ,34.97,45.02,27.82,28.44,21.27,16.91,0.0,0.99,1.98,1.08,12.99,17.56,8.23,3.06,8.12,3.1,0.0,0.0,4.81,14.88,1.94,3.06,0.0,0.98,20.21,23.64,9.13,8.8,0.0,0.0,0.942,2021-11-02,NJ,0,ANA,4,Won,1.0
"2021-11-05 - NJ 2, LA 3",NJ,39.79,39.02,27.66,28.27,18.44,19.63,1.01,0.94,1.78,1.24,16.72,15.33,6.33,3.86,4.15,3.91,1.01,0.94,10.34,11.59,3.09,5.83,0.0,0.0,25.33,26.62,11.15,9.95,0.0,0.0,1.007,2021-11-05,NJ,2,LA,3,Won,2.0
"2021-11-06 - NJ 3, SJ 2",NJ,48.44,41.25,32.02,25.9,22.05,16.12,2.02,0.94,1.27,0.98,13.31,16.55,5.2,3.86,3.04,2.96,1.01,0.94,8.04,12.84,3.06,4.91,1.06,0.0,42.07,27.6,14.66,7.27,0.0,0.0,1.033,2021-11-06,NJ,3,SJ,2,Lost,0.0
