Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - SEA 4, NSH 3",NSH,34.71,34.68,24.86,25.04,19.44,21.86,1.89,1.06,1.64,1.11,19.08,16.07,6.2,5.53,6.23,5.51,1.87,1.06,12.71,10.56,6.57,5.13,0.0,0.0,12.2,14.22,4.85,10.12,0.0,0.0,1.049,2021-10-14,SEA,4,NSH,3,Lost,
"2021-10-16 - CAR 3, NSH 2",NSH,38.28,46.65,29.13,38.99,24.56,28.4,0.92,2.11,1.6,2.11,15.61,23.46,5.45,10.81,4.55,8.55,0.92,0.0,10.03,12.75,6.58,7.29,0.0,2.1,19.91,21.07,12.56,12.69,0.0,0.0,0.963,2021-10-16,CAR,3,NSH,2,Lost,1.0
"2021-10-19 - LA 1, NSH 2",NSH,46.84,38.94,32.31,30.06,23.0,21.53,0.94,1.06,1.54,1.25,20.53,15.74,5.45,4.25,3.67,3.1,0.94,0.0,15.06,11.46,8.64,6.26,0.0,0.0,21.49,20.28,9.87,10.96,0.0,1.05,0.992,2021-10-19,LA,1,NSH,2,Won,2.0
"2021-10-21 - NYR 3, NSH 1",NSH,36.82,36.59,31.43,33.13,22.23,21.21,0.92,2.11,1.59,1.92,16.39,22.64,4.47,7.61,4.49,5.39,0.0,1.06,11.8,15.15,7.51,9.47,0.96,1.05,19.57,12.88,9.25,5.24,0.0,0.0,0.942,2021-10-21,NYR,3,NSH,1,Lost,1.0
"2021-10-23 - NSH 4, WPG 6",NSH,44.84,42.62,30.21,30.66,16.97,23.51,2.07,3.84,1.43,2.65,23.49,29.06,5.96,11.78,5.88,9.87,1.06,3.84,17.12,17.6,5.88,7.02,0.0,0.0,19.43,12.49,4.43,6.39,0.93,0.0,0.959,2021-10-23,NSH,4,WPG,6,Won,1.0
"2021-10-24 - NSH 5, MIN 2",NSH,37.29,37.17,29.95,27.96,20.68,20.45,3.18,1.83,2.16,1.15,25.1,14.29,8.04,4.16,6.93,3.26,2.16,0.91,17.26,9.94,8.92,4.42,0.97,0.0,11.84,20.68,4.74,10.92,0.0,0.88,1.064,2021-10-24,NSH,5,MIN,2,Lost,0.0
"2021-10-26 - SJ 1, NSH 3",NSH,40.33,37.31,31.33,28.49,23.98,21.85,0.99,1.01,1.58,1.43,20.18,16.7,6.0,8.95,4.03,7.86,0.0,1.04,14.43,7.71,10.0,3.95,0.94,0.0,24.79,21.2,8.8,8.18,0.0,0.0,0.995,2021-10-26,SJ,1,NSH,3,Won,1.0
"2021-10-30 - NYI 2, NSH 3",NSH,34.32,40.63,27.2,34.1,13.03,26.54,1.85,0.0,1.44,1.17,14.77,17.23,5.45,2.18,3.67,2.17,0.92,0.0,9.24,15.07,3.76,9.47,0.96,0.0,19.57,23.37,5.57,14.81,0.0,0.0,1.142,2021-10-30,NYI,2,NSH,3,Won,3.0
"2021-11-02 - NSH 3, CGY 2",NSH,34.74,49.27,26.2,42.89,19.86,30.78,2.11,0.92,1.4,3.16,13.8,27.14,5.43,10.18,4.28,8.45,2.12,0.0,8.36,16.88,5.19,10.64,0.0,0.96,18.94,19.18,9.39,11.57,0.0,0.0,1.076,2021-11-02,NSH,3,CGY,2,Lost,2.0
"2021-11-03 - NSH 2, EDM 5",NSH,44.53,41.15,34.73,27.69,25.95,21.62,1.01,2.92,2.35,1.49,29.84,22.96,11.13,6.77,7.01,4.96,0.0,0.94,18.42,16.48,9.95,8.17,1.06,1.92,13.1,15.48,7.33,7.25,0.0,0.0,0.904,2021-11-03,NSH,2,EDM,5,Won,0.0
