Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-16 - STL 5, COL 3",STL,40.54,45.34,31.11,34.49,23.1,22.96,3.18,0.92,1.68,1.98,15.66,23.85,6.79,8.7,4.47,6.01,0.0,0.0,9.01,14.83,5.44,7.35,3.06,0.96,21.29,19.18,12.13,8.55,0.0,0.0,1.098,2021-10-16,STL,5,COL,3,Lost,
"2021-10-18 - STL 7, ARI 4",STL,42.36,31.71,35.96,27.43,27.14,16.29,6.32,2.78,2.33,2.0,22.9,14.22,11.06,7.85,9.97,6.02,3.23,1.82,11.96,6.26,7.37,1.94,3.15,0.95,18.27,14.86,8.83,8.11,0.0,0.0,1.062,2021-10-18,STL,7,ARI,4,Lost,1.0
"2021-10-20 - STL 3, VGK 1",STL,52.33,56.84,38.55,45.13,33.43,37.49,2.07,0.94,3.23,3.1,39.11,29.01,16.71,12.59,13.44,10.85,2.07,0.94,22.24,16.45,13.27,9.68,0.0,0.0,13.21,23.19,7.09,12.83,0.0,0.0,1.037,2021-10-20,STL,3,VGK,1,Lost,1.0
"2021-10-23 - LA 3, STL 7",STL,43.67,40.44,32.15,38.1,24.89,28.76,1.97,3.06,1.77,2.76,26.05,28.46,10.08,13.09,10.22,11.86,1.95,3.1,16.03,15.19,8.04,9.7,0.0,0.0,13.59,12.03,6.34,6.58,0.0,0.0,0.973,2021-10-23,LA,3,STL,7,Won,2.0
"2021-10-25 - LA 0, STL 3",STL,45.35,34.13,34.38,29.16,27.59,22.14,1.93,0.0,1.56,1.38,24.05,18.46,4.74,9.39,3.85,8.23,0.94,0.0,19.54,9.06,11.73,4.06,0.94,0.0,24.62,21.06,9.86,9.96,0.0,0.0,1.07,2021-10-25,LA,0,STL,3,Won,1.0
"2021-10-28 - COL 4, STL 3",STL,29.6,56.91,19.69,41.77,15.98,36.05,2.85,3.16,0.94,2.35,14.74,29.83,0.0,12.84,0.0,12.75,0.0,1.01,14.74,17.1,7.56,9.43,2.06,1.04,13.04,22.88,6.63,11.96,0.95,1.11,1.09,2021-10-28,COL,4,STL,3,Lost,2.0
"2021-10-30 - CHI 0, STL 1",STL,55.32,44.79,44.23,35.65,30.51,21.27,0.0,0.0,2.86,2.26,35.58,29.2,11.4,9.52,10.59,4.15,0.0,0.0,24.37,19.54,10.71,9.23,0.0,0.0,19.08,16.03,9.06,7.84,0.0,0.0,1.0,2021-10-30,CHI,0,STL,1,Won,1.0
"2021-11-03 - STL 2, LA 3",STL,54.42,44.9,43.88,31.54,30.08,21.06,0.0,1.87,2.95,1.7,33.02,20.59,11.86,5.5,8.55,3.72,0.0,0.94,21.24,15.11,7.3,7.64,0.0,0.96,29.16,28.69,12.16,8.79,0.0,0.0,0.911,2021-11-03,STL,2,LA,3,Won,3.0
"2021-11-04 - STL 5, SJ 3",STL,44.92,31.4,34.33,22.93,22.57,14.29,3.08,0.94,1.81,1.1,24.26,16.05,7.44,5.58,6.26,2.84,1.06,0.94,16.9,10.46,8.3,1.0,1.06,0.0,24.12,21.12,8.1,10.36,0.94,0.0,1.07,2021-11-04,STL,5,SJ,3,Lost,0.0
"2021-11-07 - STL 1, ANA 4",STL,52.4,38.8,39.85,31.34,26.9,21.38,1.06,1.91,1.77,1.73,22.42,20.45,6.33,11.8,3.0,8.28,0.0,1.91,16.21,8.52,9.47,3.92,1.05,0.0,22.67,14.57,13.08,8.04,0.0,0.0,0.95,2021-11-07,STL,1,ANA,4,Won,2.0
"2021-11-09 - STL 3, WPG 2",STL,42.11,65.09,28.9,51.6,20.38,36.54,1.01,1.87,1.48,3.7,19.94,29.26,6.2,17.6,4.09,13.19,1.01,0.94,13.75,11.45,5.23,4.77,0.0,0.0,19.27,32.7,9.87,17.5,0.0,0.89,0.999,2021-11-09,STL,3,WPG,2,Lost,1.0
"2021-11-11 - NSH 4, STL 3",STL,55.76,50.49,40.26,39.37,32.54,26.13,1.87,3.08,2.24,2.25,31.38,33.34,12.18,8.51,7.57,5.27,0.94,1.01,19.23,24.6,10.69,12.23,0.96,1.02,17.17,17.64,11.45,8.62,0.0,1.05,0.939,2021-11-11,NSH,4,STL,3,Lost,1.0
