Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-12 - SEA 3, VGK 4",VGK,45.61,47.66,34.51,37.1,21.87,24.81,3.86,3.03,2.26,2.09,21.21,21.62,7.94,10.98,7.03,4.9,2.9,2.06,13.51,10.53,2.97,6.86,0.95,0.0,22.72,23.97,12.15,12.85,0.0,0.94,1.054,2021-10-12,SEA,3,VGK,4,Won,
"2021-10-14 - VGK 2, LA 6",VGK,39.35,79.81,29.27,59.92,23.74,43.97,2.06,3.89,1.9,3.45,25.92,32.9,9.23,14.44,6.2,12.5,1.02,2.89,16.4,18.62,9.01,7.19,1.05,0.98,14.27,36.76,8.55,22.35,0.0,0.0,0.998,2021-10-14,VGK,2,LA,6,Won,1.0
"2021-10-20 - STL 3, VGK 1",VGK,56.84,52.33,45.13,38.55,37.49,33.43,0.94,2.07,3.1,3.23,29.01,39.11,12.59,16.71,10.85,13.44,0.94,2.07,16.45,22.24,9.68,13.27,0.0,0.0,23.19,13.21,12.83,7.09,0.0,0.0,0.963,2021-10-20,STL,3,VGK,1,Lost,5.0
"2021-10-22 - EDM 5, VGK 3",VGK,56.44,42.92,44.65,31.16,31.75,22.95,2.81,3.12,2.12,1.94,23.05,16.96,11.84,6.48,8.22,4.21,1.88,2.07,11.0,10.48,5.7,5.2,0.96,1.05,26.88,19.94,15.72,11.59,0.0,0.0,0.952,2021-10-22,EDM,5,VGK,3,Lost,1.0
"2021-10-24 - NYI 2, VGK 0",VGK,55.14,45.63,40.64,37.34,28.07,23.97,0.0,2.13,2.31,3.18,21.57,23.09,10.7,14.47,7.15,8.85,0.0,1.06,10.55,8.86,4.64,6.39,0.0,0.0,32.11,20.11,14.22,7.76,0.0,1.11,0.911,2021-10-24,NYI,2,VGK,0,Lost,1.0
"2021-10-26 - VGK 3, COL 1",VGK,42.98,44.49,30.12,27.42,22.1,20.53,1.06,0.0,1.24,1.64,18.92,22.09,6.69,7.01,5.56,4.38,1.06,0.0,12.47,14.71,5.38,3.66,0.0,0.0,15.89,20.22,6.81,11.38,0.0,0.0,1.048,2021-10-26,VGK,3,COL,1,Lost,1.0
"2021-10-27 - VGK 3, DAL 2",VGK,44.64,63.13,22.53,45.8,15.76,33.8,1.01,1.89,0.9,2.96,21.17,42.82,7.14,15.46,4.09,11.67,0.0,1.88,13.84,27.62,4.01,12.73,0.0,0.0,19.9,15.17,4.62,7.08,0.94,0.0,1.008,2021-10-27,VGK,3,DAL,2,Lost,0.0
"2021-10-29 - ANA 4, VGK 5",VGK,66.18,50.92,50.69,34.43,40.25,26.75,3.91,4.04,3.58,3.28,26.94,27.52,14.71,14.93,11.99,11.79,2.9,4.1,12.27,12.44,6.96,4.96,0.0,0.0,35.42,21.46,20.55,9.13,1.06,0.0,0.946,2021-10-29,ANA,4,VGK,5,Won,1.0
"2021-11-02 - VGK 0, TOR 4",VGK,37.22,59.03,27.65,37.48,22.22,29.12,0.0,2.92,1.47,2.72,15.13,36.39,7.8,13.82,6.7,12.02,0.0,1.91,7.25,22.91,1.88,10.15,0.0,1.0,19.02,19.33,10.52,6.6,0.0,0.0,0.9,2021-11-02,VGK,0,TOR,4,Won,3.0
"2021-11-04 - VGK 5, OTT 1",VGK,66.57,51.22,51.06,41.88,35.87,32.0,4.23,0.92,2.72,1.97,30.58,23.38,8.77,9.01,5.56,6.36,2.15,0.91,22.05,14.04,10.58,8.26,1.05,0.0,31.44,21.42,19.89,14.47,1.12,0.0,1.089,2021-11-04,VGK,5,OTT,1,Lost,1.0
