Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - ARI 2, PIT 6",ARI,30.99,56.07,20.0,48.76,17.37,39.91,0.0,3.91,0.97,3.34,12.35,35.56,3.95,15.32,3.89,14.49,0.0,2.88,8.12,20.56,6.64,11.47,0.0,0.0,16.44,16.65,5.9,12.57,0.0,1.06,0.902,2022-10-13,ARI,2,PIT,6,Won,
"2022-10-15 - ARI 3, BOS 6",ARI,32.18,62.71,23.97,46.36,16.22,37.2,1.01,3.91,1.31,3.19,14.76,39.2,3.95,19.73,2.92,15.99,0.0,1.98,10.6,19.68,7.93,9.04,1.02,1.89,15.15,20.04,4.62,10.69,0.0,0.0,0.957,2022-10-15,ARI,3,BOS,6,Won,1.0
"2022-10-17 - ARI 4, TOR 2",ARI,24.62,40.71,18.79,30.56,16.44,21.33,1.08,0.92,1.53,2.02,16.68,25.8,11.2,10.86,8.94,5.42,1.08,0.92,5.61,14.81,2.19,6.55,0.0,0.0,4.31,14.9,4.28,9.32,0.0,0.0,1.022,2022-10-17,ARI,4,TOR,2,Lost,1.0
"2022-10-20 - ARI 2, MTL 6",ARI,32.54,44.19,22.59,29.13,17.21,24.84,2.01,3.91,1.36,1.81,22.55,22.91,5.83,5.97,3.8,4.05,1.02,1.93,16.13,17.42,6.57,8.36,0.0,1.98,10.31,15.89,5.9,11.57,0.94,0.0,0.959,2022-10-20,ARI,2,MTL,6,Won,2.0
"2022-10-22 - ARI 2, OTT 6",ARI,26.2,43.49,19.06,28.32,14.24,25.07,1.01,4.9,0.56,2.39,6.76,21.21,0.97,10.93,0.0,9.01,0.0,4.86,5.65,10.38,1.94,3.02,0.0,0.0,15.71,19.51,9.01,13.27,0.93,0.0,0.876,2022-10-22,ARI,2,OTT,6,Won,1.0
"2022-10-25 - ARI 6, CBJ 3",ARI,28.43,38.11,22.42,29.77,13.42,18.38,3.21,2.75,0.99,1.99,13.5,23.06,4.51,7.85,2.25,4.21,2.15,0.91,9.07,14.96,4.34,7.32,1.04,0.96,13.57,15.15,5.71,6.81,0.0,0.88,1.089,2022-10-25,ARI,6,CBJ,3,Lost,2.0
"2022-10-28 - WPG 3, ARI 2",ARI,32.29,49.98,24.1,39.57,15.21,26.59,1.93,2.03,1.03,2.49,15.65,29.53,4.86,13.46,2.96,8.16,0.94,2.05,10.91,15.97,2.97,8.1,0.94,0.0,13.22,18.03,8.43,10.34,0.0,0.0,1.051,2022-10-28,WPG,3,ARI,2,Lost,2.0
"2022-10-30 - NYR 3, ARI 2",ARI,40.3,46.31,29.37,41.21,18.65,32.71,0.94,2.07,1.68,2.16,24.0,27.16,6.49,9.58,3.72,7.37,0.94,1.06,17.67,17.49,6.85,12.27,0.0,1.06,14.91,16.54,8.07,12.16,0.0,0.0,0.987,2022-10-30,NYR,3,ARI,2,Lost,1.0
"2022-11-01 - FLA 1, ARI 3",ARI,26.9,51.69,23.1,36.62,12.57,24.3,0.0,1.06,0.92,1.95,11.25,18.77,4.67,10.65,1.89,6.32,0.0,1.06,6.51,8.16,3.8,2.03,0.0,0.0,11.63,28.89,4.93,14.75,0.0,0.0,0.957,2022-11-01,FLA,1,ARI,3,Won,1.0
"2022-11-03 - DAL 7, ARI 2",ARI,44.57,50.35,35.41,35.67,23.62,28.75,1.83,6.43,1.97,2.36,18.47,27.46,6.62,9.21,4.08,5.8,0.91,3.25,11.6,18.52,7.92,11.09,0.96,3.13,19.73,15.44,9.08,10.66,0.0,0.0,0.854,2022-11-03,DAL,7,ARI,2,Lost,1.0
"2022-11-05 - ARI 3, WSH 2",ARI,35.11,56.81,30.29,41.6,21.24,29.73,3.08,0.99,2.24,2.69,17.53,27.21,7.38,11.47,7.3,4.79,2.09,0.99,10.11,15.85,4.09,8.8,1.06,0.0,13.94,25.06,8.85,14.41,0.0,0.0,1.112,2022-11-05,ARI,3,WSH,2,Lost,1.0
