Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - BOS 5, WSH 2",BOS,45.7,41.75,30.78,30.59,22.97,21.78,3.2,1.87,2.28,1.76,26.69,16.13,11.23,6.22,6.74,2.7,2.15,0.0,15.73,9.71,6.44,6.4,1.04,1.99,15.43,21.36,6.62,9.92,0.0,0.0,1.054,2022-10-12,BOS,5,WSH,2,Lost,
"2022-10-15 - ARI 3, BOS 6",BOS,62.71,32.18,46.36,23.97,37.2,16.22,3.91,1.01,3.19,1.31,39.2,14.76,19.73,3.95,15.99,2.92,1.98,0.0,19.68,10.6,9.04,7.93,1.89,1.02,20.04,15.15,10.69,4.62,0.0,0.0,1.043,2022-10-15,ARI,3,BOS,6,Won,2.0
"2022-10-17 - FLA 3, BOS 5",BOS,52.95,40.35,36.03,30.15,27.74,21.23,3.86,2.02,2.46,1.46,23.92,23.09,11.84,6.04,8.94,3.92,2.87,1.01,12.11,16.79,4.99,5.01,0.0,0.0,24.26,16.98,10.64,11.18,1.07,0.94,1.044,2022-10-17,FLA,3,BOS,5,Won,1.0
"2022-10-18 - BOS 5, OTT 7",BOS,40.17,50.46,32.3,39.38,21.01,30.08,3.02,5.84,1.9,2.5,15.67,32.19,7.04,14.03,5.9,11.24,2.04,1.95,8.5,18.33,4.88,7.88,1.06,3.81,21.15,10.69,9.22,7.58,0.0,0.0,0.95,2022-10-18,BOS,5,OTT,7,Won,0.0
"2022-10-20 - ANA 1, BOS 2",BOS,44.68,34.72,34.91,25.53,27.22,21.34,0.94,1.01,1.98,1.1,21.89,13.47,10.28,4.2,9.46,3.1,0.94,0.0,11.59,9.19,5.83,6.12,0.0,1.06,17.66,16.29,8.88,8.02,0.0,0.0,0.987,2022-10-20,ANA,1,BOS,2,Won,1.0
"2022-10-22 - MIN 3, BOS 4",BOS,49.24,29.8,34.52,23.36,27.41,17.49,2.86,1.01,2.28,0.96,24.64,12.13,6.79,3.01,6.87,2.97,1.93,1.01,18.1,8.97,7.89,5.04,0.96,0.0,23.06,16.92,12.76,8.4,0.0,0.0,1.046,2022-10-22,MIN,3,BOS,4,Won,1.0
"2022-10-25 - DAL 1, BOS 3",BOS,31.24,40.63,27.07,29.85,21.1,23.82,0.94,1.01,1.84,1.82,19.51,25.49,9.6,10.2,4.86,9.09,0.0,1.01,9.95,15.17,6.93,9.18,0.0,0.0,10.21,14.83,8.16,4.8,0.95,0.0,1.002,2022-10-25,DAL,1,BOS,3,Won,2.0
"2022-10-27 - DET 1, BOS 5",BOS,37.54,37.0,32.04,28.96,23.61,23.04,1.93,1.01,1.98,2.52,23.01,25.06,6.73,10.35,3.85,8.19,0.0,0.0,16.64,14.48,11.09,6.83,1.92,1.02,12.67,11.66,8.72,7.03,0.0,0.0,1.038,2022-10-27,DET,1,BOS,5,Won,1.0
"2022-10-28 - BOS 4, CBJ 0",BOS,54.33,38.74,40.1,22.82,28.91,18.41,3.19,0.0,2.02,1.15,28.88,15.07,7.85,4.22,5.6,3.26,1.07,0.0,21.33,10.69,10.82,6.44,2.09,0.0,21.83,18.64,12.54,6.09,0.0,0.0,1.11,2022-10-28,BOS,4,CBJ,0,Lost,0.0
"2022-11-01 - BOS 6, PIT 5",BOS,42.35,61.91,33.03,43.31,27.26,30.14,3.08,3.84,2.28,3.6,26.0,26.45,9.17,16.46,7.11,11.72,3.1,2.85,16.5,9.91,8.9,1.97,0.0,0.0,17.18,29.95,11.28,14.63,0.0,1.07,0.986,2022-11-01,BOS,6,PIT,5,Lost,3.0
"2022-11-03 - BOS 5, NYR 2",BOS,56.69,34.81,40.59,25.76,29.82,16.63,4.25,1.85,3.03,1.49,35.58,21.13,16.34,7.22,10.84,5.44,2.12,0.0,19.48,13.78,7.51,4.68,1.04,1.92,20.04,9.26,11.5,3.68,1.05,0.0,1.031,2022-11-03,BOS,5,NYR,2,Lost,1.0
"2022-11-05 - BOS 1, TOR 2",BOS,36.0,40.68,24.66,31.14,16.66,24.15,0.0,0.94,0.73,1.29,16.19,13.69,3.07,6.79,2.05,4.86,0.0,0.94,12.93,6.93,3.01,3.94,0.0,0.0,16.25,22.72,8.49,14.53,0.0,0.0,0.961,2022-11-05,BOS,1,TOR,2,Won,1.0
"2022-11-07 - STL 1, BOS 3",BOS,50.95,33.3,33.85,25.63,25.96,18.71,0.99,1.01,2.19,1.46,23.53,13.26,9.78,6.14,5.99,4.03,0.0,1.01,13.87,7.07,2.94,4.06,0.94,0.0,25.82,19.14,16.14,9.41,0.0,0.0,0.984,2022-11-07,STL,1,BOS,3,Won,1.0
"2022-11-10 - CGY 1, BOS 3",BOS,22.65,43.47,19.66,34.13,11.76,25.71,1.87,1.06,1.08,1.29,9.5,16.74,4.63,6.2,3.79,4.09,0.92,0.0,4.86,10.56,0.93,4.06,0.0,0.0,12.03,23.77,6.07,16.47,0.95,1.05,1.118,2022-11-10,CGY,1,BOS,3,Won,2.0
"2022-11-12 - BOS 3, BUF 1",BOS,38.93,46.24,31.32,35.78,24.24,25.77,2.13,0.0,2.12,2.23,18.51,21.19,11.33,10.42,6.26,6.69,1.08,0.0,7.21,10.74,7.19,7.74,0.0,0.0,19.76,22.73,9.77,10.41,1.05,0.0,1.088,2022-11-12,BOS,3,BUF,1,Lost,1.0
"2022-11-13 - VAN 2, BOS 5",BOS,37.51,34.68,27.68,27.64,21.3,19.09,0.94,0.0,1.07,1.29,13.93,16.68,3.88,6.1,2.9,5.05,0.0,0.0,10.22,10.33,3.94,3.93,0.0,0.0,21.13,18.56,13.76,9.91,0.95,0.0,1.044,2022-11-13,VAN,2,BOS,5,Won,0.0
"2022-11-17 - PHI 1, BOS 4",BOS,48.64,38.99,33.19,31.45,22.24,20.67,1.93,0.0,1.88,1.67,25.73,20.23,11.66,11.22,5.9,6.2,1.93,0.0,14.19,9.03,5.03,4.06,0.0,0.0,19.05,15.45,9.11,7.24,0.0,0.0,1.087,2022-11-17,PHI,1,BOS,4,Won,3.0
"2022-11-19 - CHI 1, BOS 6",BOS,65.32,25.35,54.73,18.56,36.95,13.91,3.97,0.0,3.28,0.79,39.8,13.35,12.99,2.9,8.09,1.9,0.99,0.0,27.41,10.16,16.36,3.88,0.98,0.0,23.97,10.73,12.23,7.85,2.12,0.0,1.107,2022-11-19,CHI,1,BOS,6,Won,1.0
"2022-11-21 - BOS 5, TB 3",BOS,35.82,41.15,28.41,36.24,23.86,29.27,3.14,1.86,2.12,2.24,20.62,22.44,7.56,8.81,6.34,8.02,2.15,0.0,13.23,13.49,7.66,8.31,0.0,1.91,18.62,22.16,8.75,10.97,0.94,0.0,1.068,2022-11-21,BOS,5,TB,3,Lost,1.0
"2022-11-23 - BOS 2, FLA 5",BOS,45.95,37.98,36.22,30.08,30.64,20.67,0.0,0.94,2.51,1.97,23.9,22.07,13.11,8.93,10.95,6.05,0.0,0.0,10.75,13.34,4.01,5.93,0.0,0.95,21.84,13.09,15.33,6.6,0.0,0.0,0.954,2022-11-23,BOS,2,FLA,5,Won,1.0
"2022-11-25 - CAR 2, BOS 3",BOS,42.56,28.7,31.89,26.18,25.74,21.65,1.87,0.0,1.75,1.13,27.07,12.14,7.93,4.42,7.06,4.39,0.93,0.0,18.95,7.88,8.45,4.29,0.0,0.0,15.75,13.26,10.22,9.94,0.89,0.0,1.073,2022-11-25,CAR,2,BOS,3,Won,1.0
"2022-11-29 - TB 1, BOS 3",BOS,41.86,43.13,30.98,27.22,23.74,21.36,0.94,0.0,1.56,1.01,20.04,21.06,7.92,2.01,5.99,0.99,0.94,0.0,12.28,18.73,4.99,8.07,0.0,0.0,25.56,26.44,10.77,10.16,0.0,0.0,1.04,2022-11-29,TB,1,BOS,3,Won,3.0
"2022-12-03 - COL 1, BOS 5",BOS,52.28,36.01,41.02,26.63,33.73,22.02,3.96,1.0,3.11,1.65,31.62,20.27,17.07,6.93,14.28,5.89,2.93,1.02,14.57,12.94,7.09,6.8,0.98,0.0,17.24,13.76,9.94,6.57,0.0,0.0,1.072,2022-12-03,COL,1,BOS,5,Won,3.0
"2022-12-05 - VGK 4, BOS 3",BOS,43.96,46.45,36.57,32.91,25.91,19.64,1.87,3.18,2.12,2.29,23.88,25.49,11.1,14.41,8.51,6.75,0.91,2.14,12.6,11.32,7.48,4.39,0.0,0.97,17.69,18.65,8.81,7.46,0.88,0.0,0.91,2022-12-05,VGK,4,BOS,3,Lost,1.0
"2022-12-07 - BOS 4, COL 0",BOS,58.18,30.28,43.56,23.76,33.41,18.36,4.26,0.0,2.34,0.85,25.24,7.95,10.16,3.51,6.65,1.68,2.17,0.0,15.2,4.35,10.68,2.71,2.02,0.0,29.55,20.71,15.1,13.04,0.0,0.0,1.128,2022-12-07,BOS,4,COL,0,Lost,1.0
