Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - CBJ 1, CAR 4",CAR,84.98,50.4,64.51,41.59,37.27,31.7,3.84,1.06,3.12,2.68,33.49,27.22,13.71,8.56,7.96,6.32,1.91,0.0,19.96,18.59,8.8,13.54,0.98,0.0,39.65,14.53,17.56,6.75,0.95,1.05,1.07,2022-10-12,CBJ,1,CAR,4,Won,
"2022-10-14 - CAR 2, SJ 1",CAR,53.99,19.71,34.08,13.69,26.94,9.78,2.07,0.94,2.19,0.72,28.83,7.72,10.34,3.8,9.17,2.84,2.07,0.0,18.33,3.92,5.12,1.97,0.0,0.95,31.61,14.73,9.69,3.94,0.0,0.0,0.98,2022-10-14,CAR,2,SJ,1,Lost,1.0
"2022-10-17 - CAR 5, SEA 1",CAR,58.85,25.59,42.43,19.09,29.06,15.61,3.19,0.0,2.78,1.38,26.81,12.96,14.61,6.76,10.19,4.96,3.22,0.0,12.47,6.01,4.41,5.42,0.0,0.0,26.22,8.38,13.69,3.32,0.0,0.0,1.11,2022-10-17,CAR,5,SEA,1,Lost,2.0
"2022-10-20 - CAR 4, EDM 6",CAR,51.67,41.27,37.79,30.73,28.19,24.54,2.03,1.98,2.39,2.25,25.99,24.77,9.25,9.69,3.16,6.83,0.0,0.99,16.42,15.27,7.91,9.01,1.02,0.0,21.74,13.74,14.93,6.48,0.94,1.06,0.991,2022-10-20,CAR,4,EDM,6,Won,2.0
"2022-10-22 - CAR 2, CGY 3",CAR,49.36,23.18,34.17,17.85,23.39,15.16,2.13,0.92,2.64,0.51,32.52,6.49,13.16,0.88,9.74,0.0,1.06,0.0,19.58,5.63,9.58,4.81,1.04,0.0,14.67,13.97,3.04,9.42,0.0,0.89,1.03,2022-10-22,CAR,2,CGY,3,Won,1.0
"2022-10-24 - CAR 3, VAN 2",CAR,65.46,27.99,53.28,16.85,37.2,11.34,2.13,0.95,3.29,1.02,32.39,10.33,14.12,3.74,8.67,1.89,2.14,0.0,18.51,6.56,10.51,2.91,0.0,0.0,31.98,13.88,18.14,5.55,0.0,0.88,0.973,2022-10-24,CAR,3,VAN,2,Lost,1.0
"2022-10-28 - NYI 6, CAR 2",CAR,64.32,48.53,44.18,38.6,25.55,33.12,1.85,5.29,2.2,2.96,29.0,24.7,8.9,14.16,4.4,10.78,0.92,3.2,19.87,10.71,6.58,8.43,0.0,2.02,28.1,18.33,13.45,11.85,0.89,0.0,0.912,2022-10-28,NYI,6,CAR,2,Lost,3.0
"2022-10-29 - CAR 4, PHI 3",CAR,45.2,24.47,33.06,19.02,21.53,16.36,3.14,1.89,2.39,1.35,21.06,16.88,12.95,8.23,9.55,6.54,1.08,1.87,8.16,8.6,4.09,3.94,1.05,0.0,18.28,4.54,5.99,4.57,0.94,0.0,1.03,2022-10-29,CAR,4,PHI,3,Lost,0.0
"2022-10-31 - WSH 2, CAR 3",CAR,37.62,23.94,24.53,19.01,16.58,12.99,0.92,1.01,1.11,1.11,13.42,10.11,6.5,6.08,5.56,5.02,0.92,1.01,6.91,4.02,1.0,1.03,0.0,0.0,21.05,11.0,10.05,4.89,0.0,0.0,0.978,2022-10-31,WSH,2,CAR,3,Won,1.0
"2022-11-03 - CAR 4, TB 3",CAR,58.78,31.73,44.78,23.16,36.32,16.46,1.06,0.94,2.84,1.37,36.57,18.01,12.87,9.37,9.48,6.68,0.0,0.94,23.63,8.55,12.44,3.84,1.05,0.0,36.99,13.43,14.54,4.93,0.0,0.0,0.972,2022-11-03,CAR,4,TB,3,Lost,2.0
"2022-11-04 - BUF 3, CAR 5",CAR,37.37,34.27,31.35,26.62,20.17,18.74,2.86,2.11,1.66,2.01,20.51,18.17,5.92,9.25,3.03,6.2,0.99,0.0,14.72,8.81,7.87,5.06,0.95,2.1,13.32,12.7,8.22,6.51,0.89,0.0,1.029,2022-11-04,BUF,3,CAR,5,Won,0.0
"2022-11-06 - TOR 3, CAR 1",CAR,57.96,38.15,45.8,30.99,25.9,20.0,0.0,3.14,2.7,1.98,29.07,20.73,11.59,9.49,7.82,4.27,0.0,2.14,17.53,11.22,7.76,6.11,0.0,1.06,26.45,16.77,9.24,8.58,0.0,0.0,0.843,2022-11-06,TOR,3,CAR,1,Lost,1.0
"2022-11-09 - CAR 0, FLA 3",CAR,45.3,36.61,33.11,30.28,26.33,20.2,0.0,0.94,2.72,1.78,23.15,19.62,14.26,9.67,12.11,5.86,0.0,0.94,8.9,10.0,2.03,5.93,0.0,0.0,21.73,16.55,12.04,8.4,0.0,0.0,0.953,2022-11-09,CAR,0,FLA,3,Won,2.0
"2022-11-10 - EDM 2, CAR 7",CAR,64.88,34.38,48.77,29.96,29.88,14.49,5.89,1.0,3.53,1.78,35.51,18.89,21.72,12.16,10.95,4.96,1.94,1.02,13.71,6.82,8.12,2.0,3.87,0.0,21.89,14.19,9.45,6.61,0.0,0.0,1.128,2022-11-10,EDM,2,CAR,7,Won,0.0
"2022-11-12 - CAR 1, COL 4",CAR,46.28,18.86,33.56,14.6,23.08,13.53,1.01,1.98,2.05,1.16,19.71,8.14,9.94,6.05,5.88,6.14,1.04,0.0,9.7,1.99,5.92,1.97,0.0,0.94,18.7,7.45,11.24,5.35,0.0,1.06,0.898,2022-11-12,CAR,1,COL,4,Won,1.0
"2022-11-14 - CAR 3, CHI 0",CAR,48.97,22.61,36.14,18.05,23.42,15.5,3.18,0.0,1.29,1.28,18.97,12.9,2.29,7.6,2.3,6.75,0.0,0.0,16.83,5.14,4.27,2.66,2.02,0.0,26.43,6.69,17.1,5.1,1.11,0.0,1.136,2022-11-14,CAR,3,CHI,0,Lost,1.0
