Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-11 - VGK 4, LA 3",LA,41.99,70.73,35.05,51.33,23.39,44.03,2.79,3.12,2.15,3.91,20.87,51.18,11.12,22.33,9.4,20.08,2.78,1.06,9.71,28.78,2.94,10.18,0.0,2.11,32.93,23.44,10.94,11.15,0.0,0.0,1.048,2022-10-11,VGK,4,LA,3,Lost,
"2022-10-13 - SEA 4, LA 1",LA,33.43,30.72,24.28,22.85,18.1,16.22,0.0,2.13,1.16,1.49,17.84,19.74,4.49,5.5,2.76,4.35,0.0,2.14,13.05,14.44,6.48,6.42,0.0,0.0,21.07,11.98,7.87,5.48,0.0,0.0,0.868,2022-10-13,SEA,4,LA,1,Lost,1.0
"2022-10-15 - LA 7, MIN 6",LA,32.45,41.43,28.78,29.66,24.19,22.55,5.34,2.79,1.26,1.63,13.24,16.89,5.64,6.97,5.64,3.46,1.08,1.85,7.66,9.69,4.2,5.54,2.1,0.0,24.68,29.38,11.16,12.56,2.22,0.88,1.097,2022-10-15,LA,7,MIN,6,Lost,1.0
"2022-10-17 - LA 5, DET 4",LA,52.45,34.49,39.39,25.2,28.6,20.74,4.18,1.87,2.92,1.37,27.89,16.79,8.68,4.57,6.44,3.72,1.06,0.0,19.32,12.22,9.4,5.7,3.16,1.91,35.14,18.59,11.76,7.45,0.0,0.0,1.056,2022-10-17,LA,5,DET,4,Lost,1.0
"2022-10-18 - LA 4, NSH 3",LA,30.28,32.35,24.11,25.71,18.32,19.51,1.01,1.93,1.21,1.43,14.91,14.04,4.97,2.99,2.94,3.03,1.04,0.99,9.83,11.25,5.04,5.96,0.0,0.95,15.72,22.23,9.19,10.64,0.0,0.0,0.956,2022-10-18,LA,4,NSH,3,Lost,0.0
"2022-10-20 - LA 1, PIT 6",LA,48.0,48.57,33.88,33.63,23.72,28.11,0.0,3.91,1.77,2.1,21.27,24.13,6.9,7.14,4.86,7.24,0.0,2.93,14.04,17.44,7.82,10.54,0.0,0.0,27.76,21.24,9.12,7.91,0.0,0.95,0.861,2022-10-20,LA,1,PIT,6,Won,1.0
"2022-10-22 - LA 3, WSH 4",LA,43.82,54.15,31.3,37.34,20.73,26.19,3.14,3.76,1.8,1.81,22.05,24.13,9.45,12.81,7.31,6.44,2.09,0.94,12.61,11.13,3.13,4.7,1.05,2.94,17.9,17.75,9.34,8.33,0.0,0.0,1.008,2022-10-22,LA,3,WSH,4,Won,1.0
"2022-10-25 - TB 2, LA 4",LA,54.87,34.08,38.63,19.7,30.28,12.92,2.92,1.01,2.56,1.46,30.12,21.27,12.74,9.27,7.95,5.21,1.93,0.0,17.61,11.87,9.13,3.0,0.98,0.0,26.95,12.7,13.28,4.69,0.0,0.94,1.018,2022-10-25,TB,2,LA,4,Won,2.0
"2022-10-27 - WPG 6, LA 4",LA,61.92,25.66,44.29,20.54,36.5,11.09,2.86,3.17,3.0,1.35,33.41,11.49,16.01,9.49,12.37,6.13,2.85,1.06,17.36,2.07,10.59,1.03,0.0,1.05,25.2,14.28,13.24,4.0,0.0,1.05,0.792,2022-10-27,WPG,6,LA,4,Lost,1.0
"2022-10-29 - TOR 2, LA 4",LA,36.91,33.67,26.78,29.32,17.91,17.5,1.98,1.01,1.61,2.21,16.64,24.25,6.85,11.3,3.95,5.15,0.99,1.04,9.82,12.89,5.92,6.05,0.94,0.0,17.17,9.25,7.05,5.35,0.0,0.0,1.052,2022-10-29,TOR,2,LA,4,Won,1.0
