Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-07 - SJ 1, NSH 4",NSH,50.53,39.07,30.49,30.96,22.37,21.11,2.88,1.01,2.67,1.97,30.75,16.96,13.78,8.04,8.88,4.92,0.94,0.0,17.09,8.85,7.9,5.04,1.89,1.06,23.16,23.51,5.35,9.04,0.0,0.0,1.081,2022-10-07,SJ,1,NSH,4,Won,
"2022-10-08 - NSH 3, SJ 2",NSH,39.9,35.28,25.27,22.13,14.08,17.42,3.08,0.94,1.15,1.65,18.78,18.84,5.08,8.51,3.97,6.69,2.02,0.0,13.67,10.26,5.16,2.83,1.05,0.95,26.42,23.03,3.96,7.9,0.0,0.0,1.165,2022-10-08,NSH,3,SJ,2,Lost,0.0
"2022-10-13 - DAL 4, NSH 1",NSH,33.41,37.89,23.48,29.35,17.57,21.26,0.92,2.11,1.05,1.8,15.82,22.71,5.35,9.07,2.68,7.9,0.0,2.13,10.26,13.9,5.42,7.7,0.96,0.0,15.26,13.61,7.61,5.6,0.0,0.0,0.953,2022-10-13,DAL,4,NSH,1,Lost,4.0
"2022-10-15 - NSH 1, DAL 5",NSH,50.58,42.1,42.19,26.53,22.71,14.77,0.0,1.97,1.94,1.75,19.25,23.48,7.95,6.11,2.96,2.03,0.0,0.0,11.03,17.7,2.91,7.11,0.0,1.92,28.21,13.28,14.37,4.44,0.0,0.0,0.866,2022-10-15,NSH,1,DAL,5,Won,1.0
"2022-10-18 - LA 4, NSH 3",NSH,32.35,30.28,25.71,24.11,19.51,18.32,1.93,1.01,1.43,1.21,14.04,14.91,2.99,4.97,3.03,2.94,0.99,1.04,11.25,9.83,5.96,5.04,0.95,0.0,22.23,15.72,10.64,9.19,0.0,0.0,1.044,2022-10-18,LA,4,NSH,3,Lost,2.0
"2022-10-20 - NSH 3, CBJ 5",NSH,44.31,54.06,30.75,41.19,22.77,29.81,3.21,3.77,2.67,2.66,19.52,25.92,8.76,9.8,8.71,6.21,2.14,0.92,10.9,15.74,4.23,8.22,0.0,1.03,22.54,22.42,8.96,12.68,1.11,1.83,1.014,2022-10-20,NSH,3,CBJ,5,Won,1.0
"2022-10-22 - PHI 3, NSH 1",NSH,51.17,46.85,38.06,34.89,24.06,26.8,0.0,3.18,2.09,1.98,24.78,20.14,11.46,7.86,6.17,5.6,0.0,1.08,12.97,12.56,5.51,6.52,0.0,2.02,25.17,23.08,12.14,13.8,0.0,0.0,0.881,2022-10-22,PHI,3,NSH,1,Lost,1.0
"2022-10-27 - STL 2, NSH 6",NSH,60.44,39.22,42.93,34.43,32.97,26.62,3.78,1.06,2.85,2.06,28.78,25.5,9.53,9.25,4.56,6.2,2.83,1.06,19.22,16.19,10.72,10.2,0.0,0.0,25.29,11.27,15.95,8.14,0.95,0.0,1.075,2022-10-27,STL,2,NSH,6,Won,4.0
"2022-10-29 - WSH 3, NSH 0",NSH,37.24,55.21,31.8,42.39,22.55,28.59,0.0,2.13,2.53,3.25,21.39,32.09,11.05,13.08,6.56,9.78,0.0,2.14,10.17,19.04,3.8,11.49,0.0,0.0,13.88,20.04,11.12,7.41,0.0,0.0,0.925,2022-10-29,WSH,3,NSH,0,Lost,1.0
"2022-11-01 - NSH 4, EDM 7",NSH,32.45,53.97,25.07,34.75,16.97,24.04,2.06,3.84,1.5,2.4,18.22,29.51,3.02,10.85,2.03,7.88,1.06,1.88,14.7,18.96,8.67,9.3,1.0,1.89,9.74,19.11,4.47,6.64,0.0,0.0,0.962,2022-11-01,NSH,4,EDM,7,Won,2.0
"2022-11-03 - NSH 4, CGY 1",NSH,51.18,41.7,38.5,26.79,26.3,20.07,2.13,0.92,2.9,1.39,28.72,15.35,9.09,6.78,6.72,5.07,2.14,0.91,19.77,8.36,8.57,2.66,0.0,0.0,22.32,23.1,11.09,10.28,0.0,0.0,1.035,2022-11-03,NSH,4,CGY,1,Lost,1.0
"2022-11-05 - NSH 4, VAN 3",NSH,42.83,50.16,33.46,38.26,21.62,32.94,2.03,1.93,2.43,2.13,25.24,28.01,11.26,12.75,9.02,9.92,1.01,0.99,13.82,15.42,3.03,5.96,0.0,0.0,14.45,19.17,6.71,15.19,0.93,0.95,1.035,2022-11-05,NSH,4,VAN,3,Lost,1.0
"2022-11-08 - NSH 1, SEA 5",NSH,48.38,43.05,33.8,27.06,18.34,18.28,1.0,3.91,1.9,1.55,27.49,19.99,7.73,7.2,4.76,3.15,1.02,0.0,19.25,13.06,5.83,7.26,0.0,2.92,18.46,16.76,7.63,5.53,0.0,0.95,0.841,2022-11-08,NSH,1,SEA,5,Won,2.0
"2022-11-10 - NSH 3, COL 5",NSH,51.7,50.39,34.82,38.58,28.72,23.9,2.06,2.92,1.99,2.27,22.23,22.78,7.11,12.59,3.93,9.65,0.0,2.9,15.0,10.18,8.26,3.9,0.0,0.0,23.35,22.85,14.98,9.34,1.99,0.0,0.95,2022-11-10,NSH,3,COL,5,Won,1.0
"2022-11-12 - NYR 1, NSH 2",NSH,29.24,41.06,21.7,29.12,13.39,21.32,1.93,1.01,1.22,1.63,17.0,21.92,5.94,7.01,4.98,4.94,1.93,1.04,11.2,14.71,3.99,5.04,0.0,0.0,9.59,16.88,4.31,10.25,0.0,0.0,1.097,2022-11-12,NYR,1,NSH,2,Won,1.0
"2022-11-15 - MIN 1, NSH 2",NSH,29.26,44.18,21.72,34.4,15.55,21.84,0.94,1.01,1.08,2.03,11.08,14.78,2.88,7.09,2.92,2.92,0.0,0.0,8.39,7.56,4.05,4.93,0.0,0.0,13.77,22.28,7.58,10.82,0.95,0.93,1.014,2022-11-15,MIN,1,NSH,2,Won,2.0
"2022-11-17 - NYI 4, NSH 5",NSH,50.6,45.75,41.15,34.5,28.28,21.59,3.86,3.03,2.9,2.03,26.55,27.13,10.93,7.88,8.0,6.79,2.85,2.06,15.92,18.78,8.1,8.9,0.0,0.0,20.88,14.43,11.15,6.05,1.06,0.94,0.996,2022-11-17,NYI,4,NSH,5,Won,1.0
"2022-11-19 - TB 3, NSH 2",NSH,33.49,53.83,26.17,36.45,21.17,28.62,0.94,1.01,2.0,2.85,15.7,30.39,9.72,14.41,8.89,8.24,0.0,1.01,5.97,15.86,1.97,12.11,0.95,0.0,20.68,24.17,10.31,6.55,0.0,0.0,1.009,2022-11-19,TB,3,NSH,2,Lost,1.0
"2022-11-21 - ARI 3, NSH 4",NSH,47.53,37.5,38.12,29.82,26.08,22.7,0.94,2.07,2.51,2.69,25.53,21.22,14.72,8.27,7.94,6.14,0.94,1.06,10.8,12.81,6.82,7.02,0.0,1.06,17.23,15.0,9.15,8.76,0.0,0.0,0.945,2022-11-21,ARI,3,NSH,4,Won,1.0
"2022-11-23 - NSH 0, DET 3",NSH,51.57,35.38,31.39,27.77,20.5,20.51,0.0,0.94,2.18,1.66,33.27,18.27,14.25,5.92,5.05,5.99,0.0,0.0,18.87,12.63,8.07,3.08,0.0,0.0,13.77,12.36,6.48,8.33,0.0,0.95,0.954,2022-11-23,NSH,0,DET,3,Won,1.0
"2022-11-29 - ANA 1, NSH 2",NSH,63.63,53.75,46.37,38.01,36.65,32.98,0.94,1.01,3.03,2.32,34.79,27.67,15.08,11.47,12.42,10.35,0.94,0.0,19.78,16.09,7.82,7.12,0.0,1.06,23.07,20.61,15.34,10.52,0.0,0.0,0.995,2022-11-29,ANA,1,NSH,2,Won,5.0
"2022-12-01 - NSH 4, NJ 3",NSH,46.65,40.95,30.49,30.94,20.51,22.12,2.13,0.95,1.67,2.16,23.04,18.3,9.56,10.4,6.38,6.69,2.14,0.0,13.52,7.87,3.03,3.83,0.0,1.03,30.46,23.18,8.93,9.6,0.0,0.0,1.061,2022-12-01,NSH,4,NJ,3,Lost,1.0
"2022-12-02 - NSH 4, NYI 1",NSH,36.44,56.29,27.38,43.66,16.35,34.08,0.0,0.0,1.07,2.36,12.18,29.51,5.63,14.21,2.25,9.82,0.0,0.0,6.65,14.88,2.1,7.3,0.0,0.0,21.78,25.35,9.89,15.62,0.0,0.0,1.0,2022-12-02,NSH,4,NYI,1,Lost,0.0
"2022-12-08 - NSH 2, TB 5",NSH,44.08,52.18,32.04,35.11,29.13,28.92,1.01,2.88,2.01,1.98,19.04,24.95,7.03,8.97,6.94,8.06,1.01,1.93,11.89,16.14,7.1,7.9,0.0,0.95,28.21,28.7,13.0,9.9,0.0,0.0,0.935,2022-12-08,NSH,2,TB,5,Won,5.0
"2022-12-10 - OTT 3, NSH 2",NSH,32.19,46.46,23.7,33.09,16.17,25.7,1.89,1.06,1.72,2.14,13.1,23.01,5.56,7.39,5.62,5.21,0.0,1.06,7.47,15.52,3.8,8.23,0.95,0.0,17.11,20.64,5.69,11.24,0.88,0.0,1.076,2022-12-10,OTT,3,NSH,2,Lost,1.0
"2022-12-12 - NSH 0, STL 1",NSH,45.34,36.84,29.93,22.26,19.53,13.61,0.0,0.0,2.46,1.17,28.31,16.18,11.72,4.67,7.38,2.84,0.0,0.0,16.55,11.59,5.14,2.91,0.0,0.0,15.36,18.54,6.08,7.89,0.0,0.0,1.0,2022-12-12,NSH,0,STL,1,Won,1.0
"2022-12-13 - EDM 6, NSH 3",NSH,45.2,55.24,33.22,43.93,20.66,33.15,2.85,3.14,1.44,2.36,21.73,27.85,6.36,11.66,3.69,7.41,0.0,2.07,15.13,16.34,4.58,8.5,2.06,1.04,20.3,17.55,10.43,10.73,0.95,0.0,1.043,2022-12-13,EDM,6,NSH,3,Lost,0.0
"2022-12-15 - NSH 1, WPG 2",NSH,34.5,55.99,26.14,45.36,19.66,27.09,1.06,0.0,1.81,2.84,16.01,24.63,10.81,13.92,8.55,6.5,0.0,0.0,5.34,10.62,2.06,3.89,0.0,0.0,17.49,28.3,9.12,15.78,1.05,0.0,1.054,2022-12-15,NSH,1,WPG,2,Won,1.0
"2022-12-17 - NSH 1, COL 3",NSH,43.31,43.84,28.72,29.52,19.86,18.32,1.01,0.99,1.83,1.43,15.21,19.78,7.16,5.87,6.1,3.99,1.04,0.0,8.04,14.09,4.09,7.93,0.0,0.94,18.31,18.54,6.64,5.26,0.0,0.0,0.997,2022-12-17,NSH,1,COL,3,Won,1.0
"2022-12-19 - EDM 3, NSH 4",NSH,50.16,47.88,42.03,34.08,30.38,27.0,1.89,1.01,2.55,2.76,23.1,30.66,10.41,14.35,8.64,10.16,0.94,0.0,12.73,16.2,4.88,9.21,0.0,0.0,20.76,14.91,13.81,5.72,0.95,0.94,1.025,2022-12-19,EDM,3,NSH,4,Won,1.0
"2022-12-21 - NSH 4, CHI 2",NSH,64.97,43.67,47.29,36.54,34.25,27.34,3.12,1.87,2.83,1.99,32.52,21.36,16.24,6.4,8.63,2.72,2.07,0.0,16.59,14.87,7.48,10.55,1.05,0.95,30.3,20.48,17.2,14.0,0.0,0.89,1.023,2022-12-21,NSH,4,CHI,2,Lost,1.0
"2022-12-23 - COL 3, NSH 2",NSH,50.28,63.39,39.59,45.54,32.65,35.68,0.99,2.03,2.7,3.34,22.52,32.01,8.85,13.18,7.94,7.94,0.99,1.01,13.81,18.58,5.88,10.94,0.0,1.02,26.35,26.41,18.18,15.71,0.0,0.0,0.974,2022-12-23,COL,3,NSH,2,Lost,1.0
"2022-12-27 - DAL 3, NSH 2",NSH,38.28,57.52,28.17,39.12,18.86,29.37,0.0,2.11,1.73,3.65,20.59,38.48,9.14,12.99,5.56,11.77,0.0,1.06,11.42,25.58,4.86,9.34,0.0,1.05,14.77,17.14,6.38,8.46,0.0,0.0,0.928,2022-12-27,DAL,3,NSH,2,Lost,3.0
"2022-12-30 - NSH 6, ANA 1",NSH,84.06,47.28,64.82,40.07,45.98,22.61,5.32,0.92,4.51,2.53,47.6,28.34,21.23,10.53,13.41,7.98,3.23,0.92,26.65,17.46,14.02,5.51,2.02,0.0,29.52,13.33,16.37,4.62,0.0,0.0,1.075,2022-12-30,NSH,6,ANA,1,Lost,2.0
"2022-12-31 - NSH 4, VGK 5",NSH,52.84,59.61,39.37,40.8,31.88,29.25,3.15,3.81,3.11,2.45,26.54,27.64,13.37,13.92,13.23,9.35,1.04,0.93,13.19,13.69,4.08,5.88,0.0,2.85,21.08,27.53,12.69,13.97,2.16,0.0,0.969,2022-12-31,NSH,4,VGK,5,Won,0.0
"2023-01-03 - MTL 3, NSH 6",NSH,61.92,32.04,45.96,24.28,27.62,17.77,3.95,3.02,2.78,1.72,31.24,15.41,10.17,4.95,5.16,4.88,1.98,1.02,21.61,10.19,8.38,5.8,0.98,2.02,25.21,14.52,13.22,7.06,1.07,0.0,0.973,2023-01-03,MTL,3,NSH,6,Won,2.0
"2023-01-05 - NSH 5, CAR 3",NSH,37.19,76.54,23.8,64.58,18.51,51.24,3.08,0.94,1.77,4.4,20.92,37.69,6.27,17.93,5.14,15.15,1.01,0.94,14.59,19.55,6.19,13.44,2.11,0.0,14.42,32.89,6.26,21.62,0.0,0.0,1.148,2023-01-05,NSH,5,CAR,3,Lost,1.0
"2023-01-06 - NSH 3, WSH 2",NSH,45.53,43.21,29.7,30.1,19.09,25.47,3.17,1.85,2.02,1.24,22.41,18.58,14.11,7.32,7.62,4.55,2.12,0.92,8.44,11.17,2.1,4.77,1.05,0.96,19.11,17.96,8.46,13.28,0.0,0.0,1.094,2023-01-06,NSH,3,WSH,2,Lost,0.0
"2023-01-09 - NSH 3, OTT 0",NSH,33.85,41.72,28.88,29.76,22.02,19.98,3.18,0.0,1.93,1.44,18.95,19.11,7.76,9.22,5.54,3.78,1.08,0.0,11.41,9.63,7.63,2.78,2.02,0.0,11.22,20.82,6.54,13.11,0.0,0.0,1.144,2023-01-09,NSH,3,OTT,0,Lost,2.0
"2023-01-11 - NSH 1, TOR 2",NSH,33.69,47.74,22.5,37.95,21.46,27.4,1.01,0.94,1.9,1.79,21.91,22.89,12.66,10.28,10.48,8.51,1.01,0.94,9.31,12.61,4.11,6.83,0.0,0.0,10.15,22.63,5.07,11.03,0.0,0.0,1.013,2023-01-11,NSH,1,TOR,2,Won,1.0
"2023-01-12 - NSH 3, MTL 4",NSH,56.9,59.8,43.11,43.54,33.23,28.76,2.07,0.94,3.69,2.92,35.04,31.76,20.3,16.2,12.02,7.52,2.07,0.94,14.67,15.48,8.07,3.89,0.0,0.0,19.26,20.49,12.26,14.43,0.0,0.0,1.029,2023-01-12,NSH,3,MTL,4,Won,0.0
"2023-01-14 - BUF 5, NSH 3",NSH,44.13,49.68,32.13,41.86,24.93,27.69,1.87,3.19,1.97,2.63,24.4,30.22,9.92,10.98,6.43,7.57,0.92,1.06,14.19,19.36,8.41,13.68,0.0,2.09,18.13,17.31,9.15,5.47,0.88,0.0,0.96,2023-01-14,BUF,5,NSH,3,Lost,1.0
"2023-01-16 - CGY 1, NSH 2",NSH,59.79,40.64,40.19,33.58,28.01,23.97,1.93,1.01,3.04,1.55,32.13,18.9,14.72,3.97,7.99,1.97,0.99,0.0,17.64,14.63,11.09,8.96,0.0,1.02,21.39,14.82,8.66,7.25,0.95,0.0,1.027,2023-01-16,CGY,1,NSH,2,Won,1.0
"2023-01-17 - CBJ 1, NSH 2",NSH,52.93,43.25,41.27,35.59,25.16,26.66,1.93,1.01,2.91,2.97,30.47,31.24,14.35,8.15,8.66,7.0,0.0,1.04,16.24,22.73,5.93,14.11,1.89,0.0,19.51,9.97,10.52,3.96,0.0,0.0,1.039,2023-01-17,CBJ,1,NSH,2,Won,0.0
"2023-01-19 - NSH 2, STL 5",NSH,28.04,48.04,24.54,38.49,16.82,27.44,1.01,3.87,1.97,2.4,19.17,28.64,7.23,9.7,6.2,6.99,1.01,2.88,11.75,19.13,5.06,10.84,0.0,0.0,8.53,15.71,4.72,8.48,0.0,0.95,0.919,2023-01-19,NSH,2,STL,5,Won,1.0
"2023-01-21 - LA 3, NSH 5",NSH,47.44,44.3,31.88,32.84,23.18,23.94,3.86,2.03,1.85,2.15,25.46,22.28,12.39,9.14,7.76,8.06,3.86,2.05,13.15,13.1,6.95,5.04,0.0,0.0,19.3,22.44,5.17,9.98,0.0,0.0,1.082,2023-01-21,LA,3,NSH,5,Won,1.0
"2023-01-24 - WPG 1, NSH 2",NSH,53.45,51.36,45.48,38.36,35.51,29.51,1.87,1.06,3.21,2.73,33.22,33.43,15.38,12.02,12.77,7.55,1.86,1.06,17.6,21.63,9.55,11.61,0.0,0.0,20.14,16.95,12.85,9.29,0.0,0.0,1.017,2023-01-24,WPG,1,NSH,2,Won,2.0
"2023-01-26 - NJ 4, NSH 6",NSH,59.12,48.0,47.5,36.91,33.04,27.41,3.78,3.17,3.22,2.05,30.43,22.85,10.24,10.55,7.45,10.44,2.78,2.12,20.26,12.32,11.65,4.09,0.0,1.05,36.13,32.79,13.9,12.94,1.06,0.0,0.999,2023-01-26,NJ,4,NSH,6,Won,1.0
"2023-02-07 - VGK 5, NSH 1",NSH,35.51,51.21,26.93,34.47,11.31,25.25,0.94,4.19,1.0,3.51,17.07,33.39,2.51,14.54,0.82,12.2,0.0,2.14,14.37,19.15,5.39,13.02,0.0,2.03,16.88,16.45,4.21,0.0,0.95,0.0,0.917,2023-02-07,VGK,5,NSH,1,Lost,11.0
"2023-02-11 - NSH 2, PHI 1",NSH,67.72,44.11,36.39,31.61,23.9,23.0,1.06,0.92,1.92,1.75,26.66,15.11,11.93,5.56,7.56,3.72,1.06,0.92,14.82,9.57,4.16,4.81,0.0,0.0,36.95,26.1,12.17,12.65,0.0,0.0,1.004,2023-02-11,NSH,2,PHI,1,Lost,3.0
"2023-02-13 - ARI 4, NSH 2",NSH,40.39,35.15,29.81,26.4,21.06,17.86,0.94,2.11,2.08,1.57,20.93,17.17,10.24,7.51,6.5,4.22,0.0,1.06,10.68,9.81,5.83,5.32,0.95,0.0,18.21,18.0,8.61,8.29,0.0,1.05,0.927,2023-02-13,ARI,4,NSH,2,Lost,1.0
"2023-02-16 - BOS 5, NSH 0",NSH,37.66,44.17,30.86,32.37,19.81,20.89,0.0,4.3,1.58,2.31,16.99,26.81,3.34,10.25,1.63,6.69,0.0,3.23,13.4,16.81,9.77,8.61,0.0,0.0,18.49,14.77,8.6,4.41,0.0,1.12,0.794,2023-02-16,BOS,5,NSH,0,Lost,2.0
"2023-02-18 - FLA 3, NSH 7",NSH,46.68,40.43,33.49,33.75,21.99,23.59,3.84,2.07,2.17,2.14,27.53,22.32,9.94,9.93,4.94,5.99,1.91,1.06,17.92,12.2,8.3,5.86,1.92,1.06,16.0,17.03,8.71,10.46,0.0,0.0,1.087,2023-02-18,FLA,3,NSH,7,Won,1.0
"2023-02-19 - NSH 3, MIN 4",NSH,42.17,50.8,28.19,34.58,17.41,25.36,2.03,2.88,1.11,1.87,11.82,24.21,5.1,7.77,3.0,5.84,0.0,1.88,6.58,16.83,3.9,5.1,1.02,0.0,27.71,22.73,10.39,13.44,0.93,1.06,1.003,2023-02-19,NSH,3,MIN,4,Won,0.0
"2023-02-21 - VAN 4, NSH 5",NSH,39.16,37.82,25.34,27.8,19.29,22.98,2.88,1.01,2.83,2.08,20.79,20.77,11.67,10.05,10.8,7.94,2.87,1.04,9.15,10.59,3.96,4.99,0.0,0.0,11.44,14.08,4.27,7.31,0.0,0.0,1.105,2023-02-21,VAN,4,NSH,5,Won,1.0
