Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-11 - TB 1, NYR 3",NYR,39.09,28.41,24.94,20.27,19.82,15.23,0.99,0.0,2.17,1.54,23.41,16.69,9.56,9.59,7.63,8.43,0.99,0.0,13.92,7.13,2.94,2.06,0.0,0.0,18.27,11.94,9.24,3.91,0.0,0.0,1.05,2022-10-11,TB,1,NYR,3,Won,
"2022-10-13 - NYR 7, MIN 3",NYR,42.2,30.84,29.91,22.85,25.18,15.91,5.34,1.83,1.77,1.45,20.69,16.59,10.39,6.08,9.23,5.22,4.34,1.82,10.52,10.29,5.58,3.59,0.97,0.0,18.84,9.45,10.58,4.53,0.0,0.0,1.097,2022-10-13,NYR,7,MIN,3,Lost,1.0
"2022-10-14 - NYR 1, WPG 4",NYR,52.8,54.33,43.4,38.12,32.41,26.09,1.01,1.89,2.87,2.57,25.26,32.14,11.28,9.6,9.17,7.82,0.0,0.94,13.84,22.79,10.08,5.91,0.0,0.95,27.07,20.41,13.2,12.38,0.94,0.0,0.959,2022-10-14,NYR,1,WPG,4,Won,0.0
"2022-10-17 - ANA 4, NYR 6",NYR,60.57,31.66,48.22,20.92,34.27,18.05,2.92,4.03,2.89,1.73,35.84,16.68,18.1,7.96,11.08,6.88,1.93,1.02,17.89,8.65,9.2,4.94,0.98,2.06,19.06,11.9,11.67,4.48,0.0,0.93,0.862,2022-10-17,ANA,4,NYR,6,Won,2.0
"2022-10-20 - SJ 3, NYR 2",NYR,40.23,46.0,32.58,30.2,19.24,19.54,1.87,1.01,1.88,1.83,21.77,25.23,7.54,12.77,4.79,7.32,0.0,0.0,14.23,12.52,3.84,5.12,0.96,1.06,23.01,24.23,9.69,6.26,0.95,0.0,1.045,2022-10-20,SJ,3,NYR,2,Lost,2.0
"2022-10-23 - CBJ 5, NYR 1",NYR,49.49,42.22,33.17,29.85,20.7,22.05,0.0,5.31,1.73,2.21,28.43,22.02,7.02,12.26,4.32,10.12,0.0,3.22,21.1,9.91,7.38,4.27,0.0,0.0,17.77,19.01,9.0,7.87,0.0,2.23,0.759,2022-10-23,CBJ,5,NYR,1,Lost,2.0
"2022-10-25 - COL 3, NYR 2",NYR,46.67,55.41,37.87,41.03,28.84,36.44,1.85,0.0,1.82,2.8,16.51,26.13,9.92,9.95,8.22,7.68,1.84,0.0,6.42,16.35,2.83,12.69,0.0,0.0,26.54,26.01,16.61,16.08,0.0,0.0,1.064,2022-10-25,COL,3,NYR,2,Lost,1.0
"2022-10-26 - NYR 0, NYI 3",NYR,53.66,45.02,44.22,32.63,31.59,23.48,0.0,2.92,3.57,2.2,29.57,23.88,15.51,7.84,12.38,4.94,0.0,0.99,14.02,16.29,6.04,7.04,0.0,1.92,22.73,18.49,12.18,11.5,0.0,0.0,0.876,2022-10-26,NYR,0,NYI,3,Won,0.0
"2022-10-29 - NYR 6, DAL 3",NYR,49.7,38.47,36.39,29.07,20.78,23.62,3.14,2.79,2.79,1.91,25.41,19.57,10.87,6.22,5.14,5.31,1.01,1.84,14.53,13.36,6.24,6.72,1.05,0.95,18.41,14.22,9.48,10.58,1.11,0.0,1.033,2022-10-29,NYR,6,DAL,3,Lost,2.0
"2022-10-30 - NYR 3, ARI 2",NYR,46.31,40.3,41.21,29.37,32.71,18.65,2.07,0.94,2.16,1.68,27.16,24.0,9.58,6.49,7.37,3.72,1.06,0.94,17.49,17.67,12.27,6.85,1.06,0.0,16.54,14.91,12.16,8.07,0.0,0.0,1.013,2022-10-30,NYR,3,ARI,2,Lost,0.0
"2022-11-01 - PHI 0, NYR 1",NYR,50.41,32.98,39.69,21.67,21.38,16.45,0.0,0.0,2.86,1.15,30.45,10.48,14.02,5.33,5.68,3.16,0.0,0.0,16.42,5.17,9.71,3.09,0.0,0.0,11.71,17.41,4.93,9.12,0.0,0.0,1.0,2022-11-01,PHI,0,NYR,1,Won,1.0
"2022-11-03 - BOS 5, NYR 2",NYR,34.81,56.69,25.76,40.59,16.63,29.82,1.85,4.25,1.49,3.03,21.13,35.58,7.22,16.34,5.44,10.84,0.0,2.12,13.78,19.48,4.68,7.51,1.92,1.04,9.26,20.04,3.68,11.5,0.0,1.05,0.969,2022-11-03,BOS,5,NYR,2,Lost,1.0
"2022-11-06 - DET 3, NYR 2",NYR,56.66,39.79,36.72,28.89,26.78,23.88,0.94,2.03,1.85,1.57,29.92,17.18,7.48,7.13,3.78,4.01,0.94,2.05,22.67,9.94,9.84,6.07,0.0,0.0,26.21,19.1,13.15,11.89,0.0,0.0,0.95,2022-11-06,DET,3,NYR,2,Lost,2.0
"2022-11-08 - NYI 4, NYR 3",NYR,43.68,38.1,35.52,24.75,28.69,18.89,0.92,2.07,2.79,1.25,25.15,16.25,11.45,8.4,6.65,5.21,0.0,1.06,13.72,7.75,7.82,0.97,0.96,1.02,16.07,21.17,12.31,12.47,0.0,0.0,0.923,2022-11-08,NYI,4,NYR,3,Lost,1.0
"2022-11-10 - NYR 8, DET 2",NYR,50.9,31.89,38.0,23.36,28.22,18.81,6.4,1.87,2.68,1.17,29.4,10.1,13.21,3.63,9.99,2.71,3.25,0.0,16.3,6.42,7.5,6.6,1.05,1.91,18.49,17.14,10.77,6.72,2.17,0.0,1.128,2022-11-10,NYR,8,DET,2,Lost,1.0
"2022-11-12 - NYR 1, NSH 2",NYR,41.06,29.24,29.12,21.7,21.32,13.39,1.01,1.93,1.63,1.22,21.92,17.0,7.01,5.94,4.94,4.98,1.04,1.93,14.71,11.2,5.04,3.99,0.0,0.0,16.88,9.59,10.25,4.31,0.0,0.0,0.903,2022-11-12,NYR,1,NSH,2,Won,1.0
"2022-11-13 - ARI 1, NYR 4",NYR,27.92,41.12,16.29,28.17,15.34,21.12,2.92,0.0,1.28,1.38,16.84,21.4,6.68,7.26,4.87,5.17,2.9,0.0,10.32,13.99,4.99,4.03,0.0,0.0,8.48,17.24,4.26,10.98,0.0,0.0,1.19,2022-11-13,ARI,1,NYR,4,Won,0.0
"2022-11-17 - NYR 2, SEA 3",NYR,39.88,51.2,29.13,43.26,19.99,26.62,0.0,1.89,1.88,3.19,17.45,28.97,7.33,15.08,4.15,10.47,0.0,0.0,10.05,13.87,3.06,5.91,0.0,0.95,19.59,18.72,12.55,10.04,0.0,0.95,0.929,2022-11-17,NYR,2,SEA,3,Won,3.0
"2022-11-19 - NYR 2, SJ 1",NYR,55.89,35.71,42.45,28.91,33.03,16.46,1.06,0.0,2.36,1.54,25.22,19.87,7.46,8.36,2.11,2.84,0.0,0.0,17.67,11.5,12.39,2.87,1.05,0.0,38.14,22.45,16.31,8.88,0.0,0.0,1.032,2022-11-19,NYR,2,SJ,1,Lost,1.0
"2022-11-22 - NYR 5, LA 3",NYR,48.05,52.77,28.67,39.13,21.75,35.27,3.08,1.87,1.52,2.56,20.91,28.79,7.36,8.54,5.08,7.67,1.01,0.94,13.51,20.32,5.09,13.64,0.0,0.96,21.44,18.66,11.34,12.69,1.99,0.0,1.089,2022-11-22,NYR,5,LA,3,Lost,2.0
"2022-11-23 - NYR 2, ANA 3",NYR,61.21,37.77,47.25,30.29,35.36,20.05,2.07,2.86,3.73,2.52,32.2,24.55,17.33,13.48,13.04,10.59,1.06,0.92,14.73,11.07,6.99,3.02,0.0,0.94,27.97,10.36,15.44,5.08,0.93,0.95,0.916,2022-11-23,NYR,2,ANA,3,Won,0.0
"2022-11-26 - EDM 4, NYR 3",NYR,29.97,51.79,22.36,43.07,19.28,23.86,2.92,3.03,1.47,2.79,10.95,25.51,5.95,9.95,4.01,4.94,1.91,0.0,4.98,15.34,1.93,5.89,0.0,0.0,15.64,23.18,11.38,11.76,1.06,2.81,1.024,2022-11-26,EDM,4,NYR,3,Lost,2.0
"2022-11-28 - NJ 5, NYR 3",NYR,40.94,46.91,33.77,38.55,26.44,29.1,1.93,4.16,1.83,2.03,23.19,20.05,8.29,7.69,5.66,6.55,0.99,3.15,14.75,12.29,6.64,6.12,0.95,0.0,21.37,28.97,13.13,14.34,0.0,0.93,0.93,2022-11-28,NJ,5,NYR,3,Lost,1.0
"2022-11-30 - NYR 3, OTT 1",NYR,59.8,45.06,44.8,33.73,32.58,25.64,3.21,0.95,2.69,2.41,29.78,21.72,14.45,11.54,9.92,7.06,3.22,0.0,15.68,10.0,7.58,5.67,0.0,1.03,21.87,17.16,11.85,11.85,0.0,0.0,1.061,2022-11-30,NYR,3,OTT,1,Lost,1.0
"2022-12-02 - OTT 3, NYR 2",NYR,47.3,38.69,31.01,31.35,20.01,22.39,1.89,0.0,2.12,2.0,23.42,26.2,8.79,12.1,3.97,8.92,0.94,0.0,14.77,13.96,5.85,5.04,0.95,0.0,20.32,8.41,10.31,5.54,0.0,0.0,1.094,2022-12-02,OTT,3,NYR,2,Lost,1.0
"2022-12-03 - CHI 5, NYR 2",NYR,45.9,36.53,33.44,19.19,19.45,15.73,0.0,1.06,1.95,0.96,26.37,14.56,8.58,4.48,5.24,2.24,0.0,1.06,17.53,10.28,6.35,4.39,0.0,0.0,16.39,18.36,6.1,8.09,0.0,0.0,0.933,2022-12-03,CHI,5,NYR,2,Lost,0.0
"2022-12-05 - STL 4, NYR 6",NYR,32.13,41.96,22.53,30.56,19.56,26.23,3.75,3.08,1.28,2.11,17.22,21.83,3.74,10.39,3.78,8.18,1.88,3.08,13.53,11.51,7.76,6.11,0.0,0.0,12.71,16.53,7.99,9.21,1.84,0.0,1.075,2022-12-05,STL,4,NYR,6,Won,1.0
"2022-12-07 - NYR 5, VGK 1",NYR,40.44,40.1,32.57,19.12,27.0,14.57,3.18,0.0,1.57,1.25,19.66,17.17,8.83,8.0,7.68,6.21,2.14,0.0,10.97,9.04,4.32,4.72,0.97,0.0,16.33,13.99,13.0,3.5,0.0,0.0,1.118,2022-12-07,NYR,5,VGK,1,Lost,1.0
"2022-12-09 - NYR 2, COL 1",NYR,47.64,57.52,35.52,42.73,28.34,34.14,1.01,0.94,1.35,2.4,9.44,21.94,5.33,7.48,4.22,5.68,0.0,0.0,4.14,14.54,2.06,7.8,0.0,0.95,33.92,28.48,21.67,18.83,0.94,0.0,1.008,2022-12-09,NYR,2,COL,1,Lost,1.0
"2022-12-12 - NJ 3, NYR 4",NYR,30.17,53.46,22.09,42.2,14.66,27.85,1.87,3.21,0.74,2.68,7.26,35.06,2.69,12.3,1.83,10.03,0.0,2.16,4.51,22.94,1.83,8.5,1.99,0.0,25.05,22.47,7.25,7.1,0.0,1.05,1.013,2022-12-12,NJ,3,NYR,4,Won,2.0
"2022-12-15 - TOR 1, NYR 3",NYR,28.91,47.56,18.86,34.81,12.89,18.68,0.94,1.01,0.88,2.31,6.71,31.76,2.87,12.47,2.9,6.07,0.94,1.01,3.86,19.13,0.97,5.04,0.0,0.0,21.3,15.59,8.16,6.68,0.0,0.0,1.019,2022-12-15,TOR,1,NYR,3,Won,2.0
