Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - NJ 2, PHI 5",PHI,28.54,61.01,23.09,40.45,17.08,28.94,2.86,1.0,1.24,2.16,12.73,31.93,3.71,10.98,3.74,6.88,0.92,0.0,9.16,20.68,8.06,7.0,1.89,1.0,20.23,43.4,4.0,11.09,0.0,0.0,1.133,2022-10-13,NJ,2,PHI,5,Won,
"2022-10-15 - VAN 2, PHI 3",PHI,31.04,43.1,25.69,32.21,19.51,24.7,0.94,2.13,1.68,2.4,13.7,16.24,6.29,9.98,4.57,8.91,0.94,0.0,7.29,6.23,3.8,2.1,0.0,1.04,14.27,23.53,8.82,13.71,0.0,1.05,0.962,2022-10-15,VAN,2,PHI,3,Won,1.0
"2022-10-18 - PHI 3, TB 2",PHI,41.65,59.16,27.92,45.92,21.02,32.9,2.07,0.0,2.07,3.36,24.52,40.94,10.32,17.33,7.17,11.75,1.04,0.0,14.08,23.79,5.09,8.76,1.05,0.0,18.57,25.51,8.79,11.36,0.0,0.0,1.099,2022-10-18,PHI,3,TB,2,Lost,2.0
"2022-10-19 - PHI 3, FLA 4",PHI,21.09,45.18,19.42,36.73,17.45,27.48,1.01,3.86,1.09,1.84,8.94,19.73,5.11,5.86,5.05,3.97,1.04,0.94,3.8,14.09,3.95,9.9,0.0,0.94,10.44,21.85,6.48,12.67,0.0,2.01,0.918,2022-10-19,PHI,3,FLA,4,Won,0.0
"2022-10-22 - PHI 3, NSH 1",PHI,46.85,51.17,34.89,38.06,26.8,24.06,3.18,0.0,1.98,2.09,20.14,24.78,7.86,11.46,5.6,6.17,1.08,0.0,12.56,12.97,6.52,5.51,2.02,0.0,23.08,25.17,13.8,12.14,0.0,0.0,1.119,2022-10-22,PHI,3,NSH,1,Lost,2.0
"2022-10-23 - SJ 3, PHI 0",PHI,44.19,52.56,32.06,35.4,22.88,22.55,0.0,2.13,1.35,1.74,10.03,23.7,3.54,6.51,3.55,4.35,0.0,0.0,6.47,17.26,1.83,10.51,0.0,1.04,43.38,28.99,15.49,6.62,0.0,1.05,0.905,2022-10-23,SJ,3,PHI,0,Lost,0.0
"2022-10-27 - FLA 3, PHI 4",PHI,30.2,68.53,26.47,50.89,19.66,32.71,2.86,2.11,1.44,2.88,11.71,30.24,5.82,9.45,2.98,3.16,0.99,0.0,5.91,20.71,4.91,11.36,0.95,2.1,16.31,34.73,10.77,16.09,0.89,0.0,1.081,2022-10-27,FLA,3,PHI,4,Won,3.0
"2022-10-29 - CAR 4, PHI 3",PHI,24.47,45.2,19.02,33.06,16.36,21.53,1.89,3.14,1.35,2.39,16.88,21.06,8.23,12.95,6.54,9.55,1.87,1.08,8.6,8.16,3.94,4.09,0.0,1.05,4.54,18.28,4.57,5.99,0.0,0.94,0.97,2022-10-29,CAR,4,PHI,3,Lost,1.0
"2022-11-01 - PHI 0, NYR 1",PHI,32.98,50.41,21.67,39.69,16.45,21.38,0.0,0.0,1.15,2.86,10.48,30.45,5.33,14.02,3.16,5.68,0.0,0.0,5.17,16.42,3.09,9.71,0.0,0.0,17.41,11.71,9.12,4.93,0.0,0.0,1.0,2022-11-01,PHI,0,NYR,1,Won,2.0
"2022-11-02 - PHI 2, TOR 5",PHI,28.09,63.27,23.32,43.96,17.45,30.66,1.06,2.92,1.08,2.57,12.06,33.02,2.98,12.8,2.94,7.04,0.0,1.98,8.97,20.5,5.04,8.9,1.05,0.0,12.34,28.25,8.38,13.72,0.0,0.95,0.965,2022-11-02,PHI,2,TOR,5,Won,0.0
"2022-11-05 - PHI 2, OTT 1",PHI,51.55,57.42,31.7,35.91,23.33,24.75,1.06,0.94,2.11,2.56,26.55,33.46,11.82,13.72,6.38,6.38,1.06,0.94,14.82,19.61,6.34,7.73,0.0,0.0,17.91,17.16,8.55,10.59,0.0,0.0,1.007,2022-11-05,PHI,2,OTT,1,Lost,2.0
"2022-11-08 - STL 1, PHI 5",PHI,54.93,50.31,46.55,34.31,33.35,20.57,3.91,1.0,1.85,2.33,19.5,25.08,6.62,7.23,3.86,2.01,1.91,0.0,13.03,17.51,9.92,8.94,1.94,1.0,23.84,22.92,13.49,6.66,0.0,0.0,1.069,2022-11-08,STL,1,PHI,5,Won,2.0
"2022-11-10 - PHI 2, CBJ 5",PHI,50.17,43.7,36.38,33.56,26.21,24.19,2.02,2.92,2.75,1.61,22.2,16.16,10.79,3.88,6.78,1.95,2.06,0.99,11.27,12.56,6.87,5.08,0.0,0.95,24.31,21.68,12.29,14.41,0.0,1.07,0.956,2022-11-10,PHI,2,CBJ,5,Won,1.0
"2022-11-12 - OTT 4, PHI 1",PHI,45.16,39.38,37.01,25.91,30.56,18.51,0.94,1.01,2.25,1.13,21.39,11.51,9.28,5.27,7.49,3.11,0.94,1.01,11.98,6.23,9.58,3.06,0.0,0.0,17.93,20.53,10.62,9.22,0.0,0.0,0.976,2022-11-12,OTT,4,PHI,1,Lost,1.0
"2022-11-13 - DAL 5, PHI 1",PHI,42.84,47.35,31.39,36.88,24.69,24.45,0.95,2.13,2.21,2.13,23.51,23.35,12.05,10.1,9.48,6.71,0.0,1.06,11.14,13.46,3.64,5.39,1.03,0.0,14.67,22.65,11.23,12.59,0.0,1.11,0.951,2022-11-13,DAL,5,PHI,1,Lost,0.0
"2022-11-15 - PHI 4, CBJ 5",PHI,64.81,50.32,43.95,33.75,29.88,27.88,3.04,2.88,1.8,2.6,18.02,28.38,9.16,9.47,6.02,8.64,1.01,1.93,8.81,19.14,6.01,9.84,2.05,0.95,43.02,18.22,14.79,8.27,0.0,0.0,0.999,2022-11-15,PHI,4,CBJ,5,Won,1.0
"2022-11-17 - PHI 1, BOS 4",PHI,38.99,48.64,31.45,33.19,20.67,22.24,0.0,1.93,1.67,1.88,20.23,25.73,11.22,11.66,6.2,5.9,0.0,1.93,9.03,14.19,4.06,5.03,0.0,0.0,15.45,19.05,7.24,9.11,0.0,0.0,0.913,2022-11-17,PHI,1,BOS,4,Won,1.0
"2022-11-19 - PHI 4, MTL 5",PHI,55.3,42.19,40.02,29.6,26.29,21.55,4.2,1.89,3.13,2.4,33.13,20.04,15.22,13.48,6.44,8.18,1.06,0.93,18.06,6.34,9.34,2.83,2.11,0.95,18.0,16.68,9.56,9.46,1.11,0.0,1.072,2022-11-19,PHI,4,MTL,5,Won,1.0
"2022-11-21 - CGY 5, PHI 2",PHI,29.43,52.74,18.15,37.54,15.59,26.37,1.9,3.21,0.97,2.99,10.78,22.12,6.2,8.93,4.47,7.79,0.93,1.06,4.46,13.42,1.83,6.48,1.03,1.04,12.53,23.52,6.42,11.13,0.0,1.11,1.0,2022-11-21,CGY,5,PHI,2,Lost,1.0
"2022-11-23 - PHI 2, WSH 3",PHI,44.83,44.59,30.73,29.34,19.92,18.02,2.11,0.92,1.67,1.84,17.17,22.33,6.55,9.14,4.33,3.67,1.06,0.92,10.68,13.1,3.13,6.67,0.0,0.0,22.26,20.24,11.41,7.71,1.05,0.0,1.055,2022-11-23,PHI,2,WSH,3,Won,1.0
"2022-11-25 - PIT 4, PHI 1",PHI,33.98,55.75,28.47,34.24,23.45,27.41,0.92,4.26,1.27,2.38,11.49,31.03,6.85,12.46,5.15,12.46,0.91,4.3,4.55,18.67,2.82,7.45,0.0,0.0,13.77,16.91,9.76,4.41,0.0,0.0,0.884,2022-11-25,PIT,4,PHI,1,Lost,1.0
"2022-11-26 - PHI 2, NYI 5",PHI,47.1,33.7,39.11,24.43,25.1,15.67,2.07,2.88,2.28,1.24,25.81,16.55,8.29,3.85,5.25,2.88,2.07,0.0,17.44,12.84,9.12,4.91,0.0,2.84,16.6,14.86,6.63,5.83,0.0,0.0,0.899,2022-11-26,PHI,2,NYI,5,Won,0.0
"2022-11-29 - NYI 1, PHI 3",PHI,45.47,35.68,32.58,21.5,26.47,15.69,0.94,0.0,1.95,1.2,17.87,15.09,7.79,5.08,5.86,2.05,0.94,0.0,10.18,9.88,3.96,2.06,0.0,0.0,22.01,17.1,15.88,8.4,0.0,0.0,1.036,2022-11-29,NYI,1,PHI,3,Won,2.0
"2022-12-01 - TB 4, PHI 1",PHI,31.4,55.95,23.66,40.3,16.12,25.3,0.92,3.21,0.78,2.94,10.96,32.6,0.93,16.59,0.0,12.16,0.0,2.15,10.07,16.12,6.53,4.25,0.96,0.0,18.73,28.83,7.89,6.81,0.0,0.0,0.93,2022-12-01,TB,4,PHI,1,Lost,1.0
"2022-12-03 - NJ 3, PHI 2",PHI,43.18,37.49,31.24,27.51,22.91,16.77,0.95,3.19,1.5,1.48,21.44,19.32,6.44,7.61,2.84,6.44,0.0,3.2,14.96,11.78,6.64,2.06,1.03,0.0,26.44,24.35,12.54,8.39,0.0,0.0,0.851,2022-12-03,NJ,3,PHI,2,Lost,1.0
"2022-12-05 - COL 3, PHI 5",PHI,38.8,50.9,30.01,33.26,25.8,23.48,1.87,1.0,1.33,2.29,13.18,22.31,3.99,9.28,3.02,8.11,0.94,0.0,9.35,12.95,6.05,3.92,0.0,1.0,18.93,20.43,12.82,9.55,0.89,0.0,1.03,2022-12-05,COL,3,PHI,5,Won,1.0
"2022-12-07 - WSH 4, PHI 1",PHI,40.39,40.36,33.68,26.83,20.22,19.67,0.0,1.06,1.56,2.02,16.06,22.91,5.56,11.71,4.67,7.44,0.0,1.06,10.51,11.2,3.84,6.12,0.0,0.0,22.28,12.54,10.76,3.13,0.0,0.0,0.946,2022-12-07,WSH,4,PHI,1,Lost,1.0
"2022-12-09 - PHI 1, VGK 2",PHI,54.38,57.67,40.61,37.12,27.38,30.38,1.01,0.94,2.24,1.72,25.63,19.08,9.4,5.67,6.26,4.79,0.0,0.94,16.09,13.52,6.12,7.77,0.0,0.0,22.17,26.62,10.88,13.9,0.94,0.0,1.006,2022-12-09,PHI,1,VGK,2,Won,1.0
"2022-12-11 - PHI 4, ARI 5",PHI,66.77,42.63,53.16,29.57,33.95,23.76,2.02,2.81,2.96,1.89,31.83,20.29,14.52,9.43,9.23,8.52,1.01,2.8,17.23,10.91,8.17,3.96,0.0,0.0,31.42,17.92,16.42,10.13,0.94,0.0,0.941,2022-12-11,PHI,4,ARI,5,Won,1.0
"2022-12-13 - PHI 2, COL 3",PHI,33.73,43.11,27.82,25.97,22.79,21.21,1.06,1.91,1.73,1.04,16.71,14.96,6.37,2.81,4.21,2.84,1.06,1.91,10.31,12.11,7.11,5.68,0.0,0.0,13.06,25.37,10.14,12.89,0.0,0.0,0.956,2022-12-13,PHI,2,COL,3,Won,1.0
"2022-12-15 - PHI 2, NJ 1",PHI,41.15,59.83,28.36,41.19,19.29,33.42,1.06,0.0,1.68,2.45,17.72,26.01,7.33,9.6,2.05,9.71,1.06,0.0,10.4,16.51,6.19,6.8,0.0,0.0,22.65,35.52,8.85,15.88,0.0,0.0,1.055,2022-12-15,PHI,2,NJ,1,Lost,1.0
"2022-12-17 - NYR 6, PHI 3",PHI,44.85,57.42,30.76,45.49,21.68,33.0,1.89,4.22,1.58,3.21,23.72,29.89,7.53,16.03,6.73,11.84,0.94,2.14,16.22,14.04,5.67,6.34,0.0,2.1,18.18,23.49,8.16,14.1,0.88,0.0,0.96,2022-12-17,NYR,6,PHI,3,Lost,1.0
"2022-12-20 - CBJ 3, PHI 5",PHI,63.67,51.3,48.92,42.05,37.61,31.21,2.86,3.08,2.59,3.17,33.85,29.24,13.8,13.4,10.99,10.15,1.93,1.01,20.19,15.65,8.83,7.01,0.96,2.08,24.75,20.94,16.74,12.07,0.0,0.0,0.977,2022-12-20,CBJ,3,PHI,5,Won,2.0
