Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - ARI 2, PIT 6",PIT,56.07,30.99,48.76,20.0,39.91,17.37,3.91,0.0,3.34,0.97,35.56,12.35,15.32,3.95,14.49,3.89,2.88,0.0,20.56,8.12,11.47,6.64,0.0,0.0,16.65,16.44,12.57,5.9,1.06,0.0,1.098,2022-10-13,ARI,2,PIT,6,Won,
"2022-10-15 - TB 2, PIT 6",PIT,54.94,41.74,45.31,30.05,33.33,24.22,2.9,1.0,3.78,1.47,33.5,20.94,17.2,4.06,10.69,4.01,1.91,1.02,16.41,16.58,7.97,8.94,0.98,0.0,29.16,22.94,13.62,10.11,0.0,0.0,1.045,2022-10-15,TB,2,PIT,6,Won,1.0
"2022-10-17 - PIT 2, MTL 3",PIT,48.11,49.07,34.57,35.4,24.74,26.13,2.13,0.95,2.44,1.99,28.53,24.58,9.99,4.44,6.66,1.74,1.08,0.93,18.78,20.01,7.42,12.17,0.0,0.0,16.2,20.88,9.57,10.49,1.05,0.0,1.05,2022-10-17,PIT,2,MTL,3,Won,1.0
"2022-10-20 - LA 1, PIT 6",PIT,48.57,48.0,33.63,33.88,28.11,23.72,3.91,0.0,2.1,1.77,24.13,21.27,7.14,6.9,7.24,4.86,2.93,0.0,17.44,14.04,10.54,7.82,0.0,0.0,21.24,27.76,7.91,9.12,0.95,0.0,1.139,2022-10-20,LA,1,PIT,6,Won,2.0
"2022-10-22 - PIT 6, CBJ 3",PIT,54.77,46.55,43.83,29.65,34.61,25.2,6.22,1.93,2.77,1.48,26.01,20.27,9.54,8.52,8.48,6.84,3.16,1.93,16.38,11.76,10.27,6.75,1.05,0.0,28.04,24.93,15.77,11.48,1.86,0.0,1.103,2022-10-22,PIT,6,CBJ,3,Lost,1.0
"2022-10-24 - PIT 3, EDM 6",PIT,39.94,63.25,31.91,55.13,24.65,38.0,2.13,4.79,1.82,3.41,13.47,25.87,5.35,15.25,3.22,12.49,1.06,4.76,8.06,10.45,7.05,3.81,1.04,0.0,21.57,34.18,12.24,19.75,0.0,0.0,0.961,2022-10-24,PIT,3,EDM,6,Won,1.0
"2022-10-25 - PIT 1, CGY 4",PIT,47.23,55.82,36.05,36.4,23.06,24.84,0.0,2.92,2.5,2.2,24.89,22.18,10.9,13.05,4.83,8.0,0.0,1.93,13.66,9.02,8.56,4.95,0.0,0.0,17.15,21.7,7.01,8.81,0.0,1.07,0.883,2022-10-25,PIT,1,CGY,4,Won,0.0
"2022-10-28 - PIT 1, VAN 5",PIT,44.89,33.45,31.43,28.8,25.75,22.76,0.0,1.93,1.61,2.23,13.88,18.81,4.06,8.88,4.01,8.04,0.0,1.93,9.59,10.0,4.01,6.91,0.0,0.0,29.28,11.9,16.05,5.61,0.0,0.0,0.915,2022-10-28,PIT,1,VAN,5,Won,2.0
"2022-10-29 - PIT 1, SEA 3",PIT,53.71,50.8,41.9,37.12,29.86,23.45,1.06,1.87,2.93,2.56,27.48,27.75,14.48,9.36,9.17,6.63,1.06,1.86,12.93,18.49,9.07,9.76,0.0,0.0,19.01,15.89,8.94,5.92,0.0,0.0,0.956,2022-10-29,PIT,1,SEA,3,Won,0.0
"2022-11-01 - BOS 6, PIT 5",PIT,61.91,42.35,43.31,33.03,30.14,27.26,3.84,3.08,3.6,2.28,26.45,26.0,16.46,9.17,11.72,7.11,2.85,3.1,9.91,16.5,1.97,8.9,0.0,0.0,29.95,17.18,14.63,11.28,1.07,0.0,1.014,2022-11-01,BOS,6,PIT,5,Lost,2.0
