Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - TOR 3, MTL 4",TOR,48.05,35.86,29.16,24.5,24.87,15.16,2.11,3.73,2.02,1.8,28.65,24.34,8.63,8.26,7.5,3.72,2.12,1.86,19.99,16.08,7.2,7.64,0.0,1.91,13.4,9.34,9.21,3.77,0.0,0.0,0.839,2022-10-12,TOR,3,MTL,4,Won,
"2022-10-13 - WSH 2, TOR 3",TOR,40.61,43.38,33.88,32.83,28.11,19.48,1.87,2.07,2.08,1.66,23.77,20.83,8.56,7.55,6.69,4.21,1.86,0.0,15.23,13.21,8.75,6.21,0.0,2.11,14.4,20.69,10.41,8.02,0.0,0.0,0.96,2022-10-13,WSH,2,TOR,3,Won,0.0
"2022-10-15 - OTT 2, TOR 3",TOR,55.81,44.92,40.98,34.03,27.15,26.35,1.87,1.01,2.65,2.56,30.27,26.79,12.62,17.28,7.27,12.76,1.86,1.01,17.42,9.75,6.58,4.24,0.0,0.0,24.62,17.14,12.3,8.46,0.0,0.0,1.03,2022-10-15,OTT,2,TOR,3,Won,1.0
"2022-10-17 - ARI 4, TOR 2",TOR,40.71,24.62,30.56,18.79,21.33,16.44,0.92,1.08,2.02,1.53,25.8,16.68,10.86,11.2,5.42,8.94,0.92,1.08,14.81,5.61,6.55,2.19,0.0,0.0,14.9,4.31,9.32,4.28,0.0,0.0,0.978,2022-10-17,ARI,4,TOR,2,Lost,1.0
"2022-10-20 - DAL 2, TOR 3",TOR,34.56,51.85,23.57,33.16,19.69,19.6,0.94,1.06,1.36,1.93,18.45,29.53,8.66,10.7,5.8,7.44,0.94,1.06,9.83,18.81,4.88,7.22,0.0,0.0,12.78,19.54,8.97,4.06,0.0,0.0,0.994,2022-10-20,DAL,2,TOR,3,Won,2.0
"2022-10-22 - TOR 4, WPG 1",TOR,58.62,39.17,41.36,31.16,25.14,25.03,1.06,0.94,2.66,1.88,28.87,19.09,13.03,8.1,6.38,7.28,0.0,0.94,15.88,10.83,7.36,3.68,0.0,0.0,25.37,18.3,9.26,12.98,1.05,0.0,1.004,2022-10-22,TOR,4,WPG,1,Lost,1.0
"2022-10-24 - TOR 1, VGK 3",TOR,45.46,54.6,24.6,37.59,17.62,27.54,1.01,1.93,2.41,3.84,26.17,30.62,11.09,18.52,7.0,11.79,1.01,0.94,14.88,12.1,5.04,5.99,0.0,0.94,18.13,22.22,5.72,9.62,0.0,0.0,0.987,2022-10-24,TOR,1,VGK,3,Won,1.0
"2022-10-27 - TOR 3, SJ 4",TOR,38.5,40.85,29.64,31.37,20.5,26.3,2.03,0.94,1.59,1.67,19.29,20.68,6.16,5.76,3.98,4.81,1.04,0.94,13.0,15.15,7.04,8.96,1.06,0.0,20.58,25.75,7.55,10.39,0.0,0.0,1.063,2022-10-27,TOR,3,SJ,4,Won,2.0
"2022-10-29 - TOR 2, LA 4",TOR,33.67,36.91,29.32,26.78,17.5,17.91,1.01,1.98,2.21,1.61,24.25,16.64,11.3,6.85,5.15,3.95,1.04,0.99,12.89,9.82,6.05,5.92,0.0,0.94,9.25,17.17,5.35,7.05,0.0,0.0,0.948,2022-10-29,TOR,2,LA,4,Won,1.0
"2022-10-30 - TOR 3, ANA 4",TOR,48.89,47.68,38.8,39.07,28.78,28.42,1.06,2.8,3.2,2.01,27.23,18.97,17.51,11.57,14.04,8.02,1.06,2.77,10.0,7.19,3.22,3.76,0.0,0.0,21.53,23.31,11.76,13.56,0.0,0.0,0.938,2022-10-30,TOR,3,ANA,4,Won,0.0
"2022-11-02 - PHI 2, TOR 5",TOR,63.27,28.09,43.96,23.32,30.66,17.45,2.92,1.06,2.57,1.08,33.02,12.06,12.8,2.98,7.04,2.94,1.98,0.0,20.5,8.97,8.9,5.04,0.0,1.05,28.25,12.34,13.72,8.38,0.95,0.0,1.035,2022-11-02,PHI,2,TOR,5,Won,2.0
"2022-11-05 - BOS 1, TOR 2",TOR,40.68,36.0,31.14,24.66,24.15,16.66,0.94,0.0,1.29,0.73,13.69,16.19,6.79,3.07,4.86,2.05,0.94,0.0,6.93,12.93,3.94,3.01,0.0,0.0,22.72,16.25,14.53,8.49,0.0,0.0,1.039,2022-11-05,BOS,1,TOR,2,Won,2.0
"2022-11-06 - TOR 3, CAR 1",TOR,38.15,57.96,30.99,45.8,20.0,25.9,3.14,0.0,1.98,2.7,20.73,29.07,9.49,11.59,4.27,7.82,2.14,0.0,11.22,17.53,6.11,7.76,1.06,0.0,16.77,26.45,8.58,9.24,0.0,0.0,1.157,2022-11-06,TOR,3,CAR,1,Lost,0.0
