Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-14 - ANA 1, VGK 4",ANA,38.26,50.88,29.04,36.08,17.43,26.65,1.0,0.99,1.82,2.52,19.1,26.95,8.01,10.69,2.92,7.9,1.02,0.99,11.04,16.54,5.07,3.02,0.0,0.0,25.67,27.11,9.26,13.79,0.0,0.0,1.021,2023-10-14,ANA,1,VGK,4,Won,
"2023-10-15 - CAR 3, ANA 6",ANA,41.1,58.83,31.69,38.31,21.16,20.82,2.92,1.0,2.35,1.67,20.57,21.14,8.99,5.91,8.07,0.97,0.0,0.0,11.75,14.81,6.2,6.73,1.92,1.0,20.92,36.24,5.61,12.71,1.06,0.0,1.09,2023-10-15,CAR,3,ANA,6,Won,0.0
"2023-10-19 - DAL 3, ANA 2",ANA,44.73,43.87,27.24,34.62,20.34,20.19,1.87,1.06,1.98,2.38,18.39,21.77,6.68,11.39,5.8,6.2,0.0,1.06,11.77,10.42,2.87,4.11,1.91,0.0,23.2,28.28,6.82,8.94,0.0,0.0,1.039,2023-10-19,DAL,3,ANA,2,Lost,3.0
"2023-10-21 - ANA 1, ARI 2",ANA,35.66,38.31,29.88,22.54,18.83,16.41,0.0,0.0,1.7,1.26,15.21,17.04,7.12,4.95,6.04,1.97,0.0,0.0,8.05,12.27,4.06,7.98,0.0,0.0,16.83,19.73,4.89,6.33,0.0,0.0,1.0,2023-10-21,ANA,1,ARI,2,Won,1.0
"2023-10-22 - BOS 3, ANA 1",ANA,46.37,28.86,38.52,22.7,23.26,12.27,0.94,2.07,2.54,1.37,19.81,14.63,11.17,5.26,5.68,5.21,0.94,2.07,8.52,9.31,4.86,2.06,0.0,0.0,28.4,13.31,11.75,5.07,0.0,0.0,0.872,2023-10-22,BOS,3,ANA,1,Lost,0.0
"2023-10-24 - ANA 3, CBJ 2",ANA,35.36,44.97,23.76,32.68,17.81,18.91,2.02,0.94,0.97,1.11,14.25,15.54,4.14,1.87,3.1,0.0,1.01,0.0,10.0,13.87,5.04,4.93,1.06,0.0,22.22,27.06,8.67,11.03,0.0,0.95,1.064,2023-10-24,ANA,3,CBJ,2,Lost,1.0
"2023-10-26 - ANA 4, BOS 3",ANA,37.23,38.78,28.71,28.43,21.66,21.34,1.06,0.99,0.99,1.61,14.16,18.87,3.13,6.03,2.11,5.08,0.0,0.99,10.84,13.0,4.99,7.84,0.0,0.0,24.42,18.61,14.29,7.29,1.05,0.0,1.002,2023-10-26,ANA,4,BOS,3,Lost,1.0
"2023-10-28 - ANA 7, PHI 4",ANA,40.18,45.75,29.41,32.9,21.39,22.7,4.27,2.75,1.95,2.0,19.28,21.8,6.86,9.43,6.87,6.85,3.26,0.91,12.63,12.04,6.58,5.47,1.05,1.92,18.44,31.8,3.4,8.33,0.0,0.0,1.078,2023-10-28,ANA,7,PHI,4,Lost,1.0
"2023-10-30 - ANA 4, PIT 3",ANA,43.87,55.74,31.1,40.39,23.59,21.19,2.02,0.94,1.68,3.13,21.32,32.23,11.96,16.72,6.38,11.35,2.02,0.94,9.42,15.4,4.11,3.84,0.0,0.0,19.35,32.68,9.87,5.74,0.0,0.0,1.041,2023-10-30,ANA,4,PIT,3,Lost,1.0
"2023-11-01 - ARI 3, ANA 4",ANA,26.98,52.16,21.16,39.78,18.27,28.47,0.92,3.08,0.94,2.51,11.3,24.79,4.57,7.32,2.72,6.18,0.0,3.1,6.71,17.33,3.87,7.09,0.96,0.0,19.62,34.88,11.75,14.37,0.0,0.0,0.942,2023-11-01,ARI,3,ANA,4,Won,1.0
"2023-11-05 - VGK 2, ANA 4",ANA,38.19,51.28,26.59,40.03,15.56,26.85,1.87,1.06,2.18,2.96,18.16,25.32,10.84,14.5,6.37,9.98,1.86,1.06,7.05,11.0,3.71,7.47,0.0,0.0,20.98,27.8,5.34,8.28,0.0,0.0,1.081,2023-11-05,VGK,2,ANA,4,Won,3.0
"2023-11-07 - PIT 2, ANA 0",ANA,34.88,58.12,25.42,41.3,22.88,32.52,0.0,1.06,1.43,2.92,13.48,22.98,5.35,11.07,4.49,9.96,0.0,0.0,7.94,12.13,4.64,4.24,0.0,1.05,27.09,35.9,12.76,17.53,0.0,0.0,0.968,2023-11-07,PIT,2,ANA,0,Lost,1.0
"2023-11-10 - PHI 6, ANA 3",ANA,36.02,52.51,24.39,40.44,16.88,31.28,0.92,5.28,1.4,2.37,18.31,24.59,6.9,12.31,5.26,11.16,0.91,5.35,11.12,12.49,5.49,3.31,0.0,0.0,19.88,26.38,3.49,13.61,0.0,0.0,0.886,2023-11-10,PHI,6,ANA,3,Lost,2.0
"2023-11-12 - SJ 1, ANA 4",ANA,54.98,34.48,41.74,28.38,30.09,20.1,1.93,1.01,2.73,1.79,26.37,17.84,15.02,9.94,13.19,5.93,0.94,1.01,11.36,7.91,4.96,3.06,0.0,0.0,34.1,17.09,8.57,10.76,1.07,0.0,1.014,2023-11-12,SJ,1,ANA,4,Won,1.0
