Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - WPG 3, CGY 5",CGY,30.19,56.77,17.96,35.41,13.01,22.51,1.89,3.03,0.69,3.28,9.67,34.64,4.74,16.42,3.85,11.15,0.94,1.01,4.94,18.1,1.97,4.01,0.0,2.12,25.74,25.78,5.2,6.55,0.95,0.0,1.01,2023-10-11,WPG,3,CGY,5,Won,
"2023-10-14 - CGY 2, PIT 5",CGY,63.86,32.16,43.1,29.02,27.07,21.06,1.0,3.84,2.18,1.81,35.78,17.7,11.47,6.81,4.11,3.93,1.02,0.0,24.03,11.03,9.29,7.92,0.0,3.83,36.99,15.21,13.32,8.18,0.0,0.0,0.855,2023-10-14,CGY,2,PIT,5,Won,2.0
"2023-10-16 - CGY 2, WSH 3",CGY,59.41,36.91,40.26,24.09,31.58,16.86,1.06,1.87,2.68,1.23,23.53,18.39,10.82,3.56,7.57,3.57,0.0,0.93,12.82,14.83,6.24,9.52,1.05,0.96,41.58,16.77,16.81,3.81,0.0,0.0,0.922,2023-10-16,CGY,2,WSH,3,Won,1.0
"2023-10-20 - CGY 1, CBJ 3",CGY,52.09,56.31,39.74,39.12,27.72,24.93,0.0,1.93,2.44,1.91,21.43,20.44,10.34,4.81,5.14,1.95,0.0,0.0,11.03,15.8,2.01,6.88,0.0,1.89,28.76,40.91,16.15,14.26,0.0,0.0,0.922,2023-10-20,CGY,1,CBJ,3,Won,3.0
"2023-10-22 - CGY 2, DET 6",CGY,42.22,36.8,34.94,26.71,23.96,22.4,2.01,5.88,2.31,1.39,17.12,16.42,10.79,4.95,6.74,3.04,1.02,0.94,6.3,11.75,1.91,7.22,0.0,3.9,30.23,24.43,12.96,10.21,0.94,1.07,0.821,2023-10-22,CGY,2,DET,6,Won,1.0
"2023-10-24 - NYR 3, CGY 1",CGY,47.5,27.1,32.6,18.84,19.08,12.06,0.94,0.0,2.38,0.99,20.41,13.47,12.1,4.01,6.47,2.97,0.94,0.0,8.13,9.49,2.87,3.2,0.0,0.0,21.81,13.01,6.67,3.69,0.0,0.0,1.049,2023-10-24,NYR,3,CGY,1,Lost,1.0
"2023-10-26 - STL 3, CGY 0",CGY,45.06,48.37,35.29,33.42,23.2,27.64,0.0,1.08,2.07,2.3,17.63,23.17,7.75,11.18,4.31,8.98,0.0,0.0,9.69,12.14,4.63,4.29,0.0,0.0,36.51,31.53,13.95,13.49,0.0,1.11,0.961,2023-10-26,STL,3,CGY,0,Lost,1.0
"2023-10-29 - CGY 2, EDM 5",CGY,35.58,51.59,24.81,39.6,14.27,29.08,0.0,3.91,1.15,3.56,13.8,30.35,2.99,19.77,2.96,13.93,0.0,1.93,10.54,10.54,3.95,7.12,0.0,0.0,26.82,21.94,6.3,6.48,0.0,2.12,0.866,2023-10-29,CGY,2,EDM,5,Won,2.0
"2023-11-01 - DAL 4, CGY 3",CGY,55.47,47.17,42.21,37.66,31.11,23.69,1.89,3.14,2.16,2.97,22.27,28.58,9.13,13.91,6.43,10.47,0.94,1.08,13.01,14.76,6.63,8.26,0.95,2.11,34.74,24.88,15.21,5.24,0.0,0.0,0.928,2023-11-01,DAL,4,CGY,3,Lost,2.0
"2023-11-04 - CGY 6, SEA 3",CGY,39.23,33.78,29.77,23.19,22.66,14.45,3.14,0.94,2.07,1.25,19.07,16.25,8.49,5.66,6.31,3.83,2.09,0.94,10.67,10.65,5.3,4.84,1.05,0.0,18.13,18.54,10.01,4.57,0.0,0.0,1.073,2023-11-04,CGY,6,SEA,3,Lost,2.0
"2023-11-07 - NSH 2, CGY 4",CGY,58.21,35.09,46.64,24.12,32.48,18.66,2.82,2.13,2.94,1.88,28.36,17.47,12.52,8.81,8.93,7.67,0.0,2.14,15.7,8.79,10.52,3.27,2.94,0.0,35.34,19.47,12.76,6.77,0.0,0.0,0.972,2023-11-07,NSH,2,CGY,4,Won,2.0
"2023-11-10 - CGY 4, TOR 5",CGY,45.66,71.31,31.82,52.46,20.01,29.4,4.04,1.93,1.73,2.81,18.86,33.44,8.13,13.58,5.0,6.84,3.06,1.91,10.51,19.99,7.78,5.99,1.0,0.0,26.37,37.15,7.33,13.53,0.0,0.0,1.136,2023-11-10,CGY,4,TOR,5,Won,2.0
"2023-11-11 - CGY 1, OTT 4",CGY,48.29,50.75,31.83,38.45,20.34,24.9,1.01,2.92,2.01,1.33,20.91,18.1,9.26,3.94,5.11,2.94,1.04,0.94,11.49,14.46,2.94,7.16,0.0,1.92,24.91,30.88,11.95,11.03,0.0,0.0,0.933,2023-11-11,CGY,1,OTT,4,Won,0.0
"2023-11-14 - CGY 2, MTL 1",CGY,49.49,53.14,40.02,36.54,27.25,23.72,2.11,0.92,2.17,2.19,20.09,22.5,7.56,7.32,2.17,5.56,1.06,0.0,12.5,15.2,7.24,7.73,1.05,0.0,33.44,25.81,12.34,8.44,0.0,0.89,1.039,2023-11-14,CGY,2,MTL,1,Lost,2.0
"2023-11-16 - VAN 2, CGY 5",CGY,70.01,43.66,50.35,28.86,35.35,17.98,2.85,1.0,2.55,1.26,29.51,19.62,9.77,5.27,6.89,2.06,0.94,1.02,19.95,14.21,11.04,8.13,0.98,0.0,42.03,23.59,14.58,5.88,0.89,0.0,1.025,2023-11-16,VAN,2,CGY,5,Won,1.0
"2023-11-18 - NYI 5, CGY 4",CGY,57.74,52.09,41.21,36.89,29.2,27.54,3.74,2.07,2.61,2.94,28.37,27.94,13.52,14.21,10.84,9.78,2.79,1.06,14.66,13.9,5.66,4.17,0.0,1.06,33.14,28.61,12.74,12.74,0.89,0.0,1.053,2023-11-18,NYI,5,CGY,4,Lost,1.0
"2023-11-20 - CGY 4, SEA 3",CGY,45.14,57.63,33.93,39.85,24.43,24.74,2.07,2.79,1.96,1.86,21.88,22.81,8.54,7.51,4.15,5.68,1.01,1.86,13.29,15.29,6.21,4.85,1.05,0.0,28.36,39.0,11.8,11.32,0.0,0.89,0.972,2023-11-20,CGY,4,SEA,3,Lost,1.0
"2023-11-22 - CGY 2, NSH 4",CGY,38.53,51.59,26.26,40.76,19.43,30.6,1.01,1.93,2.1,2.43,17.03,23.88,8.08,8.82,7.99,7.92,0.0,0.94,8.85,15.23,4.04,7.93,1.06,0.94,25.6,34.24,4.62,12.65,0.0,0.0,0.989,2023-11-22,CGY,2,NSH,4,Won,1.0
"2023-11-24 - CGY 7, DAL 4",CGY,45.43,36.81,31.22,30.04,21.09,20.21,6.18,2.83,1.99,2.29,21.61,22.88,10.19,9.48,5.14,4.84,4.16,0.0,11.43,13.4,6.16,8.56,2.08,0.95,23.06,11.69,8.61,6.77,0.0,1.89,1.153,2023-11-24,CGY,7,DAL,4,Lost,1.0
"2023-11-25 - CGY 1, COL 3",CGY,49.27,48.15,34.17,33.68,23.77,18.9,1.01,1.98,1.88,2.04,27.3,23.42,8.97,11.04,5.93,6.09,1.04,0.99,17.93,12.54,5.93,6.04,0.0,0.0,26.77,23.91,10.02,4.42,0.0,1.06,0.938,2023-11-25,CGY,1,COL,3,Won,0.0
"2023-11-27 - VGK 1, CGY 2",CGY,55.89,47.05,38.48,34.17,22.55,23.39,0.92,0.0,2.08,2.24,20.37,21.48,5.5,9.85,3.67,5.45,0.92,0.0,14.78,11.71,5.61,6.26,0.0,0.0,36.72,26.61,11.4,10.66,0.0,0.0,1.041,2023-11-27,VGK,1,CGY,2,Won,1.0
"2023-11-30 - DAL 3, CGY 4",CGY,53.06,51.39,35.57,26.7,27.22,15.36,2.79,2.07,2.11,2.04,21.37,22.04,8.21,10.62,6.44,7.31,0.94,2.07,13.07,11.46,5.73,3.13,0.96,0.0,25.98,29.41,14.01,3.96,0.89,0.0,0.968,2023-11-30,DAL,3,CGY,4,Won,2.0
"2023-12-02 - VAN 4, CGY 3",CGY,32.41,40.15,23.18,29.81,13.46,19.76,0.95,3.21,1.53,2.31,17.71,23.32,7.9,10.1,1.75,7.83,0.0,2.16,9.53,13.47,2.73,6.48,1.03,0.0,19.49,19.86,8.04,5.47,0.0,1.05,0.908,2023-12-02,VAN,4,CGY,3,Lost,1.0
"2023-12-05 - MIN 5, CGY 2",CGY,45.11,47.54,30.7,31.25,22.28,22.23,1.83,4.23,1.95,1.66,23.03,22.26,8.44,6.71,4.2,5.51,0.91,2.14,14.25,15.82,9.77,6.56,0.96,1.94,29.11,26.19,7.61,9.14,0.0,0.0,0.892,2023-12-05,MIN,5,CGY,2,Lost,2.0
"2023-12-07 - CAR 2, CGY 3",CGY,41.33,56.38,33.02,37.05,20.44,28.04,1.87,2.13,2.63,1.62,22.08,18.68,14.95,8.9,10.46,6.62,1.85,2.14,6.92,9.9,2.73,5.42,0.0,0.0,23.47,38.76,5.37,13.17,0.0,0.0,1.016,2023-12-07,CAR,2,CGY,3,Won,1.0
"2023-12-09 - NJ 4, CGY 2",CGY,49.91,50.24,33.84,36.2,21.81,26.44,0.95,3.14,1.79,1.98,19.45,19.38,8.19,8.63,4.59,5.34,0.0,2.14,11.19,10.91,3.8,3.17,0.0,0.0,29.51,30.86,11.47,16.98,0.88,0.94,0.925,2023-12-09,NJ,4,CGY,2,Lost,1.0
"2023-12-11 - CGY 5, COL 6",CGY,51.81,59.6,40.06,37.54,28.15,29.23,4.18,4.67,2.71,2.04,27.55,28.5,13.87,10.02,11.58,8.32,2.07,3.71,13.82,18.28,6.23,6.51,1.05,0.96,25.58,32.73,9.68,11.28,1.05,0.0,0.989,2023-12-11,CGY,5,COL,6,Won,1.0
"2023-12-12 - CGY 4, VGK 5",CGY,48.22,51.05,32.46,35.91,23.97,29.42,3.17,1.87,1.69,1.31,19.04,17.85,6.5,2.7,4.28,1.77,1.06,0.92,12.5,15.28,6.21,10.6,1.05,0.95,30.28,31.2,12.43,16.15,1.05,0.0,1.069,2023-12-12,CGY,4,VGK,5,Won,0.0
"2023-12-14 - CGY 2, MIN 3",CGY,47.49,53.43,37.95,33.21,27.97,24.08,0.0,1.87,1.87,2.01,17.45,27.17,6.33,9.48,4.15,5.8,0.0,0.92,11.03,17.84,8.15,7.85,0.0,0.95,37.13,25.91,15.41,10.5,0.0,0.0,0.922,2023-12-14,CGY,2,MIN,3,Won,1.0
"2023-12-16 - TB 2, CGY 4",CGY,51.98,43.97,33.07,31.46,25.82,22.93,3.91,1.0,1.95,1.59,24.26,14.76,6.86,7.04,6.0,2.96,0.0,1.02,17.77,7.66,7.21,3.01,0.98,0.0,24.86,37.87,11.46,16.38,3.07,0.0,1.107,2023-12-16,TB,2,CGY,4,Won,1.0
"2023-12-18 - FLA 1, CGY 3",CGY,31.08,50.02,25.9,30.99,18.91,21.99,0.94,0.0,1.3,2.05,15.49,23.69,6.73,5.2,4.86,3.1,0.0,0.0,8.81,18.27,3.89,5.09,0.95,0.0,24.58,27.69,10.31,11.53,0.0,0.0,1.05,2023-12-18,FLA,1,CGY,3,Won,1.0
"2023-12-21 - CGY 3, ANA 0",CGY,40.22,37.68,29.75,24.08,23.05,19.83,1.06,0.0,1.84,1.28,14.53,18.59,7.94,5.22,5.71,3.47,0.0,0.0,6.78,13.14,5.41,4.62,0.0,0.0,20.93,19.4,9.7,9.11,1.05,0.0,1.046,2023-12-21,CGY,3,ANA,0,Lost,2.0
"2023-12-23 - CGY 3, LA 5",CGY,32.78,59.63,18.63,35.86,11.73,24.5,1.01,3.82,0.77,3.12,12.23,30.82,2.07,13.66,2.05,9.84,0.0,1.88,10.0,17.38,0.0,5.04,0.0,0.94,24.36,27.93,9.34,9.47,0.94,0.95,0.93,2023-12-23,CGY,3,LA,5,Won,1.0
"2023-12-27 - SEA 2, CGY 1",CGY,50.72,45.45,36.81,28.47,27.54,19.98,0.0,2.11,2.01,2.18,19.59,24.45,8.26,11.82,5.5,6.44,0.0,1.06,11.25,12.75,3.84,4.2,0.0,1.05,36.89,24.31,17.23,9.39,0.0,0.0,0.894,2023-12-27,SEA,2,CGY,1,Lost,3.0
"2023-12-31 - PHI 3, CGY 4",CGY,46.75,43.91,32.67,28.37,23.65,18.99,1.87,1.06,2.25,1.69,22.88,21.32,7.11,8.72,7.15,5.51,0.92,0.0,15.63,12.66,6.58,2.1,0.95,1.05,29.78,21.78,8.97,9.15,0.0,0.0,1.023,2023-12-31,PHI,3,CGY,4,Won,3.0
"2024-01-02 - CGY 3, MIN 1",CGY,60.54,47.52,44.87,29.03,30.42,19.19,1.08,0.95,2.27,2.09,32.78,23.52,7.68,11.61,5.47,9.03,1.08,0.93,25.39,11.66,10.73,1.83,0.0,0.0,31.97,23.36,13.14,7.23,0.0,0.0,0.986,2024-01-02,CGY,3,MIN,1,Lost,1.0
"2024-01-04 - CGY 6, NSH 3",CGY,52.14,52.91,36.89,35.75,24.54,24.52,4.25,2.82,2.39,1.97,27.85,25.39,12.29,8.71,5.64,8.71,2.15,1.86,15.87,16.22,6.56,3.61,2.01,0.0,19.31,32.45,7.97,10.14,0.0,0.0,1.058,2024-01-04,CGY,6,NSH,3,Lost,1.0
"2024-01-06 - CGY 2, PHI 3",CGY,48.93,52.81,30.76,38.52,20.44,26.89,2.11,0.92,1.64,2.62,20.83,19.64,7.5,10.02,3.16,6.38,1.06,0.92,13.29,9.55,5.18,5.77,1.05,0.0,35.63,36.49,11.06,14.8,0.0,0.0,1.069,2024-01-06,CGY,2,PHI,3,Won,1.0
"2024-01-07 - CGY 3, CHI 4",CGY,47.5,37.7,29.89,22.83,20.16,18.2,2.03,2.81,1.7,1.32,15.23,13.98,11.19,2.7,8.12,1.83,1.01,0.0,4.11,11.26,0.0,7.65,0.0,1.91,37.33,24.44,12.01,7.72,0.93,0.95,0.946,2024-01-07,CGY,3,CHI,4,Won,0.0
"2024-01-09 - OTT 3, CGY 6",CGY,51.43,51.05,37.98,38.0,30.45,31.19,4.7,2.11,2.0,3.09,23.66,23.54,9.25,11.72,7.51,9.49,2.85,1.06,14.35,11.71,4.73,6.97,0.96,0.0,34.4,27.92,16.24,13.93,0.89,1.05,1.087,2024-01-09,OTT,3,CGY,6,Won,1.0
"2024-01-13 - CGY 3, VGK 1",CGY,54.86,56.67,39.38,39.86,24.76,22.81,2.13,0.92,1.59,1.94,21.4,30.52,5.69,6.01,3.38,2.68,2.15,0.0,15.99,24.01,6.6,10.02,0.0,0.96,36.62,31.08,13.81,7.56,0.0,0.0,1.046,2024-01-13,CGY,3,VGK,1,Lost,3.0
"2024-01-16 - ARI 2, CGY 3",CGY,27.95,49.19,19.59,32.97,14.1,17.99,1.87,2.13,1.12,2.04,13.83,22.55,4.5,11.87,4.53,6.44,1.85,1.08,9.29,10.88,4.77,2.14,0.0,0.0,17.06,27.59,4.76,7.36,0.0,1.05,1.014,2024-01-16,ARI,2,CGY,3,Won,2.0
"2024-01-18 - TOR 4, CGY 3",CGY,47.4,51.9,38.22,41.49,22.65,26.73,1.89,2.09,2.19,2.76,19.86,25.04,10.3,13.42,6.47,8.93,1.87,1.08,9.46,11.76,5.74,7.34,0.0,1.02,32.07,34.38,9.25,8.69,0.0,0.0,1.005,2024-01-18,TOR,4,CGY,3,Lost,1.0
"2024-01-20 - EDM 3, CGY 1",CGY,33.11,47.51,22.29,38.03,16.98,26.48,0.92,2.11,1.29,2.68,19.97,24.45,7.17,10.7,5.44,8.49,0.92,1.06,12.6,13.87,3.76,4.24,0.0,0.0,15.03,33.69,5.92,13.88,0.0,1.05,0.975,2024-01-20,EDM,3,CGY,1,Lost,1.0
"2024-01-23 - STL 4, CGY 3",CGY,56.06,44.42,39.53,29.85,30.45,21.98,2.88,3.08,2.36,2.0,22.66,29.6,9.8,7.13,8.89,3.04,0.0,0.0,12.96,22.18,4.93,12.19,0.0,2.12,37.35,22.54,12.7,6.86,2.95,1.05,0.954,2024-01-23,STL,4,CGY,3,Lost,2.0
"2024-01-25 - CBJ 5, CGY 2",CGY,42.8,45.75,31.77,27.97,20.93,21.34,1.85,2.11,1.47,1.1,16.73,13.04,3.64,6.5,1.83,4.33,0.92,1.06,13.1,6.68,7.68,3.17,0.96,0.0,31.92,33.6,11.48,12.78,0.0,1.05,0.989,2024-01-25,CBJ,5,CGY,2,Lost,1.0
"2024-01-27 - CHI 0, CGY 1",CGY,56.03,44.24,37.72,37.45,26.75,27.13,0.0,0.0,2.3,2.29,27.23,24.79,8.79,13.72,5.86,6.26,0.0,0.0,18.64,11.09,6.83,8.15,0.0,0.0,29.28,22.93,10.13,10.79,0.0,0.0,1.0,2024-01-27,CHI,0,CGY,1,Won,1.0
"2024-02-06 - CGY 4, BOS 1",CGY,55.45,33.42,36.75,22.75,23.14,13.35,1.08,0.0,1.84,0.91,22.31,13.93,6.69,5.23,4.43,3.49,0.0,0.0,15.87,8.45,7.54,2.69,1.04,0.0,23.78,22.67,8.92,7.12,0.0,0.0,1.047,2024-02-06,CGY,4,BOS,1,Lost,9.0
"2024-02-08 - CGY 5, NJ 3",CGY,52.09,49.75,36.13,39.84,30.63,31.76,4.22,1.89,2.95,2.63,24.68,24.92,11.07,11.85,8.79,8.24,3.22,0.93,13.64,12.89,7.26,9.4,0.0,0.95,33.59,29.73,13.52,12.96,0.94,0.0,1.078,2024-02-08,CGY,5,NJ,3,Lost,1.0
"2024-02-10 - CGY 5, NYI 2",CGY,55.18,47.38,36.78,33.46,20.96,21.29,2.11,0.92,1.6,1.56,17.97,18.54,3.37,7.82,2.25,5.2,1.07,0.0,14.84,10.5,2.22,2.83,0.0,0.0,33.21,34.36,13.14,12.01,1.05,0.88,1.057,2024-02-10,CGY,5,NYI,2,Lost,1.0
"2024-02-12 - CGY 0, NYR 2",CGY,44.71,57.08,30.92,36.75,19.81,23.89,0.0,0.94,1.91,2.51,25.57,28.18,9.4,12.4,2.05,7.69,0.0,0.94,16.03,15.86,7.1,5.88,0.0,0.0,20.61,33.46,9.59,9.24,0.0,0.0,0.961,2024-02-12,CGY,0,NYR,2,Won,1.0
"2024-02-15 - SJ 6, CGY 3",CGY,51.66,55.17,36.38,37.43,22.63,28.77,2.81,5.28,2.3,1.78,23.68,22.92,12.59,5.55,8.05,4.56,1.85,1.06,10.98,17.41,4.73,10.66,0.0,4.11,34.21,32.53,9.82,12.44,0.88,0.0,0.941,2024-02-15,SJ,6,CGY,3,Lost,2.0
"2024-02-17 - DET 5, CGY 0",CGY,57.34,41.52,36.24,22.14,23.16,14.52,0.0,3.24,2.37,1.02,26.54,16.75,6.8,3.42,1.63,2.24,0.0,1.09,19.54,13.43,8.26,5.55,0.0,2.08,33.68,28.29,13.25,6.63,0.0,0.0,0.777,2024-02-17,DET,5,CGY,0,Lost,1.0
"2024-02-19 - WPG 3, CGY 6",CGY,58.78,42.04,42.72,31.69,28.43,23.18,3.83,1.06,2.26,1.69,28.72,15.93,11.25,7.59,8.45,6.48,2.86,1.06,17.54,8.39,4.84,2.03,0.95,0.0,28.73,28.04,13.11,12.55,0.0,0.0,1.089,2024-02-19,WPG,3,CGY,6,Won,1.0
"2024-02-22 - BOS 2, CGY 3",CGY,53.85,46.14,42.63,33.82,24.87,23.79,1.89,2.02,2.69,2.5,26.28,20.39,12.53,11.28,6.87,8.12,0.94,1.01,13.81,9.08,5.91,5.07,0.0,0.0,27.86,34.9,10.94,10.61,0.95,0.94,0.991,2024-02-22,BOS,2,CGY,3,Won,2.0
"2024-02-24 - CGY 6, EDM 3",CGY,39.94,53.94,30.24,32.8,24.7,25.06,4.26,1.87,1.65,2.18,17.96,30.06,7.9,13.55,5.67,8.42,3.21,1.84,10.26,16.1,6.5,7.23,1.04,0.0,19.52,22.75,10.39,8.37,0.0,0.0,1.098,2024-02-24,CGY,6,EDM,3,Lost,1.0
"2024-02-27 - LA 2, CGY 4",CGY,62.99,35.43,43.13,24.3,31.54,20.34,2.81,2.07,2.08,2.4,16.28,17.53,6.49,10.45,4.67,8.29,1.86,1.01,9.83,7.12,4.91,3.06,0.0,0.0,46.05,18.21,19.28,9.12,0.95,1.05,0.987,2024-02-27,LA,2,CGY,4,Won,2.0
"2024-03-02 - PIT 3, CGY 4",CGY,44.26,48.89,27.19,37.77,14.66,25.67,2.82,2.13,1.95,2.3,19.73,22.72,5.34,7.57,1.75,5.41,1.85,0.0,14.12,15.32,7.46,5.32,0.95,1.04,19.15,27.32,5.5,12.84,0.0,1.05,1.109,2024-03-02,PIT,3,CGY,4,Won,3.0
"2024-03-04 - SEA 4, CGY 2",CGY,47.35,51.89,31.56,31.74,20.97,27.18,0.95,3.19,1.92,3.01,19.57,27.47,6.17,11.08,3.53,8.81,0.0,2.12,13.09,16.68,6.45,6.46,0.0,1.04,26.33,24.21,9.15,12.04,0.88,0.0,0.928,2024-03-04,SEA,4,CGY,2,Lost,1.0
