Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - STL 1, DAL 2",DAL,55.42,39.72,39.75,24.57,26.24,17.35,0.94,1.01,2.26,1.93,21.94,20.81,10.28,8.46,6.62,5.21,0.94,1.01,11.65,12.3,3.89,5.12,0.0,0.0,35.23,16.12,15.78,7.1,0.0,0.0,0.978,2023-10-12,STL,1,DAL,2,Won,
"2023-10-17 - DAL 2, VGK 3",DAL,52.45,38.77,32.93,26.5,22.04,20.09,2.11,1.85,2.19,1.26,25.79,13.88,11.93,4.62,6.44,3.72,1.06,0.92,14.03,9.15,4.16,1.94,0.0,0.0,34.37,28.52,11.5,12.47,1.05,0.89,1.004,2023-10-17,DAL,2,VGK,3,Won,4.0
"2023-10-19 - DAL 3, ANA 2",DAL,43.87,44.73,34.62,27.24,20.19,20.34,1.06,1.87,2.38,1.98,21.77,18.39,11.39,6.68,6.2,5.8,1.06,0.0,10.42,11.77,4.11,2.87,0.0,1.91,28.28,23.2,8.94,6.82,0.0,0.0,0.961,2023-10-19,DAL,3,ANA,2,Lost,1.0
"2023-10-21 - PHI 4, DAL 5",DAL,49.51,57.85,34.55,44.99,23.43,31.06,3.86,1.01,2.02,2.03,24.64,16.93,7.85,7.05,3.97,5.0,0.99,1.04,16.99,9.77,10.87,6.02,2.84,0.0,27.33,45.84,8.52,17.7,0.0,0.0,1.132,2023-10-21,PHI,4,DAL,5,Won,1.0
"2023-10-24 - DAL 4, PIT 1",DAL,58.25,53.43,45.02,38.72,30.91,26.51,4.19,0.94,2.85,2.28,26.18,28.43,10.17,11.86,5.55,8.25,3.14,0.94,16.05,16.36,6.26,6.62,1.04,0.0,41.97,28.24,18.26,10.58,0.0,0.0,1.1,2023-10-24,DAL,4,PIT,1,Lost,2.0
"2023-10-30 - CBJ 3, DAL 5",DAL,52.61,47.59,39.38,33.32,21.96,18.9,3.8,2.02,3.34,1.67,31.42,18.44,16.71,9.35,10.17,6.03,2.8,2.03,14.66,9.08,3.96,2.03,0.94,0.0,27.43,33.16,7.45,10.76,0.0,0.0,1.066,2023-10-30,CBJ,3,DAL,5,Won,5.0
"2023-11-01 - DAL 4, CGY 3",DAL,47.17,55.47,37.66,42.21,23.69,31.11,3.14,1.89,2.97,2.16,28.58,22.27,13.91,9.13,10.47,6.43,1.08,0.94,14.76,13.01,8.26,6.63,2.11,0.95,24.88,34.74,5.24,15.21,0.0,0.0,1.072,2023-11-01,DAL,4,CGY,3,Lost,1.0
"2023-11-02 - DAL 4, EDM 3",DAL,40.59,62.35,28.28,44.88,25.91,32.43,3.16,2.79,2.13,3.08,23.11,31.45,8.86,10.65,6.58,7.1,1.07,0.93,14.4,20.51,9.68,10.17,2.1,1.92,22.82,36.33,8.47,13.28,0.0,0.0,1.036,2023-11-02,DAL,4,EDM,3,Lost,0.0
"2023-11-04 - DAL 0, VAN 2",DAL,27.76,35.92,23.2,27.56,13.42,15.29,0.0,1.93,1.07,1.04,13.9,13.71,5.17,2.8,2.03,1.89,0.0,0.94,8.54,11.12,4.87,5.02,0.0,0.0,15.23,27.16,6.51,7.38,0.0,1.06,0.874,2023-11-04,DAL,0,VAN,2,Won,1.0
"2023-11-06 - BOS 3, DAL 2",DAL,50.75,42.12,39.19,24.19,25.99,19.65,0.95,2.13,1.96,1.5,20.3,19.98,10.52,6.71,8.8,3.32,0.93,0.0,9.51,13.49,5.51,4.29,0.0,2.09,36.69,27.24,11.46,11.0,0.0,0.0,0.928,2023-11-06,BOS,3,DAL,2,Lost,1.0
