Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - EDM 1, VAN 8",EDM,36.61,35.76,28.01,27.63,17.88,20.22,0.0,4.91,2.09,2.35,19.49,17.48,9.13,8.05,5.95,6.12,0.0,3.86,10.16,9.55,2.91,4.05,0.0,0.94,22.02,20.88,7.76,9.04,0.0,0.0,0.757,2023-10-11,EDM,1,VAN,8,Won,
"2023-10-14 - VAN 4, EDM 3",EDM,54.35,22.76,34.74,15.55,21.71,13.5,0.94,3.17,3.13,1.28,27.87,10.43,15.68,4.26,8.4,4.22,0.94,3.18,11.88,6.17,4.68,5.16,0.0,0.0,27.66,13.47,8.53,2.12,0.0,0.0,0.809,2023-10-14,VAN,4,EDM,3,Lost,2.0
"2023-10-17 - EDM 6, NSH 1",EDM,47.37,43.52,37.47,36.87,25.03,31.07,4.29,0.0,2.04,2.07,25.09,23.93,6.83,7.45,2.3,6.57,2.17,0.0,18.52,16.22,11.08,11.78,2.01,0.0,21.97,25.87,10.35,10.97,0.0,0.0,1.171,2023-10-17,EDM,6,NSH,1,Lost,2.0
"2023-10-19 - EDM 1, PHI 4",EDM,43.64,36.72,26.46,34.21,17.55,28.24,1.01,2.92,1.51,2.07,21.16,21.25,11.23,11.06,8.03,9.19,1.04,2.9,9.95,10.24,1.0,9.09,0.0,0.0,22.83,16.51,8.5,7.57,0.0,0.0,0.955,2023-10-19,EDM,1,PHI,4,Won,1.0
"2023-10-21 - WPG 3, EDM 2",EDM,50.55,30.39,42.14,20.7,32.18,13.72,0.94,0.0,2.51,1.24,18.7,9.06,9.83,3.13,9.0,3.1,0.0,0.0,8.86,5.81,1.94,2.95,0.95,0.0,38.72,25.44,17.27,7.6,0.0,0.0,1.029,2023-10-21,WPG,3,EDM,2,Lost,1.0
"2023-10-24 - EDM 4, MIN 7",EDM,47.79,37.08,33.59,28.53,24.0,20.95,3.17,4.7,2.19,2.38,22.36,23.27,10.96,10.14,7.62,7.4,1.06,4.69,11.43,12.98,3.09,7.61,1.05,0.0,34.01,15.85,13.29,5.92,1.05,0.0,0.908,2023-10-24,EDM,4,MIN,7,Won,2.0
"2023-10-26 - NYR 3, EDM 0",EDM,53.57,53.82,38.37,42.56,23.71,29.22,0.0,2.13,3.07,2.5,27.48,26.22,12.31,8.92,8.62,5.41,0.0,0.0,14.9,17.46,4.47,11.69,0.0,2.01,35.17,29.66,10.39,12.18,0.0,0.0,0.927,2023-10-26,NYR,3,EDM,0,Lost,1.0
"2023-10-29 - CGY 2, EDM 5",EDM,51.59,35.58,39.6,24.81,29.08,14.27,3.91,0.0,3.56,1.15,30.35,13.8,19.77,2.99,13.93,2.96,1.93,0.0,10.54,10.54,7.12,3.95,0.0,0.0,21.94,26.82,6.48,6.3,2.12,0.0,1.134,2023-10-29,CGY,2,EDM,5,Won,2.0
"2023-11-02 - DAL 4, EDM 3",EDM,62.35,40.59,44.88,28.28,32.43,25.91,2.79,3.16,3.08,2.13,31.45,23.11,10.65,8.86,7.1,6.58,0.93,1.07,20.51,14.4,10.17,9.68,1.92,2.1,36.33,22.82,13.28,8.47,0.0,0.0,0.964,2023-11-02,DAL,4,EDM,3,Lost,3.0
"2023-11-04 - NSH 5, EDM 2",EDM,45.26,47.38,35.33,39.33,25.44,31.48,0.0,4.19,2.34,2.78,20.62,21.94,7.88,7.77,4.29,7.76,0.0,3.14,12.54,14.25,5.63,7.58,0.0,1.04,23.88,35.13,15.47,16.11,0.0,0.0,0.867,2023-11-04,NSH,5,EDM,2,Lost,1.0
"2023-11-06 - EDM 2, VAN 6",EDM,62.2,46.13,44.44,34.82,33.64,26.19,1.01,2.86,3.07,2.39,32.49,24.62,12.48,10.11,9.29,7.15,0.0,0.99,19.81,14.76,9.1,7.08,1.02,0.95,37.13,19.58,15.03,7.55,0.0,0.89,0.921,2023-11-06,EDM,2,VAN,6,Won,1.0
"2023-11-09 - EDM 2, SJ 3",EDM,61.43,40.91,37.43,28.01,27.67,17.1,1.01,2.88,2.61,1.52,30.24,19.72,14.39,5.76,8.1,5.84,0.0,1.88,15.7,14.14,5.07,4.93,1.06,0.94,35.89,30.06,14.35,6.19,0.0,0.0,0.868,2023-11-09,EDM,2,SJ,3,Won,2.0
"2023-11-11 - EDM 4, SEA 1",EDM,44.99,25.47,34.04,16.45,23.74,10.34,3.19,0.0,1.95,0.95,18.32,7.87,10.28,3.51,5.69,1.76,3.22,0.0,8.21,4.27,5.6,0.88,0.0,0.0,30.18,21.47,10.29,7.47,0.0,0.0,1.134,2023-11-11,EDM,4,SEA,1,Lost,1.0
