Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - FLA 0, MIN 2",FLA,55.44,28.4,35.05,16.47,27.37,11.3,0.0,0.94,2.05,0.59,26.96,14.12,11.21,1.95,8.11,0.0,0.0,0.0,15.54,12.48,8.04,2.02,0.0,0.0,34.93,17.17,10.2,7.47,0.0,0.95,0.916,2023-10-12,FLA,0,MIN,2,Won,
"2023-10-14 - FLA 4, WPG 6",FLA,27.88,43.0,21.66,34.54,14.79,27.5,1.06,2.86,1.83,2.28,9.13,19.81,6.19,8.59,5.13,6.64,1.06,1.86,2.96,11.34,3.0,8.07,0.0,0.94,20.95,30.12,6.59,12.8,0.0,0.0,0.968,2023-10-14,FLA,4,WPG,6,Won,1.0
"2023-10-16 - FLA 4, NJ 3",FLA,44.08,40.58,33.55,26.65,26.76,18.32,3.18,0.92,1.82,1.43,21.28,22.46,7.92,6.06,5.62,4.37,3.21,0.91,13.59,16.04,5.48,7.2,0.0,0.0,23.53,16.7,13.57,5.81,0.0,0.0,1.069,2023-10-16,FLA,4,NJ,3,Lost,1.0
"2023-10-19 - TOR 1, FLA 3",FLA,39.11,43.78,24.51,24.55,14.31,18.7,1.93,0.0,0.98,1.74,16.76,21.23,3.93,8.17,0.0,6.04,0.0,0.0,13.02,12.98,3.96,3.03,0.0,0.0,29.01,26.86,10.61,9.57,2.01,0.0,1.135,2023-10-19,TOR,1,FLA,3,Won,2.0
"2023-10-21 - VAN 5, FLA 3",FLA,54.64,42.84,41.1,28.84,30.22,20.07,2.8,2.13,2.06,2.21,19.81,22.7,10.7,8.77,8.91,7.61,2.77,0.0,8.88,14.02,4.63,4.23,0.0,1.04,33.88,22.13,15.5,7.23,0.0,1.05,0.986,2023-10-21,VAN,5,FLA,3,Lost,1.0
"2023-10-24 - SJ 1, FLA 3",FLA,48.78,39.56,31.18,31.82,22.48,22.89,0.92,0.0,1.96,2.15,25.68,14.2,14.9,7.27,12.24,4.15,0.92,0.0,10.63,6.89,2.94,4.04,0.0,0.0,20.77,25.47,7.08,13.56,0.0,0.0,1.041,2023-10-24,SJ,1,FLA,3,Won,2.0
"2023-10-28 - SEA 2, FLA 3",FLA,60.88,55.61,47.52,46.15,33.49,30.14,1.87,2.13,2.51,2.84,23.49,24.68,9.97,13.09,5.5,9.72,1.86,2.14,13.47,11.74,6.79,6.27,0.0,0.0,44.8,35.98,19.29,13.17,0.0,0.0,0.985,2023-10-28,SEA,2,FLA,3,Won,3.0
"2023-10-30 - FLA 2, BOS 3",FLA,59.85,40.62,40.03,25.62,26.73,18.44,2.13,1.87,2.02,1.66,28.27,18.82,8.91,9.76,5.53,7.12,1.08,1.85,19.46,8.83,10.46,4.68,1.05,0.0,32.57,21.87,10.8,5.6,0.0,0.0,0.978,2023-10-30,FLA,2,BOS,3,Won,1.0
"2023-11-04 - FLA 2, CHI 5",FLA,56.5,38.57,38.86,31.77,29.09,23.33,1.0,1.98,2.57,2.05,31.88,20.42,15.46,8.97,10.46,6.15,1.02,0.0,16.16,11.59,7.51,7.16,0.0,1.0,26.06,19.73,10.16,9.18,0.0,1.07,0.95,2023-11-04,FLA,2,CHI,5,Won,4.0
"2023-11-06 - CBJ 4, FLA 5",FLA,82.15,53.25,52.67,30.39,38.81,18.52,2.92,3.08,2.39,2.08,20.89,27.4,7.81,9.14,4.02,6.03,0.96,2.08,13.17,18.06,4.0,1.98,0.0,1.02,68.57,21.2,31.62,7.55,2.01,0.0,0.909,2023-11-06,CBJ,4,FLA,5,Won,1.0
