Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - FLA 0, MIN 2",MIN,28.4,55.44,16.47,35.05,11.3,27.37,0.94,0.0,0.59,2.05,14.12,26.96,1.95,11.21,0.0,8.11,0.0,0.0,12.48,15.54,2.02,8.04,0.0,0.0,17.17,34.93,7.47,10.2,0.95,0.0,1.084,2023-10-12,FLA,0,MIN,2,Won,
"2023-10-14 - MIN 4, TOR 7",MIN,56.36,44.14,41.61,36.28,28.99,27.99,4.08,4.88,3.12,2.84,26.97,21.03,12.26,11.76,9.08,9.91,3.12,1.95,14.56,9.28,6.84,6.07,0.0,1.96,34.85,25.76,10.25,11.06,0.94,1.06,0.966,2023-10-14,MIN,4,TOR,7,Won,1.0
"2023-10-17 - MIN 5, MTL 2",MIN,42.03,24.34,23.58,21.42,16.95,13.71,0.0,1.83,1.31,1.26,22.19,11.28,5.62,3.5,2.32,1.81,0.0,0.0,16.76,7.64,5.53,2.64,0.0,1.92,18.53,13.92,8.1,9.03,0.0,0.0,0.866,2023-10-17,MIN,5,MTL,2,Lost,2.0
"2023-10-19 - LA 7, MIN 3",MIN,39.34,51.2,33.75,35.45,24.93,26.31,2.78,5.25,1.68,2.02,17.68,24.1,4.41,5.57,3.55,3.25,0.94,2.08,12.97,18.7,8.15,9.62,1.92,3.14,28.2,33.62,12.3,11.33,0.0,0.0,0.912,2023-10-19,LA,7,MIN,3,Lost,1.0
"2023-10-21 - CBJ 5, MIN 4",MIN,52.3,76.01,29.3,51.64,19.86,37.6,3.74,3.14,1.45,3.83,19.64,33.85,3.64,17.05,1.83,12.58,0.0,2.07,16.05,16.94,7.6,6.27,2.87,0.0,28.65,51.77,9.55,17.85,0.88,1.11,1.105,2023-10-21,CBJ,5,MIN,4,Lost,1.0
"2023-10-24 - EDM 4, MIN 7",MIN,37.08,47.79,28.53,33.59,20.95,24.0,4.7,3.17,2.38,2.19,23.27,22.36,10.14,10.96,7.4,7.62,4.69,1.06,12.98,11.43,7.61,3.09,0.0,1.05,15.85,34.01,5.92,13.29,0.0,1.05,1.092,2023-10-24,EDM,4,MIN,7,Won,2.0
"2023-10-26 - MIN 2, PHI 6",MIN,54.63,53.71,38.51,37.5,25.12,29.99,2.02,3.91,2.18,2.29,22.24,21.5,10.75,10.96,5.75,7.07,2.06,1.95,11.43,10.68,1.94,2.12,0.0,1.0,33.64,28.43,13.02,20.06,0.0,0.95,0.95,2023-10-26,MIN,2,PHI,6,Won,1.0
"2023-10-27 - MIN 2, WSH 3",MIN,34.72,43.43,26.1,28.54,21.09,23.57,2.07,0.0,1.77,1.2,19.5,18.22,7.21,3.69,6.14,3.72,1.01,0.0,12.18,14.64,7.17,7.81,1.05,0.0,12.87,29.3,4.89,12.11,0.0,0.0,1.098,2023-10-27,MIN,2,WSH,3,Won,0.0
"2023-10-29 - MIN 3, NJ 4",MIN,35.59,51.2,25.21,36.65,18.35,26.66,2.03,1.89,1.59,1.89,16.04,19.84,6.1,6.85,4.07,4.1,2.05,0.0,9.83,13.16,3.95,5.94,0.0,0.95,21.72,32.93,10.11,15.86,0.0,0.95,1.04,2023-10-29,MIN,3,NJ,4,Won,1.0
"2023-11-02 - NJ 5, MIN 3",MIN,38.83,55.24,28.92,44.48,17.67,32.03,1.9,2.13,1.57,2.46,15.74,20.0,6.89,12.42,4.32,9.05,0.93,1.08,8.65,7.73,2.73,4.23,0.0,1.05,20.93,40.65,10.4,17.99,0.88,0.0,1.041,2023-11-02,NJ,5,MIN,3,Lost,3.0
"2023-11-04 - NYR 4, MIN 5",MIN,61.34,41.6,38.84,27.17,22.77,19.41,3.74,4.19,2.42,1.58,28.86,17.55,11.59,7.62,9.81,4.28,3.7,2.07,17.12,10.1,2.82,2.13,0.0,0.97,29.52,27.21,7.98,12.22,0.0,1.11,0.948,2023-11-04,NYR,4,MIN,5,Won,1.0
