Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-14 - BUF 2, NYI 3",NYI,50.47,47.24,34.6,33.11,26.51,25.21,2.88,2.03,1.93,1.8,23.67,22.19,8.61,6.13,5.74,5.0,1.93,2.05,15.22,15.86,7.95,7.05,0.95,0.0,32.7,25.48,11.89,12.04,0.0,0.0,1.028,2023-10-14,BUF,2,NYI,3,Won,
"2023-10-17 - ARI 0, NYI 1",NYI,53.99,35.36,42.33,25.7,27.25,12.8,0.0,0.0,2.08,1.49,19.56,17.35,9.6,4.14,8.76,2.05,0.0,0.0,10.0,13.04,3.96,2.03,0.0,0.0,41.62,17.18,13.54,8.49,0.0,0.0,1.0,2023-10-17,ARI,0,NYI,1,Won,2.0
"2023-10-20 - NJ 5, NYI 4",NYI,33.02,63.29,27.83,37.69,22.55,29.18,2.79,0.0,1.77,2.08,16.33,28.33,8.88,10.8,7.15,9.6,0.0,0.0,7.28,17.49,3.83,3.09,1.91,0.0,18.44,37.35,8.53,14.45,0.89,0.0,1.124,2023-10-20,NJ,5,NYI,4,Lost,2.0
"2023-10-21 - NYI 1, BUF 3",NYI,35.2,67.35,25.89,46.4,18.52,33.34,1.0,2.92,1.96,3.43,17.65,38.67,11.06,17.47,6.06,12.79,0.0,0.96,6.63,21.3,1.03,11.07,0.0,0.94,17.02,31.88,10.15,9.05,0.94,0.95,0.967,2023-10-21,NYI,1,BUF,3,Won,0.0
"2023-10-24 - COL 7, NYI 4",NYI,37.45,54.19,29.54,36.93,20.08,27.19,2.79,4.18,1.32,1.83,15.71,30.04,7.29,10.75,3.55,6.32,0.92,1.06,8.3,19.45,3.76,8.33,1.91,3.16,27.01,27.46,11.22,11.5,0.0,0.0,0.985,2023-10-24,COL,7,NYI,4,Lost,2.0
"2023-10-26 - OTT 2, NYI 3",NYI,55.29,48.91,36.04,35.99,30.94,27.22,1.93,1.01,2.41,1.83,30.02,25.87,10.79,7.01,8.89,4.94,0.99,0.0,19.47,18.43,10.97,9.96,0.95,0.0,25.56,24.82,9.8,9.54,0.0,0.94,1.025,2023-10-26,OTT,2,NYI,3,Won,1.0
"2023-10-28 - NYI 2, CBJ 0",NYI,62.87,47.2,50.65,34.8,28.85,24.08,2.13,0.0,3.13,2.33,29.38,26.35,11.02,7.27,7.68,6.38,2.14,0.0,18.59,18.77,8.4,7.47,0.0,0.0,32.32,19.02,12.87,9.2,0.0,0.0,1.074,2023-10-28,NYI,2,CBJ,0,Lost,1.0
"2023-10-30 - DET 4, NYI 3",NYI,59.58,63.42,48.7,44.63,31.2,30.45,0.99,3.08,3.84,3.1,31.5,35.21,16.08,13.57,9.59,6.24,0.99,2.09,15.34,21.53,6.76,10.22,0.0,0.0,38.5,32.67,14.85,12.94,0.0,0.94,0.93,2023-10-30,DET,4,NYI,3,Lost,1.0
"2023-11-02 - NYI 3, WSH 0",NYI,42.03,55.42,34.47,41.2,22.95,21.44,3.18,0.0,2.57,3.35,20.66,33.66,11.72,14.63,8.22,7.8,1.08,0.0,9.19,18.57,2.22,3.54,0.97,0.0,25.85,22.49,11.68,8.99,1.05,0.0,1.139,2023-11-02,NYI,3,WSH,0,Lost,2.0
"2023-11-04 - CAR 4, NYI 3",NYI,33.11,83.82,26.7,60.91,20.61,37.69,0.99,2.02,1.65,3.5,17.97,23.83,8.8,13.19,7.97,9.04,0.96,0.0,9.24,10.55,4.05,4.01,0.0,0.0,18.6,66.43,6.36,22.85,0.0,1.87,0.994,2023-11-04,CAR,4,NYI,3,Lost,1.0
