Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - OTT 3, CAR 5",OTT,36.68,58.84,30.43,47.1,18.89,32.91,2.07,2.88,1.92,2.57,19.13,27.49,7.42,9.29,3.28,7.4,1.06,0.99,11.82,18.24,7.35,8.79,1.06,0.0,18.8,33.85,7.07,16.71,0.0,1.89,1.022,2023-10-11,OTT,3,CAR,5,Won,
"2023-10-14 - PHI 2, OTT 5",OTT,37.74,32.87,27.94,20.85,21.67,13.06,1.93,1.01,1.92,1.22,16.03,18.64,5.92,6.94,3.97,3.91,0.0,0.0,10.26,11.59,7.02,4.92,1.89,1.02,24.61,16.62,8.61,4.29,0.0,0.0,1.012,2023-10-14,PHI,2,OTT,5,Won,2.0
"2023-10-15 - TB 2, OTT 5",OTT,52.46,39.67,36.25,26.55,31.32,18.51,3.82,2.02,1.85,1.34,22.36,18.06,6.79,6.2,6.87,4.03,2.87,2.02,15.74,11.65,7.87,6.96,0.95,0.0,32.19,26.12,12.73,6.77,0.0,0.0,1.013,2023-10-15,TB,2,OTT,5,Won,0.0
"2023-10-18 - WSH 1, OTT 6",OTT,50.74,37.02,32.85,25.64,23.49,18.04,4.91,1.01,1.57,2.12,14.29,17.41,4.04,8.96,1.99,6.9,1.92,1.04,10.43,8.28,7.26,1.88,1.94,0.0,37.48,20.52,14.64,8.25,1.07,0.0,1.153,2023-10-18,WSH,1,OTT,6,Won,2.0
"2023-10-21 - DET 5, OTT 2",OTT,42.72,31.46,33.97,21.98,20.98,13.29,0.92,2.14,1.96,1.93,20.6,15.31,8.78,9.14,6.15,6.98,0.91,1.09,11.62,6.21,5.56,1.03,0.0,0.0,25.77,12.98,8.2,4.42,0.0,1.05,0.883,2023-10-21,DET,5,OTT,2,Lost,2.0
"2023-10-24 - BUF 6, OTT 4",OTT,42.8,43.72,33.46,31.64,25.07,23.69,2.79,4.26,2.48,2.41,21.5,20.32,10.99,9.09,9.2,6.98,0.93,1.09,10.26,11.44,5.49,5.39,0.96,3.06,29.78,28.06,10.02,10.44,0.88,0.0,0.931,2023-10-24,BUF,6,OTT,4,Lost,2.0
"2023-10-26 - OTT 2, NYI 3",OTT,48.91,55.29,35.99,36.04,27.22,30.94,1.01,1.93,1.83,2.41,25.87,30.02,7.01,10.79,4.94,8.89,0.0,0.99,18.43,19.47,9.96,10.97,0.0,0.95,24.82,25.56,9.54,9.8,0.94,0.0,0.975,2023-10-26,OTT,2,NYI,3,Won,1.0
"2023-10-28 - OTT 5, PIT 2",OTT,44.79,59.27,34.15,40.56,25.0,33.0,4.26,1.83,2.54,3.3,23.91,28.7,11.54,11.11,8.13,8.53,2.16,0.91,12.64,17.13,6.63,9.0,2.01,0.0,21.77,29.24,9.2,13.43,0.0,0.88,1.115,2023-10-28,OTT,5,PIT,2,Lost,1.0
"2023-11-02 - LA 3, OTT 2",OTT,31.67,67.71,22.45,47.83,16.33,33.15,0.95,2.13,0.98,3.21,15.0,30.24,5.21,14.69,5.21,7.85,0.93,1.07,9.58,15.87,2.76,6.46,0.0,1.04,16.98,38.22,6.5,15.65,0.0,0.0,0.994,2023-11-02,LA,3,OTT,2,Lost,4.0
"2023-11-04 - TB 6, OTT 4",OTT,35.82,61.55,27.96,43.93,19.16,37.26,2.78,5.24,1.61,3.78,16.0,37.92,7.04,16.4,5.23,15.2,1.85,4.23,8.82,21.71,4.65,10.54,0.96,1.05,20.78,32.39,8.15,8.43,0.0,0.0,1.004,2023-11-04,TB,6,OTT,4,Lost,1.0
"2023-11-08 - OTT 6, TOR 3",OTT,48.17,53.91,36.49,39.98,24.84,26.25,5.25,1.85,2.77,2.47,29.58,28.6,14.03,12.54,7.51,8.18,3.21,1.84,15.54,16.0,8.27,4.77,1.05,0.0,17.75,26.96,6.08,11.22,0.94,0.0,1.141,2023-11-08,OTT,6,TOR,3,Lost,3.0
