Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - SEA 1, VGK 4",SEA,47.64,46.53,31.34,32.93,21.91,25.51,1.0,2.92,2.55,2.39,30.34,22.54,10.99,13.05,7.92,10.16,1.02,1.93,18.94,9.57,5.89,5.07,0.0,0.98,20.44,26.44,7.18,10.29,0.0,0.0,0.931,2023-10-10,SEA,1,VGK,4,Won,
"2023-10-12 - SEA 0, NSH 3",SEA,41.34,52.78,29.92,36.06,18.93,24.06,0.0,0.0,1.6,1.65,13.19,16.66,5.2,6.81,3.1,6.89,0.0,0.0,7.88,9.94,4.03,4.88,0.0,0.0,27.72,29.62,9.82,11.27,0.0,0.0,1.0,2023-10-12,SEA,0,NSH,3,Won,1.0
"2023-10-14 - SEA 1, STL 2",SEA,56.14,40.79,37.49,31.41,26.92,21.06,0.0,0.92,1.83,1.62,27.49,17.68,9.64,5.45,6.32,2.78,0.0,0.0,17.84,12.22,8.32,7.6,0.0,0.96,33.88,27.16,12.25,10.85,0.0,0.0,0.956,2023-10-14,SEA,1,STL,2,Won,1.0
"2023-10-17 - COL 4, SEA 1",SEA,46.88,50.83,33.87,35.17,24.71,24.52,0.94,2.09,1.54,1.83,18.57,21.4,4.46,9.79,3.59,6.52,0.0,1.01,14.1,11.69,8.71,5.3,0.0,1.04,33.07,32.59,11.49,10.59,0.95,0.0,0.953,2023-10-17,COL,4,SEA,1,Lost,2.0
"2023-10-19 - CAR 4, SEA 7",SEA,51.73,62.04,34.3,43.35,31.25,30.96,2.92,3.03,2.09,2.63,21.24,21.85,6.91,10.2,5.98,6.04,1.91,2.05,14.61,11.49,8.14,5.95,0.94,1.0,33.91,35.1,14.22,17.68,0.0,0.0,0.995,2023-10-19,CAR,4,SEA,7,Won,1.0
"2023-10-21 - NYR 4, SEA 1",SEA,38.29,47.22,26.77,38.7,17.32,24.65,0.94,4.19,1.12,2.24,8.33,17.51,1.76,5.67,0.82,3.3,0.0,3.21,6.6,11.89,5.67,6.37,0.0,1.06,29.32,36.22,9.9,15.01,0.95,0.0,0.884,2023-10-21,NYR,4,SEA,1,Lost,1.0
"2023-10-24 - SEA 5, DET 4",SEA,66.8,37.32,48.41,26.07,31.85,17.52,2.13,0.94,2.97,1.83,31.36,19.05,11.77,6.61,7.44,3.85,0.0,0.94,19.53,12.47,9.27,4.91,1.04,0.0,34.75,19.06,13.13,7.66,1.05,0.0,1.013,2023-10-24,SEA,5,DET,4,Lost,2.0
"2023-10-26 - SEA 2, CAR 3",SEA,39.01,70.93,28.01,55.45,23.62,38.54,2.13,1.87,1.74,2.67,18.64,19.67,5.59,9.68,4.45,7.06,1.08,1.85,13.2,9.8,8.51,1.86,1.05,0.0,18.17,67.98,8.37,28.55,0.0,0.0,1.042,2023-10-26,SEA,2,CAR,3,Won,1.0
"2023-10-28 - SEA 2, FLA 3",SEA,55.61,60.88,46.15,47.52,30.14,33.49,2.13,1.87,2.84,2.51,24.68,23.49,13.09,9.97,9.72,5.5,2.14,1.86,11.74,13.47,6.27,6.79,0.0,0.0,35.98,44.8,13.17,19.29,0.0,0.0,1.015,2023-10-28,SEA,2,FLA,3,Won,1.0
"2023-10-30 - SEA 4, TB 3",SEA,70.85,53.82,57.35,38.5,35.44,25.74,2.13,1.87,3.57,1.82,32.72,20.1,14.33,9.83,8.69,5.32,1.06,0.93,18.68,10.17,8.53,4.73,1.04,0.0,35.94,32.86,15.26,11.88,0.0,0.89,0.987,2023-10-30,SEA,4,TB,3,Lost,1.0
"2023-11-02 - NSH 2, SEA 4",SEA,44.99,36.71,28.48,27.22,26.44,15.53,2.88,0.0,1.75,1.61,24.66,19.09,4.94,10.22,3.99,3.04,0.94,0.0,19.95,8.79,10.83,4.04,0.0,0.0,25.07,19.86,9.66,7.33,2.01,0.0,1.109,2023-11-02,NSH,2,SEA,4,Won,2.0
"2023-11-04 - CGY 6, SEA 3",SEA,33.78,39.23,23.19,29.77,14.45,22.66,0.94,3.14,1.25,2.07,16.25,19.07,5.66,8.49,3.83,6.31,0.94,2.09,10.65,10.67,4.84,5.3,0.0,1.05,18.54,18.13,4.57,10.01,0.0,0.0,0.927,2023-11-04,CGY,6,SEA,3,Lost,1.0
"2023-11-07 - SEA 3, ARI 4",SEA,58.12,32.64,44.51,25.93,28.98,14.39,2.07,0.92,2.62,1.63,27.43,15.17,10.65,5.61,7.38,1.89,1.06,0.0,16.83,9.57,5.23,4.81,0.0,0.96,37.02,19.27,15.29,6.82,0.94,0.0,1.007,2023-11-07,SEA,3,ARI,4,Won,2.0
"2023-11-09 - SEA 4, COL 3",SEA,40.54,46.88,31.77,29.56,15.74,22.33,3.19,2.83,1.62,1.18,17.17,19.27,7.61,7.18,5.39,4.53,2.14,1.85,9.65,12.02,5.23,5.63,0.0,1.03,23.45,31.46,5.16,12.16,1.05,0.0,1.076,2023-11-09,SEA,4,COL,3,Lost,1.0
"2023-11-11 - EDM 4, SEA 1",SEA,25.47,44.99,16.45,34.04,10.34,23.74,0.0,3.19,0.95,1.95,7.87,18.32,3.51,10.28,1.76,5.69,0.0,3.22,4.27,8.21,0.88,5.6,0.0,0.0,21.47,30.18,7.47,10.29,0.0,0.0,0.866,2023-11-11,EDM,4,SEA,1,Lost,1.0
"2023-11-13 - COL 5, SEA 1",SEA,42.23,48.91,30.21,31.4,15.66,18.62,0.94,3.14,1.51,2.15,15.96,21.96,5.86,10.64,3.91,4.23,0.94,2.08,10.03,11.31,4.8,4.15,0.0,1.04,26.45,29.49,4.04,9.31,0.0,0.0,0.892,2023-11-13,COL,5,SEA,1,Lost,1.0
"2023-11-15 - SEA 3, EDM 4",SEA,53.98,39.57,42.46,28.33,29.43,18.08,3.14,1.89,3.5,1.86,32.13,16.58,15.24,9.12,10.79,5.52,3.15,1.87,16.97,7.32,8.4,3.77,0.0,0.0,26.27,30.88,10.27,8.83,0.0,0.0,1.002,2023-11-15,SEA,3,EDM,4,Won,1.0
"2023-11-16 - NYI 3, SEA 4",SEA,48.21,41.7,38.65,26.23,24.35,14.21,0.0,1.01,1.48,1.12,18.74,16.62,6.56,7.32,2.96,4.21,0.0,1.01,12.13,9.28,6.63,2.06,0.0,0.0,32.76,21.9,13.01,6.83,0.0,0.0,0.929,2023-11-16,NYI,3,SEA,4,Won,0.0
"2023-11-18 - SEA 4, VAN 3",SEA,38.18,41.66,30.36,27.83,22.3,20.31,3.12,2.82,2.0,1.43,23.88,24.02,10.66,4.68,7.39,2.78,2.12,0.94,13.16,19.48,8.19,8.75,1.06,1.03,17.63,19.17,5.81,8.69,0.0,0.89,1.001,2023-11-18,SEA,4,VAN,3,Lost,1.0
"2023-11-20 - CGY 4, SEA 3",SEA,57.63,45.14,39.85,33.93,24.74,24.43,2.79,2.07,1.86,1.96,22.81,21.88,7.51,8.54,5.68,4.15,1.86,1.01,15.29,13.29,4.85,6.21,0.0,1.05,39.0,28.36,11.32,11.8,0.89,0.0,1.028,2023-11-20,CGY,4,SEA,3,Lost,1.0
"2023-11-22 - SJ 1, SEA 7",SEA,55.84,25.46,33.24,16.73,24.4,13.1,5.91,1.0,2.12,0.63,29.11,9.71,11.0,1.97,9.09,0.99,3.87,0.0,18.53,7.55,6.24,4.85,1.0,0.0,31.24,16.86,7.92,6.06,1.06,0.94,1.165,2023-11-22,SJ,1,SEA,7,Won,1.0
"2023-11-24 - VAN 5, SEA 1",SEA,43.74,50.16,27.56,36.54,17.0,22.0,0.95,4.28,1.55,2.08,16.86,26.46,3.53,10.18,2.66,7.81,0.0,3.26,13.08,16.51,7.35,8.58,1.03,0.97,30.95,33.65,7.0,4.59,0.0,0.0,0.861,2023-11-24,VAN,5,SEA,1,Lost,1.0
