Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - VGK 4, SJ 1",SJ,35.91,59.59,26.0,38.1,18.22,30.36,0.92,4.24,1.62,2.35,14.08,32.08,7.8,8.97,3.52,7.84,0.0,0.0,6.12,23.29,2.69,10.74,0.96,3.06,22.62,28.13,11.02,10.5,0.0,1.05,0.911,2023-10-12,VGK,4,SJ,1,Lost,
"2023-10-14 - COL 2, SJ 1",SJ,37.43,76.12,27.67,54.78,15.33,35.06,0.94,0.0,1.7,3.44,21.94,31.02,5.8,17.11,3.85,9.91,0.94,0.0,16.38,13.79,6.98,6.04,0.0,0.0,18.02,55.2,3.23,16.98,0.0,0.0,1.062,2023-10-14,COL,2,SJ,1,Lost,1.0
"2023-10-17 - CAR 6, SJ 3",SJ,19.31,52.64,12.52,30.73,9.51,23.35,0.94,2.13,0.72,1.74,8.61,26.7,2.75,9.98,1.76,7.71,0.0,1.08,5.91,16.66,2.94,6.21,0.95,0.0,8.0,25.04,3.95,8.34,0.0,1.12,1.008,2023-10-17,CAR,6,SJ,3,Lost,2.0
"2023-10-19 - BOS 3, SJ 1",SJ,43.49,54.49,30.7,45.0,19.08,31.56,0.92,3.18,0.9,4.43,16.95,28.98,3.38,20.27,1.68,13.56,0.0,1.08,13.55,9.01,5.67,5.35,0.96,0.97,29.51,29.5,10.79,12.8,0.0,1.05,0.947,2023-10-19,BOS,3,SJ,1,Lost,1.0
"2023-10-21 - SJ 1, NSH 5",SJ,42.72,43.63,28.34,34.87,23.62,25.2,1.0,2.97,1.67,2.25,20.4,23.36,6.8,10.1,6.7,5.2,1.02,1.97,13.38,13.35,4.03,8.09,0.0,0.98,27.18,23.45,11.72,9.73,0.0,0.0,0.925,2023-10-21,SJ,1,NSH,5,Won,1.0
"2023-10-24 - SJ 1, FLA 3",SJ,39.56,48.78,31.82,31.18,22.89,22.48,0.0,0.92,2.15,1.96,14.2,25.68,7.27,14.9,4.15,12.24,0.0,0.92,6.89,10.63,4.04,2.94,0.0,0.0,25.47,20.77,13.56,7.08,0.0,0.0,0.959,2023-10-24,SJ,1,FLA,3,Won,2.0
"2023-10-26 - SJ 0, TB 6",SJ,27.59,62.75,21.86,42.08,16.49,28.96,0.0,4.92,1.47,2.49,10.42,39.73,3.89,17.29,2.88,11.27,0.0,4.86,6.36,22.79,4.8,9.36,0.0,0.0,19.2,20.96,7.61,6.89,0.0,0.0,0.83,2023-10-26,SJ,0,TB,6,Won,1.0
"2023-10-27 - SJ 0, CAR 3",SJ,35.04,67.61,23.73,47.6,15.13,27.71,0.0,1.97,2.06,2.61,18.72,30.88,9.13,5.98,4.95,2.98,0.0,0.0,9.44,25.61,4.01,8.22,0.0,0.98,22.32,41.14,5.18,15.87,0.0,1.06,0.929,2023-10-27,SJ,0,CAR,3,Won,0.0
"2023-10-29 - SJ 1, WSH 3",SJ,59.26,57.85,39.16,40.25,29.53,33.08,1.06,1.87,2.74,2.75,20.43,27.04,8.73,10.16,6.56,10.25,1.06,0.94,11.8,16.72,5.23,7.65,0.0,0.0,36.76,41.57,15.59,14.01,0.0,0.89,0.979,2023-10-29,SJ,1,WSH,3,Won,1.0
"2023-11-02 - VAN 10, SJ 1",SJ,42.02,59.15,31.07,37.14,21.07,28.9,0.0,6.46,2.18,2.22,16.31,27.89,10.03,10.55,6.65,9.43,0.0,4.37,6.09,17.6,0.9,6.72,0.0,1.04,33.73,28.56,12.89,12.97,0.0,1.12,0.776,2023-11-02,VAN,10,SJ,1,Lost,3.0
