Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - NSH 3, TB 5",TB,43.09,36.88,34.45,23.4,22.39,18.39,0.94,2.07,1.42,2.63,17.87,19.67,4.86,9.54,3.97,7.49,0.0,2.07,13.19,10.05,2.99,5.09,0.0,0.0,33.19,16.6,15.7,5.9,0.95,0.0,0.93,2023-10-10,NSH,3,TB,5,Won,
"2023-10-14 - TB 4, DET 6",TB,54.01,60.41,34.54,49.78,20.86,39.55,3.08,4.74,1.69,3.66,20.16,31.82,5.06,10.75,3.04,8.84,0.0,1.88,14.88,21.31,7.07,13.94,3.17,0.94,32.25,31.7,7.84,16.51,0.0,1.84,1.028,2023-10-14,TB,4,DET,6,Won,3.0
"2023-10-15 - TB 2, OTT 5",TB,39.67,52.46,26.55,36.25,18.51,31.32,2.02,3.82,1.34,1.85,18.06,22.36,6.2,6.79,4.03,6.87,2.02,2.87,11.65,15.74,6.96,7.87,0.0,0.95,26.12,32.19,6.77,12.73,0.0,0.0,0.987,2023-10-15,TB,2,OTT,5,Won,0.0
"2023-10-17 - TB 2, BUF 3",TB,39.05,43.09,29.0,35.21,17.49,24.86,1.01,1.93,1.31,1.72,15.86,19.23,1.99,7.94,0.97,5.06,1.04,0.0,13.57,11.51,6.01,7.07,0.0,1.89,27.45,24.24,10.32,10.61,0.0,0.0,0.98,2023-10-17,TB,2,BUF,3,Won,1.0
"2023-10-19 - VAN 3, TB 4",TB,40.21,46.69,28.38,27.61,24.42,22.63,1.87,2.07,2.28,1.59,21.25,19.14,9.29,7.12,7.46,6.07,0.0,1.01,12.04,11.83,5.04,7.04,0.0,1.05,19.89,35.7,10.68,7.58,1.84,0.0,0.985,2023-10-19,VAN,3,TB,4,Won,1.0
"2023-10-21 - TOR 4, TB 3",TB,55.08,62.06,37.78,49.89,27.28,39.21,0.94,3.08,2.68,3.49,30.42,31.74,15.95,15.21,11.04,10.06,0.94,0.0,14.53,16.37,4.05,12.95,0.0,2.08,24.81,41.45,12.25,15.12,0.0,1.05,0.956,2023-10-21,TOR,4,TB,3,Lost,1.0
"2023-10-24 - CAR 0, TB 3",TB,32.92,50.08,25.35,34.33,17.29,23.36,1.97,0.0,1.29,2.24,16.98,20.37,8.83,12.5,6.91,8.21,0.99,0.0,8.22,7.88,2.0,6.01,0.98,0.0,12.2,27.85,4.04,9.04,0.0,0.0,1.114,2023-10-24,CAR,0,TB,3,Won,2.0
"2023-10-26 - SJ 0, TB 6",TB,62.75,27.59,42.08,21.86,28.96,16.49,4.92,0.0,2.49,1.47,39.73,10.42,17.29,3.89,11.27,2.88,4.86,0.0,22.79,6.36,9.36,4.8,0.0,0.0,20.96,19.2,6.89,7.61,0.0,0.0,1.17,2023-10-26,SJ,0,TB,6,Won,1.0
"2023-10-30 - SEA 4, TB 3",TB,53.82,70.85,38.5,57.35,25.74,35.44,1.87,2.13,1.82,3.57,20.1,32.72,9.83,14.33,5.32,8.69,0.93,1.06,10.17,18.68,4.73,8.53,0.0,1.04,32.86,35.94,11.88,15.26,0.89,0.0,1.013,2023-10-30,SEA,4,TB,3,Lost,3.0
"2023-11-02 - TB 2, CBJ 4",TB,52.39,48.51,30.39,31.58,21.31,19.62,2.07,2.81,1.33,1.96,26.58,20.13,8.43,5.68,3.28,2.78,1.06,0.92,17.92,14.52,7.07,6.85,1.06,0.95,25.79,34.27,9.02,10.05,0.0,0.95,0.954,2023-11-02,TB,2,CBJ,4,Won,2.0
