Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - EDM 1, VAN 8",VAN,35.76,36.61,27.63,28.01,20.22,17.88,4.91,0.0,2.35,2.09,17.48,19.49,8.05,9.13,6.12,5.95,3.86,0.0,9.55,10.16,4.05,2.91,0.94,0.0,20.88,22.02,9.04,7.76,0.0,0.0,1.243,2023-10-11,EDM,1,VAN,8,Won,
"2023-10-14 - VAN 4, EDM 3",VAN,22.76,54.35,15.55,34.74,13.5,21.71,3.17,0.94,1.28,3.13,10.43,27.87,4.26,15.68,4.22,8.4,3.18,0.94,6.17,11.88,5.16,4.68,0.0,0.0,13.47,27.66,2.12,8.53,0.0,0.0,1.191,2023-10-14,VAN,4,EDM,3,Lost,2.0
"2023-10-17 - VAN 0, PHI 2",VAN,39.0,44.75,29.42,37.81,17.06,32.59,0.0,0.94,1.68,3.39,20.5,27.47,8.97,14.88,2.96,13.04,0.0,0.0,11.25,12.74,5.93,9.15,0.0,0.95,20.21,12.88,8.03,5.61,0.0,0.0,0.971,2023-10-17,VAN,0,PHI,2,Won,2.0
"2023-10-19 - VAN 3, TB 4",VAN,46.69,40.21,27.61,28.38,22.63,24.42,2.07,1.87,1.59,2.28,19.14,21.25,7.12,9.29,6.07,7.46,1.01,0.0,11.83,12.04,7.04,5.04,1.05,0.0,35.7,19.89,7.58,10.68,0.0,1.84,1.015,2023-10-19,VAN,3,TB,4,Won,1.0
"2023-10-21 - VAN 5, FLA 3",VAN,42.84,54.64,28.84,41.1,20.07,30.22,2.13,2.8,2.21,2.06,22.7,19.81,8.77,10.7,7.61,8.91,0.0,2.77,14.02,8.88,4.23,4.63,1.04,0.0,22.13,33.88,7.23,15.5,1.05,0.0,1.014,2023-10-21,VAN,5,FLA,3,Lost,1.0
"2023-10-24 - VAN 3, NSH 2",VAN,64.75,27.65,39.17,18.92,24.93,12.68,3.19,1.87,1.97,1.03,30.54,15.18,8.83,5.27,5.51,2.62,2.14,0.0,21.93,9.71,7.44,2.76,1.05,1.99,35.29,15.54,11.06,6.38,0.0,0.0,0.98,2023-10-24,VAN,3,NSH,2,Lost,2.0
"2023-10-27 - STL 0, VAN 5",VAN,53.91,19.9,39.6,17.57,29.06,11.22,3.91,0.0,1.96,0.67,23.18,7.67,11.94,2.9,6.02,2.85,1.94,0.0,11.19,4.72,5.91,1.0,1.89,0.0,35.5,13.59,15.3,6.3,0.0,0.0,1.135,2023-10-27,STL,0,VAN,5,Won,2.0
"2023-10-28 - NYR 4, VAN 3",VAN,32.38,28.1,23.76,19.31,12.05,10.67,0.92,0.0,1.21,0.89,12.59,15.19,4.41,3.25,1.77,0.0,0.0,0.0,8.02,12.05,1.86,3.21,0.0,0.0,22.63,17.14,8.44,7.36,0.89,0.0,1.077,2023-10-28,NYR,4,VAN,3,Lost,0.0
"2023-10-31 - NSH 2, VAN 5",VAN,33.17,55.03,24.01,43.68,19.11,21.72,0.94,2.07,1.51,3.44,15.84,31.55,5.84,16.69,4.89,8.29,0.94,1.01,10.1,14.75,5.99,7.04,0.0,0.0,19.03,19.67,8.1,4.75,0.0,1.05,0.954,2023-10-31,NSH,2,VAN,5,Won,2.0
"2023-11-02 - VAN 10, SJ 1",VAN,59.15,42.02,37.14,31.07,28.9,21.07,6.46,0.0,2.22,2.18,27.89,16.31,10.55,10.03,9.43,6.65,4.37,0.0,17.6,6.09,6.72,0.9,1.04,0.0,28.56,33.73,12.97,12.89,1.12,0.0,1.224,2023-11-02,VAN,10,SJ,1,Lost,1.0
