Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - WPG 3, CGY 5",WPG,56.77,30.19,35.41,17.96,22.51,13.01,3.03,1.89,3.28,0.69,34.64,9.67,16.42,4.74,11.15,3.85,1.01,0.94,18.1,4.94,4.01,1.97,2.12,0.0,25.78,25.74,6.55,5.2,0.0,0.95,0.99,2023-10-11,WPG,3,CGY,5,Won,
"2023-10-14 - FLA 4, WPG 6",WPG,43.0,27.88,34.54,21.66,27.5,14.79,2.86,1.06,2.28,1.83,19.81,9.13,8.59,6.19,6.64,5.13,1.86,1.06,11.34,2.96,8.07,3.0,0.94,0.0,30.12,20.95,12.8,6.59,0.0,0.0,1.032,2023-10-14,FLA,4,WPG,6,Won,2.0
"2023-10-17 - LA 5, WPG 1",WPG,37.64,45.35,23.36,37.63,16.26,26.7,0.92,4.26,1.17,3.11,17.14,24.87,2.64,12.13,0.82,6.54,0.91,3.21,14.5,12.77,8.4,10.51,0.0,0.0,20.5,23.82,7.07,9.67,0.0,1.12,0.897,2023-10-17,LA,5,WPG,1,Lost,2.0
"2023-10-19 - VGK 5, WPG 3",WPG,57.11,52.85,43.68,29.1,34.76,22.82,1.89,2.13,2.84,1.89,22.12,28.68,12.78,8.83,10.98,4.33,1.87,1.06,9.1,19.86,3.78,9.46,0.0,1.04,29.78,22.31,17.78,8.85,0.0,0.0,0.961,2023-10-19,VGK,5,WPG,3,Lost,1.0
"2023-10-21 - WPG 3, EDM 2",WPG,30.39,50.55,20.7,42.14,13.72,32.18,0.0,0.94,1.24,2.51,9.06,18.7,3.13,9.83,3.1,9.0,0.0,0.0,5.81,8.86,2.95,1.94,0.0,0.95,25.44,38.72,7.6,17.27,0.0,0.0,0.971,2023-10-21,WPG,3,EDM,2,Lost,1.0
"2023-10-24 - STL 2, WPG 4",WPG,50.47,27.85,32.91,21.38,25.68,15.58,1.93,0.0,1.62,1.62,19.85,17.98,4.74,6.08,4.79,6.01,0.94,0.0,15.43,11.7,6.96,7.07,0.94,0.0,33.52,15.38,14.32,2.71,0.0,0.0,1.075,2023-10-24,STL,2,WPG,4,Won,2.0
"2023-10-26 - WPG 4, DET 1",WPG,47.44,48.57,33.91,34.43,23.94,23.79,3.21,0.95,1.73,1.93,24.1,16.18,7.78,7.09,5.57,3.53,2.16,0.93,16.51,8.92,6.37,3.73,1.05,0.0,27.54,33.34,9.92,13.61,0.0,0.0,1.094,2023-10-26,WPG,4,DET,1,Lost,1.0
"2023-10-28 - WPG 3, MTL 4",WPG,65.6,37.47,50.65,25.72,38.87,20.39,2.13,1.85,2.92,2.05,26.87,18.25,14.13,7.09,8.63,6.25,2.14,0.92,12.9,11.08,8.41,2.83,0.0,0.96,36.68,16.35,18.65,10.3,0.0,0.0,0.964,2023-10-28,WPG,3,MTL,4,Won,1.0
"2023-10-30 - NYR 3, WPG 2",WPG,51.46,33.69,32.91,25.67,20.35,17.48,1.87,1.06,1.26,1.21,20.98,9.44,7.54,6.39,3.78,4.22,0.94,1.06,13.49,3.1,7.73,2.06,0.96,0.0,32.21,24.13,8.88,10.14,0.0,0.0,1.031,2023-10-30,NYR,3,WPG,2,Lost,1.0
"2023-11-02 - WPG 2, VGK 5",WPG,50.63,33.95,36.28,27.22,25.61,20.87,1.01,1.93,2.51,1.41,23.55,16.18,12.96,5.0,10.81,4.05,1.01,0.99,10.43,11.43,4.9,5.99,0.0,0.95,26.15,21.78,9.04,7.87,0.0,0.0,0.947,2023-11-02,WPG,2,VGK,5,Won,2.0
"2023-11-04 - WPG 5, ARI 3",WPG,55.26,29.79,35.75,22.33,21.43,17.81,4.16,1.93,2.51,1.28,28.96,15.19,13.63,7.47,9.49,5.79,3.13,1.93,15.27,7.72,5.23,2.94,0.0,0.0,28.79,15.6,6.68,8.02,1.05,0.0,1.086,2023-11-04,WPG,5,ARI,3,Lost,1.0
