Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-16 - CGY 2, WSH 3",WSH,36.91,59.41,24.09,40.26,16.86,31.58,1.87,1.06,1.23,2.68,18.39,23.53,3.56,10.82,3.57,7.57,0.93,0.0,14.83,12.82,9.52,6.24,0.96,1.05,16.77,41.58,3.81,16.81,0.0,0.0,1.078,2023-10-16,CGY,2,WSH,3,Won,
"2023-10-18 - WSH 1, OTT 6",WSH,37.02,50.74,25.64,32.85,18.04,23.49,1.01,4.91,2.12,1.57,17.41,14.29,8.96,4.04,6.9,1.99,1.04,1.92,8.28,10.43,1.88,7.26,0.0,1.94,20.52,37.48,8.25,14.64,0.0,1.07,0.847,2023-10-18,WSH,1,OTT,6,Won,1.0
"2023-10-21 - WSH 2, MTL 3",WSH,41.46,49.31,28.93,31.83,21.14,20.65,1.01,0.99,2.57,2.39,24.81,29.01,11.08,14.75,4.97,7.03,1.04,0.99,13.53,14.41,6.99,8.04,0.0,0.0,18.61,20.31,9.1,5.26,0.0,0.0,1.0,2023-10-21,WSH,2,MTL,3,Won,2.0
"2023-10-24 - TOR 4, WSH 1",WSH,37.33,35.46,29.53,19.18,19.32,13.58,0.0,2.13,1.95,0.99,19.1,12.36,8.68,6.88,7.87,3.48,0.0,1.08,10.14,5.57,4.45,3.25,0.0,0.97,14.97,16.15,2.42,5.79,0.0,0.0,0.844,2023-10-24,TOR,4,WSH,1,Lost,2.0
"2023-10-25 - WSH 6, NJ 4",WSH,45.94,45.88,31.44,27.2,20.45,18.06,4.24,3.74,1.52,2.17,19.53,31.9,8.74,10.85,4.34,7.37,2.14,3.7,10.94,20.88,5.25,5.42,2.02,0.0,25.29,15.81,9.83,4.3,0.0,0.0,1.0,2023-10-25,WSH,6,NJ,4,Lost,0.0
"2023-10-27 - MIN 2, WSH 3",WSH,43.43,34.72,28.54,26.1,23.57,21.09,0.0,2.07,1.2,1.77,18.22,19.5,3.69,7.21,3.72,6.14,0.0,1.01,14.64,12.18,7.81,7.17,0.0,1.05,29.3,12.87,12.11,4.89,0.0,0.0,0.902,2023-10-27,MIN,2,WSH,3,Won,1.0
"2023-10-29 - SJ 1, WSH 3",WSH,57.85,59.26,40.25,39.16,33.08,29.53,1.87,1.06,2.75,2.74,27.04,20.43,10.16,8.73,10.25,6.56,0.94,1.06,16.72,11.8,7.65,5.23,0.0,0.0,41.57,36.76,14.01,15.59,0.89,0.0,1.021,2023-10-29,SJ,1,WSH,3,Won,1.0
"2023-11-02 - NYI 3, WSH 0",WSH,55.42,42.03,41.2,34.47,21.44,22.95,0.0,3.18,3.35,2.57,33.66,20.66,14.63,11.72,7.8,8.22,0.0,1.08,18.57,9.19,3.54,2.22,0.0,0.97,22.49,25.85,8.99,11.68,0.0,1.05,0.861,2023-11-02,NYI,3,WSH,0,Lost,3.0
"2023-11-04 - CBJ 1, WSH 2",WSH,44.58,47.21,31.78,30.45,24.62,24.49,1.93,1.01,2.61,2.41,21.99,23.09,10.91,10.05,8.01,8.93,1.93,1.04,11.2,12.93,5.96,6.15,0.0,0.0,25.07,21.92,9.57,7.42,0.0,0.0,1.037,2023-11-04,CBJ,1,WSH,2,Won,1.0
"2023-11-08 - FLA 4, WSH 3",WSH,44.91,42.51,31.04,31.03,22.61,22.49,1.89,3.08,1.92,2.57,15.22,20.76,5.61,12.58,4.73,10.35,0.94,1.01,9.63,8.22,5.85,4.11,0.0,1.05,27.35,26.08,8.07,8.19,0.95,0.94,0.947,2023-11-08,FLA,4,WSH,3,Lost,3.0
