a_days_of_rest,a_CA,a_CF,a_FA,a_FF,a_GA,a_GF,a_HDCA,a_HDCF,a_HDGA,a_HDGF,a_HDSA,a_HDSF,a_LDCA,a_LDCF,a_LDGA,a_LDGF,a_LDSA,a_LDSF,a_MDCA,a_MDCF,a_MDGA,a_MDGF,a_MDSA,a_MDSF,a_PDO,a_SA,a_SCA,a_SCF,a_SF,a_xGA,a_xGF,h_days_of_rest,h_CA,h_CF,h_FA,h_FF,h_GA,h_GF,h_HDCA,h_HDCF,h_HDGA,h_HDGF,h_HDSA,h_HDSF,h_LDCA,h_LDCF,h_LDGA,h_LDGF,h_LDSA,h_LDSF,h_MDCA,h_MDCF,h_MDGA,h_MDGF,h_MDSA,h_MDSF,h_PDO,h_SA,h_SCA,h_SCF,h_SF,h_xGA,h_xGF,Game
1.0,54.952,44.42999999999999,39.476,32.3,1.9810000000000003,2.072,11.343,7.987,1.092,1.479,6.702,4.89,29.544,27.731,0.195,0.2009999999999999,9.991,8.552,16.024,13.23,0.6950000000000001,0.382,6.661,5.630999999999999,1.0223,24.761,27.508,21.196,20.333,2.525,1.83,1.0,46.782,41.495,34.436,30.377,2.42,1.592,9.998,5.461,1.349,0.492,6.109,3.659,28.143,26.511000000000003,0.572,0.299,9.661,10.341,13.063999999999998,11.435,0.48,0.8210000000000001,5.384,5.315,0.9608,21.951,23.018,16.999000000000002,20.173,2.275,1.629,"2025-03-27 - PIT, BUF"
1.0,44.617,42.981,31.311,30.622000000000003,2.163,2.032,7.043000000000001,8.727,0.873,0.799,4.437,5.335,28.266,27.239,0.283,0.726,10.62,9.989999999999998,10.961000000000002,10.538,1.006,0.514,4.597,4.5600000000000005,0.9909,21.029,18.048,19.214,20.221,1.834,1.869,1.0,50.611,48.443,34.061,36.505,1.9650000000000003,1.906,8.352999999999998,10.571000000000002,0.98,1.2020000000000002,4.85,6.62,32.344,28.064,0.394,0.199,10.537,10.397,13.821000000000002,10.423,0.579,0.497,4.766,3.644,1.0119,21.188,22.154,20.972,22.441,1.972,2.553,"2025-03-27 - OTT, DET"
2.0,45.267,52.866,32.18900000000001,36.423,2.089,2.184,7.601999999999999,9.649,1.1830000000000005,1.172,5.049,6.589,26.747000000000003,33.649,0.406,0.387,8.543000000000001,9.467,12.247,14.144,0.512,0.611,4.6690000000000005,5.858,0.9946,19.544,19.881,23.803,22.938,2.153,2.368,1.0,41.025,51.051,29.70800000000001,37.116,2.37,2.31,7.389,8.684000000000001,1.0710000000000002,1.207,5.023000000000001,5.811,23.423,31.315000000000005,0.301,0.407,6.367,10.15,12.392,14.752,0.901,0.721,7.278,7.071,0.981,20.342,19.785000000000004,23.463,23.634,1.8160000000000005,2.299,"2025-03-27 - UHC, TB"
1.0,53.376,45.495,36.891000000000005,31.920000000000005,1.7869999999999997,1.884,9.699,8.172,0.585,1.002,5.4990000000000006,5.633,29.529000000000003,29.825,0.5920000000000001,0.411,10.434,8.903,14.74,10.181,0.599,0.4949999999999999,6.085,4.106,1.0173,23.07,24.361,18.385,19.851000000000003,2.248,2.134,1.0,47.11,41.86,31.653,30.132,3.027,1.576,6.631,7.19,1.403,0.979,4.328,4.822000000000001,28.516,26.493,0.616,0.304,10.402,9.177,14.529,10.558,0.998,0.294,6.617999999999999,3.733,0.9408999999999998,21.699,21.049,17.875999999999998,18.516,1.714,1.7049999999999996,"2025-03-27 - MTL, PHI"
1.0,44.14,50.957,33.067,36.862,1.849,3.193,8.101,9.493,0.873,2.018,4.791,6.156,25.919,31.165000000000003,0.478,0.396,9.913,11.047,10.97,13.937,0.501,0.776,4.805,4.832,1.0374,20.413000000000004,19.117,23.357,22.909,2.03,2.1,1.0,50.785,45.744,34.192,32.309000000000005,1.358,0.766,8.703,8.815999999999999,0.744,0.472,5.276,5.353,32.671,28.2,0.1119999999999999,0.0,9.737,9.829,12.691,10.814,0.5029999999999999,0.288,5.4190000000000005,5.086,0.9807,21.705,21.356,19.699,20.85,1.938,1.893,"2025-03-27 - WSH, MIN"
1.0,43.667,47.871,29.163,32.867000000000004,1.273,2.805,7.531000000000001,8.93,0.5970000000000001,1.719,4.159,5.593,25.252,26.849,0.4,0.624,8.622,7.879,10.853,14.118,0.295,0.474,3.934,6.489,1.0568,17.871000000000002,18.515,22.904,21.921,1.7740000000000002,1.937,1.0,43.407,43.527,30.416000000000004,29.963,1.721,1.177,8.0,8.118,1.012,0.797,4.215999999999999,5.33,24.723,26.404000000000003,0.217,0.095,9.376,9.985,12.159,11.345,0.493,0.286,4.458,4.2620000000000005,0.9677,18.925,20.147,19.5,20.972,1.7399999999999998,1.857,"2025-03-27 - STL, NSH"
0.0,49.066,45.437,35.294999999999995,30.549,1.89,2.008,8.758,7.991000000000001,1.106,1.128,5.286,4.687,31.406,27.398000000000003,0.413,0.388,11.059,8.848,12.528,12.758,0.387,0.477,5.997999999999999,4.886,1.0317,22.755,21.322,20.799,19.324,2.267,1.857,1.0,45.176,53.67,32.93300000000001,36.834,1.96,2.028,8.559000000000001,8.712,0.8710000000000001,0.8010000000000002,5.691,5.529,29.049,32.031,0.105,0.5,9.477999999999998,11.594,12.032,13.248,0.988,0.7230000000000001,5.561,5.5600000000000005,0.9885,21.755,20.603,22.016,24.93,2.076,1.89,"2025-03-27 - DAL, CGY"
1.0,41.135000000000005,53.678,29.043,39.30200000000001,0.995,2.394,6.764,10.526,0.506,0.8030000000000002,3.961,5.868,25.885,29.258,0.188,0.317,7.811,10.976,9.752,14.919,0.305,1.28,3.815,6.882000000000001,1.0305,17.566000000000003,16.669,25.284,24.639,1.566,2.272,1.0,40.273,58.357000000000006,28.947000000000003,40.265,1.376,2.31,8.504,10.18,0.792,0.795,4.676,5.758,22.819,35.601000000000006,0.0,0.511,6.674000000000001,11.635000000000002,10.771,15.638,0.612,0.989,5.412,6.861,1.0204,18.009000000000004,19.397,25.704,25.061,1.808,2.433,"2025-03-27 - LA, COL"
0.0,42.67,53.863,29.89,37.989,2.0810000000000004,2.271,8.729000000000001,11.018,1.005,1.061,4.593999999999999,6.284999999999999,23.67,31.671000000000003,0.4639999999999999,0.622,8.184000000000001,12.278,12.53,14.228,0.595,0.596,5.484,6.514,0.9733,19.056,21.337,25.215,25.509,2.072,2.543,1.0,51.06,49.411,36.585,35.64,2.151,2.13,9.397,9.568,1.1789999999999998,0.807,5.578,5.710999999999999,32.114,28.308,0.39,0.488,10.607,9.868,13.214999999999998,13.847,0.5800000000000001,0.826,5.813999999999999,6.996,0.9951,22.841,22.586,23.437,23.328,2.1260000000000003,2.209,"2025-03-27 - EDM, SEA"
1.0,50.93,41.327,35.434999999999995,30.826,2.142,2.206,7.739999999999999,7.041,0.8630000000000001,0.89,4.299,4.468,30.808,25.383000000000003,0.3819999999999999,0.312,11.095,8.413999999999998,13.153,11.632,0.8949999999999999,1.019,5.128,6.221,0.9898,21.276,20.973000000000003,18.727,20.917,1.931,1.749,4.0,48.081,41.156,31.193,30.174,2.057,1.495,9.158,7.739,0.929,0.679,6.308999999999999,4.25,30.584,20.705,0.417,0.206,10.222,7.761,11.842,12.637,0.713,0.597,4.109,5.773,0.99,21.321,20.952,20.425,19.638,2.041,1.7120000000000002,"2025-03-27 - TOR, SJ"
