Game,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,a_days_of_rest,a_CA,a_CF,a_FA,a_FF,a_GA,a_GF,a_HDCA,a_HDCF,a_HDGA,a_HDGF,a_HDSA,a_HDSF,a_LDCA,a_LDCF,a_LDGA,a_LDGF,a_LDSA,a_LDSF,a_MDCA,a_MDCF,a_MDGA,a_MDGF,a_MDSA,a_MDSF,a_PDO,a_SA,a_SCA,a_SCF,a_SF,a_xGA,a_xGF,h_days_of_rest,h_CA,h_CF,h_FA,h_FF,h_GA,h_GF,h_HDCA,h_HDCF,h_HDGA,h_HDGF,h_HDSA,h_HDSF,h_LDCA,h_LDCF,h_LDGA,h_LDGF,h_LDSA,h_LDSF,h_MDCA,h_MDCF,h_MDGA,h_MDGF,h_MDSA,h_MDSF,h_PDO,h_SA,h_SCA,h_SCF,h_SF,h_xGA,h_xGF
"2021-11-05 - NSH 3, VAN 2",2021-11-05,NSH,3,VAN,2,Lost,1.0,40.501,39.27,31.901,29.735000000000003,1.686,1.588,7.221999999999999,6.358,0.885,0.999,5.912,5.074,18.085,18.084,0.193,0.093,9.813,7.679,13.36,13.443,0.603,0.489,7.182,7.3,1.0086,23.775,20.529,19.879,20.97,1.7440000000000002,1.673,2.0,41.661,38.843,31.262,28.418,1.371,1.414,8.692,6.223999999999999,0.782,0.506,6.998,4.689,17.413,18.733,0.184,0.382,9.266,9.985,12.213,10.81,0.4,0.518,6.483,5.339,1.0154999999999998,23.823,20.87,17.113,21.079,1.89,1.448
"2021-11-05 - ARI 1, ANA 3",2021-11-05,ARI,1,ANA,3,Won,2.0,46.528,37.384,34.813,28.544,2.416,1.09,8.51,7.115,1.002,0.5,6.614,5.979,22.572,16.682,0.619,0.37,12.084,7.842,11.761,11.106,0.8109999999999999,0.197,6.195,5.253,0.9687,25.682,20.183,18.366,19.824,1.822,1.545,2.0,46.419,42.55800000000001,34.363,31.485000000000003,2.064,1.787,9.462,8.007,0.976,0.91,7.584999999999999,6.339999999999999,21.149,19.892,0.6010000000000001,0.189,10.274,9.32,13.13,11.386,0.502,0.597,6.504,5.065,0.9924,25.177,22.559,19.4,22.667,2.289,1.845
"2021-11-06 - DET 4, BUF 3",2021-11-06,DET,4,BUF,3,Lost,1.0,49.15,37.98,36.276,30.043,1.7840000000000005,1.409,11.222,6.779000000000001,0.8950000000000001,0.923,7.834,5.214,20.533,17.03,0.296,0.0,10.498,9.902,13.54,11.786,0.583,0.499,6.2090000000000005,6.609999999999999,0.9827,26.090000000000003,24.687,18.674,23.095,2.154,1.799,1.0,40.93,40.593,32.414,31.647,1.78,1.577,9.363,8.236,0.8939999999999999,0.784,6.944,6.1850000000000005,20.089,19.697,0.212,0.287,12.508,11.401,10.14,11.758,0.599,0.49,4.548,5.705,0.9942,24.708,19.494,20.013,23.702,1.818,1.7239999999999998
"2021-11-06 - VGK 5, MTL 2",2021-11-06,VGK,5,MTL,2,Lost,1.0,53.714,51.097,39.108,37.625,2.401,1.988,12.331,9.741,1.895,1.285,9.012,7.334999999999999,21.159,24.084,0.205,0.312,11.03,12.586,16.244999999999997,13.579,0.303,0.4009999999999999,7.867,6.081,0.9869,29.133,28.588,23.35,27.912,2.646,2.16,1.0,39.497,41.007,29.178000000000004,28.65,1.945,1.295,7.904000000000001,8.988,1.4360000000000002,0.592,5.311,6.953999999999999,17.356,17.261,0.223,0.218,9.219,8.731,11.686,12.435,0.295,0.489,6.115,5.470000000000001,0.974,22.267,19.549,21.533,22.092,1.6439999999999997,1.868
"2021-11-06 - TB 5, OTT 3",2021-11-06,TB,5,OTT,3,Lost,1.0,38.438,41.954,29.602,32.536,1.72,1.687,6.718999999999999,9.508,0.901,0.985,5.41,6.132,19.563,21.635,0.416,0.2,8.222,10.431,13.114,12.215,0.387,0.498,7.467,5.988,0.9877,21.878,19.843,21.691,23.5,1.607,1.869,1.0,51.559000000000005,43.134,37.202,32.69,2.4530000000000003,1.6649999999999998,9.573,8.366,1.425,0.7,6.944,5.805,24.205,18.649,0.541,0.453,12.097,8.145999999999999,15.505,14.151,0.4939999999999999,0.492,7.13,8.327,0.9808,27.265,25.03,22.541,23.516,2.112,1.87
"2021-11-06 - NYR 0, CGY 6",2021-11-06,NYR,0,CGY,6,Won,0.0,45.207,39.967,33.349000000000004,29.143,1.352,1.64,8.32,6.881,0.766,0.609,5.906999999999999,5.127,18.741,16.828,0.0,0.0,9.058,7.023000000000001,15.302,13.002,0.584,1.026,7.462000000000001,6.525,1.0233,23.704,23.686,19.866000000000003,19.765,1.866,1.637,1.0,38.199,50.353,29.923,37.738,1.177,1.962,6.28,7.864,0.5960000000000001,0.628,4.766,6.403999999999999,19.828,21.297,0.288,0.317,10.085,11.138,10.079,17.360999999999997,0.305,1.008,5.233,9.697,1.0068,21.582,16.491999999999997,25.160000000000004,28.614,1.6800000000000002,2.082
"2021-11-06 - SEA 4, ARI 5",2021-11-06,SEA,4,ARI,5,Won,1.0,38.011,40.334,28.137,30.737,2.281,1.8560000000000003,6.68,8.503,1.169,0.8939999999999999,5.916,6.927,18.751,18.319,0.212,0.195,8.485999999999999,8.698,10.669,11.909,0.913,0.779,5.065,6.22,0.9711,20.536,17.426,20.424,22.309,1.604,1.781,0.0,47.639,35.584,35.381,27.404000000000003,2.117,1.09,9.947,6.531999999999999,1.099,0.6020000000000001,7.445,5.305999999999999,22.586,15.741,0.3,0.2759999999999999,11.648,7.779000000000001,11.312,10.402,0.711,0.197,5.884,5.276000000000001,0.9824,25.806,21.229,17.061,19.413,1.9490000000000005,1.47
"2021-11-07 - VGK 2, DET 5",2021-11-07,VGK,2,DET,5,Won,0.0,53.737,49.912,38.853,36.292,2.197,1.703,12.076,9.606,1.7879999999999998,1.096,9.09,7.176,20.805,23.159,0.111,0.312,10.723,11.958,16.794999999999998,12.988,0.303,0.3059999999999999,8.052,6.105,0.9845,29.165,28.876,22.638,27.19,2.622,2.0640000000000005,0.0,49.187,39.575,36.443,31.346000000000004,1.874,1.623,11.449000000000002,7.425,1.086,1.036,8.181000000000001,5.84,20.564,17.418,0.202,0.0,10.691,9.899,13.289999999999996,12.431,0.583,0.6010000000000001,6.075,7.026000000000001,0.9863,26.366,24.65,19.969,23.984,2.168,1.918
"2021-11-07 - NSH 1, CHI 2",2021-11-07,NSH,1,CHI,2,Won,1.0,41.426,39.908,32.277,30.302,1.767,1.5,7.303,6.381,0.965,0.913,5.728,5.089,18.952,18.757,0.193,0.093,10.022,8.159,13.580000000000002,13.76,0.603,0.489,7.235000000000001,7.269000000000001,0.9996,23.741,20.847,20.202,21.243,1.7719999999999998,1.693,1.0,46.361,35.848,33.919,25.779000000000003,3.139,1.161,6.814,6.137,1.709,0.867,6.534000000000001,4.324,20.188,15.738,0.323,0.107,10.542,7.846999999999999,16.057,11.321000000000002,1.1190000000000002,0.189,7.462999999999999,5.473000000000001,0.9401,25.519,22.865,17.568,18.409,1.977,1.385
"2021-11-07 - DAL 3, VAN 6",2021-11-07,DAL,3,VAN,6,Won,2.0,45.028000000000006,40.41,31.860000000000003,30.919,1.467,1.118,7.437,8.234,0.979,0.8109999999999999,5.561,5.826,21.096,17.068,0.183,0.094,10.15,8.818000000000001,12.637,13.196000000000002,0.302,0.211,6.435,6.927,0.9807,23.405,20.023,21.481,22.713,1.639,1.749,1.0,40.673,39.433,30.885,28.454,1.378,1.5,8.181,6.031000000000001,0.789,0.692,6.562,4.238,17.444,19.309,0.184,0.288,9.488,10.278,12.182999999999998,11.19,0.4,0.518,6.313,5.298,1.0188,23.206,20.347,17.309,20.775,1.837,1.416
